popularity,budget,revenue,original_title,release_year,genres
0.000188,0,0,The Hospital,1971,"Drama, Mystery"
0.00062,0,0,G.B.F.,2013,Comedy
0.000973,0,0,Mon petit doigt m'a dit...,2005,Mystery
0.001317,0,0,Fuera de carta,2008,Comedy
0.001372,0,0,The Invisible War,2012,"Documentary, Crime, Drama, History"
0.001423,0,0,Circle of Eight,2009,"Mystery, Horror"
0.0016350000000000002,0,0,Freddie Mercury: The Great Pretender,2012,Music
0.0017829999999999999,0,273747,The Central Park Five,2012,Documentary
0.001983,0,0,Paheli,2005,"Thriller, Foreign, Drama, Science Fiction"
0.002381,0,0,The Town That Dreaded Sundown,1976,"Crime, Thriller, Mystery"
0.002514,500000,0,How to Be,2008,"Foreign, Comedy, Drama"
0.002648,0,0,Atlantic Rim,2013,Science Fiction
0.002719,0,0,Embrace of the Vampire,2013,Horror
0.0029219999999999997,5,0,Des Lendemains Qui Chantent,2014,Comedy
0.0032380000000000004,0,0,Hannah Montana & Miley Cyrus: Best of Both Worlds Concert,2008,Music
0.003432,0,0,Jim Jefferies: I Swear to God,2009,Comedy
0.003611,348164,0,Bronies: The Extremely Unexpected Adult Fans of My Little Pony,2013,Documentary
0.0036590000000000004,0,0,Vokzal dlya Dvoikh,1982,"Drama, Romance"
0.0037310000000000004,0,0,Curfew,2012,Drama
0.004569,0,0,Joan Rivers: A Piece of Work,2010,Documentary
0.0048530000000000005,0,0,One Direction: Where We Are - The Concert,2014,"Music, Documentary"
0.004886,0,0,There's Something Wrong with Aunt Diane,2011,Documentary
0.005235,0,0,Les l̬vres rouges,1971,"Thriller, Horror"
0.005289,0,0,Une semaine sur deux,2009,Drama
0.005391,0,887029,More Than a Game,2008,"Documentary, Family"
0.005502,0,0,Cencoroll,2009,"Science Fiction, Animation"
0.005529,0,0,Miami Connection,1987,Action
0.005725,0,0,"Fat, Sick & Nearly Dead 2",2014,Documentary
0.005784,0,0,The Tao of Steve,2000,"Romance, Comedy"
0.005853,0,0,Master of the Universe,2013,Documentary
0.005972,0,0,Lost Soul: The Doomed Journey of Richard Stanley's Island of Dr. Moreau,2014,Documentary
0.006115,0,137460,Mistaken for Strangers,2013,"Documentary, Music"
0.007304000000000001,0,0,Suburban Knights,2011,"Comedy, Adventure"
