popularity,budget,revenue,original_title,genres,release_year
0.242794,0,0,The Marine 2,Adventure,2009
0.204153,16398,0,Star Wreck: In the Pirkinning,Science Fiction,2005
0.316117,25,30,Joyful Noise,Comedy,2012
1.272721,25000000,99357138,The Lucky One,Romance,2012
0.988081,8000000,26049082,That Awkward Moment,Comedy,2014
0.159344,0,0,Love Object,Drama,2003
0.407454,50000000,9851610,Jade,Romance,1995
3.81374,140000000,268031828,Exodus: Gods and Kings,Adventure,2014
0.49423500000000004,31000000,74134790,Always,Romance,1989
0.27553,0,0,The Train,Action,1964
0.541117,0,0,Fifty Dead Men Walking,Thriller,2008
0.140601,1340000,0,Episode 50,Mystery,2011
0.160529,0,366377,The Oranges,Comedy,2011
0.5699569999999999,42000000,63781810,High Crimes,Mystery,2002
1.058691,30000000,0,Tinker Tailor Soldier Spy,Mystery,2011
0.16333699999999998,7000000,7292175,Outside Providence,Romance,1999
0.389549,0,0,The World According to Garp,Comedy,1982
1.065364,25000000,64437847,Kiss of the Dragon,Thriller,2001
0.07263700000000001,0,0,Montana,Action,2014
0.790326,20000000,5210988,Bandslam,Family,2009
0.389669,8000000,0,Altered,Horror,2006
2.578919,26000000,30523226,Self/less,Science Fiction,2015
0.28279499999999996,0,0,Touchback,Fantasy,2011
0.249204,0,0,Hitler: The Rise of Evil,War,2003
0.44737,0,21520719,Just Wright,Comedy,2010
0.271219,0,67308282,The Little Rascals,Family,1994
1.6865130000000002,3500000,0,"Batman: The Dark Knight Returns, Part 1",Animation,2012
0.21453200000000003,22997992,0,The Russia House,Romance,1990
0.16814300000000001,1500000,0,House of the Rising Sun,Action,2011
0.502164,0,0,Superman/Batman: Public Enemies,Animation,2009
2.204926,63000000,920100000,Jurassic Park,Science Fiction,1993
0.028606,0,0,The Food of the Gods,Horror,1976
0.26609099999999997,0,0,Cruising,Action,1980
2.523173,130000000,457363168,National Treasure: Book of Secrets,Adventure,2007
0.32409899999999997,0,0,Heartburn,Comedy,1986
0.296883,0,0,Every Which Way But Loose,Action,1978
0.286381,0,0,The Normal Heart,Drama,2014
1.742288,15000000,42000000,The Hurt Locker,Drama,2008
0.05525599999999999,0,0,Into the Abyss,Crime,2011
1.052549,0,0,A Cinderella Story: Once Upon a Song,Comedy,2011
0.580909,68000000,75715436,Dreamcatcher,Science Fiction,2003
0.6686979999999999,0,0,Underdog,Action,2007
1.0374379999999999,90000000,171120329,Contact,Drama,1997
0.163711,0,27734391,Internal Affairs,Drama,1990
0.664636,46000000,107196498,Shaft,Crime,2000
7.404164999999999,74000000,1156730962,Minions,Family,2015
0.8797309999999999,0,16971,Cold Comes the Night,Drama,2013
0.47640600000000005,3800000,23689877,Network,Drama,1976
0.423663,0,0,Donkey's Christmas Shrektacular,Animation,2010
0.209036,0,0,Taylor Swift: The 1989 World Tour - Live,Documentary,2015
0.565312,6000000,5617391,Batman: Mask of the Phantasm,Animation,1993
2.092701,150000000,245527149,Dark Shadows,Fantasy,2012
1.272721,25000000,99357138,The Lucky One,Drama,2012
0.872149,0,16775,Extraction,Action,2015
0.609613,0,54915,Starred Up,Drama,2014
0.06667000000000001,0,0,Kevin Hart: Laugh at My Pain,Documentary,2011
1.1902469999999998,30000000,135130999,A Perfect World,Crime,1993
0.11510999999999999,0,0,Gray Matters,Comedy,2006
