Index,revenue,original_title,cast
970,1519557910,The Avengers," Chris Hemsworth,  Scarlett Johansson,  Chris Evans,  Mark Ruffalo, Robert Downey Jr."
971,132400000,Underworld: Awakening," Theo James,  Michael Ealy,  Stephen Rea, Kate Beckinsale"
972,1081041287,The Dark Knight Rises,"Christian Bale,  Gary Oldman,  Anne Hathaway,  Tom Hardy,  Michael Caine"
973,425368238,Django Unchained," Leonardo DiCaprio, Jamie Foxx,  Christoph Waltz,  Samuel L. Jackson,  Kerry Washington"
974,1108561013,Skyfall," Judi Dench,  Javier Bardem,  Naomie Harris, Daniel Craig"
975,276572938,The Bourne Legacy," Scott Glenn,  Rachel Weisz,  Stacy Keach, Jeremy Renner"
976,1017003568,The Hobbit: An Unexpected Journey," Andy Serkis, Ian McKellen,  Richard Armitage,  Martin Freeman,  Cate Blanchett"
977,403170142,Prometheus," Guy Pearce,  Idris Elba,  Michael Fassbender, Noomi Rapace,  Charlize Theron"
978,205738714,Silver Linings Playbook," Jennifer Lawrence,  Jacki Weaver,  Robert De Niro, Bradley Cooper"
979,752215857,The Amazing Spider-Man," Rhys Ifans, Andrew Garfield,  Denis Leary,  Emma Stone,  Martin Sheen"
980,538983207,Brave,"Kelly Macdonald,  Emma Thompson,  Billy Connolly,  Julie Walters"
981,396600000,Snow White and the Huntsman,"Kristen Stewart,  Charlize Theron,  Sam Claflin,  Chris Hemsworth,  Ian McShane"
982,201585328,21 Jump Street," Dave Franco,  Brie Larson,  Jonah Hill, Channing Tatum,  Ellie Kemper"
983,609016565,Life of Pi," Adil Hussain,  Irrfan Khan,  Gautam Belur,  Ayush Tandon, Suraj Sharma"
984,877244782,Ice Age: Continental Drift," Ray Romano, John Leguizamo,  Seann William Scott,  Chris Wedge"
985,549368315,Ted," Mila Kunis,  Giovanni Ribisi,  Seth MacFarlane, Mark Wahlberg"
986,218340595,Jack Reacher," Werner Herzog,  Rosamund Pike,  Richard Jenkins, Tom Cruise,  David Oyelowo"
987,180274123,Lo imposible," Ewan McGregor,  Oaklee Pendergast,  Tom Holland,  Samuel Joslin, Naomi Watts"
988,471222889,Wreck-It Ralph," Jack McBrayer,  Jane Lynch, John C. Reilly,  Jamie Elman,  Sarah Silverman"
989,115350426,Pitch Perfect,"Anna Kendrick,  Rebel Wilson,  Anna Camp,  Brittany Snow,  Skylar Astin"
990,624026776,Men in Black 3," Emma Thompson, Will Smith,  Josh Brolin,  Tommy Lee Jones"
991,691210692,The Hunger Games," Woody Harrelson,  Liam Hemsworth,  Josh Hutcherson, Jennifer Lawrence"
992,198802074,Total Recall," Kate Beckinsale,  Bryan Cranston,  Bill Nighy,  Jessica Biel, Colin Farrell"
993,130482868,Cloud Atlas," Halle Berry,  Jim Broadbent,  Jim Sturgess,  Hugo Weaving, Tom Hanks"
994,312573423,The Expendables 2," Dolph Lundgren, Sylvester Stallone,  Arnold Schwarzenegger,  Bruce Willis,  Jason Statham"
995,376141306,Taken 2," Maggie Grace,  Famke Janssen,  Rade Serbedzija,  Luke Grimes"
996,245527149,Dark Shadows," Michelle Pfeiffer,  Jackie Earle Haley,  Helena Bonham Carter, Johnny Depp,  Jonny Lee Miller"
997,33400000,The Perks of Being a Wallflower," Emma Watson,  Paul Rudd,  Ezra Miller,  Nina Dobrev, Logan Lerman"
998,232324128,Argo,"Ben Affleck,  Victor Garber,  Alan Arkin,  John Goodman"
999,234989584,American Reunion,"Jason Biggs,  Thomas Ian Nicholas,  Alyson Hannigan,  Chris Klein"
1000,167221571,Magic Mike," Olivia Munn,  Alex Pettyfer,  Matthew McConaughey, Channing Tatum"
1001,66486080,The Cabin in the Woods," Fran Kranz,  Chris Hemsworth,  Jesse Williams, Kristen Connolly,  Anna Hutchison"
1002,306941670,Rise of the Guardians," Jude Law,  Hugh Jackman,  Alec Baldwin, Chris Pine,  Isla Fisher"
1003,196114570,The Vow," Channing Tatum,  Scott Speedman, Rachel McAdams,  Jessica Lange"
1004,355692760,Journey 2: The Mysterious Island," Vanessa Hudgens,  Luis GuzmÃ¡n,  Kristin Davis,  Josh Hutcherson, Dwayne Johnson"
1005,40346186,Safe," Catherine Chan,  James Hong,  Robert John Burke, Jason Statham,  Chris Sarandon"
1006,112265139,Abraham Lincoln: Vampire Hunter," Rufus Sewell,  Mary Elizabeth Winstead,  Dominic Cooper, Benjamin Walker,  Anthony Mackie"
1007,8106475,Upside Down," Heidi Hawkins, Kirsten Dunst,  Timothy Spall,  James Kidnie"
1008,348840316,The Lorax,"Zac Efron,  Rob Riggle,  Danny DeVito,  Ed Helms"
1009,68263166,Moonrise Kingdom,"Bruce Willis,  Jared Gilman,  Edward Norton,  Bill Murray,  Kara Hayward"
1010,41037742,Dredd,"Karl Urban,  Lena Headey,  Olivia Thirlby,  Jason Cope"
1011,303025485,Battleship," Brooklyn Decker,  Tadanobu Asano, Taylor Kitsch"
1012,441809770,Les MisÃ©rables,"Hugh Jackman,  Amanda Seyfried,  Russell Crowe,  Sacha Baron Cohen,  Anne Hathaway"
1013,183018522,Mirror Mirror," Nathan Lane,  Martin Klebba,  Armie Hammer, Julia Roberts,  Lily Collins"
1014,284139100,John Carter," Lynn Collins,  Mark Strong,  CiarÃ¡n Hinds, Taylor Kitsch"
1015,47042000,Looper," Paul Dano,  Noah Segan,  Bruce Willis, Joseph Gordon-Levitt,  Emily Blunt"
1016,829000000,The Twilight Saga: Breaking Dawn - Part 2," Peter Facinelli,  Taylor Lautner,  Elizabeth Reaser, Kristen Stewart,  Robert Pattinson"
1017,132820716,Zero Dark Thirty," Mark Strong,  Jason Clarke, Jessica Chastain,  Joel Edgerton,  Chris Pratt"
