A,B
Date5,Territory19
Date16,Territory91
Date7,Territory34
Date10,Territory54
Date15,Territory86
Date11,Territory59
Date18,Territory100
Date15,Territory82
Date19,Territory107
Date9,Territory50
Date9,Territory46
Date16,Territory93
Date2,Territory9
Date10,Territory56
Date7,Territory33
Date9,Territory49
Date7,Territory29
Date17,Territory95
Date16,Territory87
Date14,Territory75
Date15,Territory85
Date8,Territory40
Date1,Territory1
Date20,Territory110
Date3,Territory12
Date4,Territory16
Date16,Territory89
Date14,Territory78
Date9,Territory44
Date9,Territory43
Date7,Territory31
Date12,Territory67
Date6,Territory22
Date12,Territory65
Date6,Territory24
Date16,Territory94
Date15,Territory81
Date11,Territory61
Date14,Territory77
Date12,Territory68
Date9,Territory45
Date13,Territory71
Date18,Territory99
Date2,Territory10
Date9,Territory47
Date19,Territory109
Date14,Territory76
Date11,Territory58
Date2,Territory7
Date10,Territory52
Date6,Territory27
Date13,Territory72
Date12,Territory69
Date2,Territory5
Date13,Territory73
Date18,Territory105
Date2,Territory8
Date7,Territory28
Date11,Territory60
Date2,Territory2
Date7,Territory30
Date18,Territory103
Date6,Territory23
Date2,Territory3
Date14,Territory74
Date11,Territory64
Date8,Territory41
Date9,Territory48
Date15,Territory83
Date18,Territory101
Date8,Territory37
Date18,Territory102
Date10,Territory51
Date18,Territory106
Date3,Territory13
Date3,Territory11
Date6,Territory20
Date7,Territory36
Date9,Territory42
Date8,Territory39
Date4,Territory17
Date10,Territory55
Date6,Territory21
Date11,Territory57
Date15,Territory80
Date12,Territory70
Date6,Territory26
Date4,Territory14
Date5,Territory18
Date17,Territory97
Date14,Territory79
Date8,Territory38
Date17,Territory96
Date16,Territory92
Date7,Territory35
Date4,Territory15
Date11,Territory62
Date17,Territory98
Date11,Territory63
Date10,Territory53
Date2,Territory4
