A,B
Date1,Territory1
Date10,"Territory54, Territory56, Territory52, Territory51, Territory55, Territory53"
Date11,"Territory59, Territory61, Territory58, Territory60, Territory64, Territory57, Territory62, Territory63"
Date12,"Territory67, Territory65, Territory68, Territory69, Territory70"
Date13,"Territory71, Territory72, Territory73"
Date14,"Territory75, Territory78, Territory77, Territory76, Territory74, Territory79"
Date15,"Territory86, Territory82, Territory85, Territory81, Territory83, Territory80"
Date16,"Territory91, Territory93, Territory87, Territory89, Territory94, Territory92"
Date17,"Territory95, Territory97, Territory96, Territory98"
Date18,"Territory100, Territory99, Territory105, Territory103, Territory101, Territory102, Territory106"
Date19,"Territory107, Territory109"
Date2,"Territory9, Territory10, Territory7, Territory5, Territory8, Territory2, Territory3, Territory4"
Date20,Territory110
Date3,"Territory12, Territory13, Territory11"
Date4,"Territory16, Territory17, Territory14, Territory15"
Date5,"Territory19, Territory18"
Date6,"Territory22, Territory24, Territory27, Territory23, Territory20, Territory21, Territory26"
Date7,"Territory34, Territory33, Territory29, Territory31, Territory28, Territory30, Territory36, Territory35"
Date8,"Territory40, Territory41, Territory37, Territory39, Territory38"
Date9,"Territory50, Territory46, Territory49, Territory44, Territory43, Territory45, Territory47, Territory48, Territory42"
