Index,genres
0,"Action,  Adventure,  Fantasy,  Sci-Fi"
1,"Action,  Adventure,  Fantasy"
2,"Action,  Adventure,  Thriller"
3,"Action,  Thriller"
5,"Action,  Adventure,  Sci-Fi"
6,"Action,  Adventure,  Romance"
7,"Adventure,  Animation,  Comedy,  Family,  Fantasy,  Musical,  Romance"
8,"Action,  Adventure,  Sci-Fi"
9,"Adventure,  Family,  Fantasy,  Mystery"
10,"Action,  Adventure,  Sci-Fi"
11,"Action,  Adventure,  Sci-Fi"
12,"Action,  Adventure"
13,"Action,  Adventure,  Fantasy"
14,"Action,  Adventure,  Western"
15,"Action,  Adventure,  Fantasy,  Sci-Fi"
16,"Action,  Adventure,  Family,  Fantasy"
17,"Action,  Adventure,  Sci-Fi"
18,"Action,  Adventure,  Fantasy"
19,"Action,  Adventure,  Comedy,  Family,  Fantasy,  Sci-Fi"
20,"Adventure,  Fantasy"
21,"Action,  Adventure,  Fantasy"
22,"Action,  Adventure,  Drama,  History"
23,"Adventure,  Fantasy"
24,"Adventure,  Family,  Fantasy"
25,"Action,  Adventure,  Drama,  Romance"
26,"Drama,  Romance"
27,"Action,  Adventure,  Sci-Fi"
28,"Action,  Adventure,  Sci-Fi,  Thriller"
29,"Action,  Adventure,  Sci-Fi,  Thriller"
30,"Action,  Adventure,  Thriller"
31,"Action,  Adventure,  Fantasy,  Romance"
32,"Action,  Adventure,  Sci-Fi"
33,"Adventure,  Family,  Fantasy"
34,"Action,  Adventure,  Fantasy,  Sci-Fi,  Thriller"
35,"Adventure,  Animation,  Comedy,  Family,  Fantasy"
36,"Action,  Adventure,  Sci-Fi"
37,"Action,  Adventure,  Sci-Fi"
38,"Adventure,  Family,  Fantasy"
39,"Action,  Adventure,  Fantasy,  Sci-Fi"
40,"Action,  Adventure,  Sci-Fi"
41,"Adventure,  Animation,  Comedy,  Family,  Sport"
42,"Action,  Adventure,  Sci-Fi"
43,"Adventure,  Animation,  Comedy,  Family,  Fantasy"
44,"Action,  Adventure,  Sci-Fi"
45,"Action,  Crime,  Thriller"
46,"Action,  Adventure,  Horror,  Sci-Fi,  Thriller"
47,"Action,  Adventure,  Fantasy,  Sci-Fi,  Thriller"
48,"Action,  Adventure,  Sci-Fi"
49,"Adventure,  Fantasy"
50,"Drama,  Romance"
51,"Action,  Adventure,  Fantasy,  Romance"
52,"Action,  Adventure,  Sci-Fi"
53,"Action,  Adventure,  Sci-Fi"
54,"Action,  Adventure,  Fantasy"
56,"Adventure,  Animation,  Comedy,  Family,  Fantasy"
57,"Action,  Adventure,  Sci-Fi,  Thriller"
58,"Adventure,  Animation,  Family,  Sci-Fi"
59,"Action,  Comedy,  Crime,  Thriller"
60,"Action,  Adventure,  Sci-Fi"
61,"Animation,  Drama,  Family,  Fantasy"
62,"Action,  Adventure,  Sci-Fi"
63,"Action,  Adventure,  Drama,  Romance"
64,"Adventure,  Family,  Fantasy"
65,"Action,  Adventure,  Sci-Fi"
66,"Action,  Crime,  Drama,  Thriller"
67,"Adventure,  Animation,  Comedy,  Family"
68,"Action,  Adventure,  Animation,  Comedy,  Family,  Sci-Fi"
69,"Action,  Adventure,  Sci-Fi"
70,"Adventure,  Drama,  Family,  Mystery"
71,"Action,  Comedy,  Sci-Fi,  Western"
72,"Action,  Adventure,  Fantasy,  Horror,  Thriller"
73,"Action,  Adventure,  Comedy,  Sci-Fi"
74,"Comedy,  Family,  Fantasy"
75,"Action,  Adventure,  Sci-Fi"
76,"Action,  Adventure,  Sci-Fi,  Thriller"
77,"Action,  Adventure,  Sci-Fi,  Thriller"
78,"Adventure,  Animation,  Comedy,  Drama,  Family,  Fantasy"
79,"Adventure,  Drama,  Family,  Fantasy"
80,"Action,  Adventure,  Sci-Fi"
81,"Action,  Adventure,  Drama,  Fantasy"
82,"Action,  Adventure,  Family,  Fantasy,  Romance"
83,"Action,  Adventure,  Drama,  Sci-Fi"
85,"Action,  Adventure,  Drama,  Fantasy"
86,"Action,  Adventure,  Sci-Fi"
87,"Adventure,  Animation,  Comedy,  Family,  Fantasy"
88,"Action,  Adventure,  Family,  Mystery,  Sci-Fi"
89,"Action,  Adventure,  Animation,  Comedy,  Drama,  Family,  Sci-Fi"
90,"Adventure,  Animation,  Comedy,  Family,  Sci-Fi"
91,"Adventure,  Animation,  Family,  Fantasy"
92,"Action,  Adventure,  Sci-Fi"
93,"Adventure,  Animation,  Family,  Fantasy"
94,"Action,  Sci-Fi"
95,"Action,  Adventure,  Sci-Fi"
96,"Adventure,  Drama,  Sci-Fi"
97,"Action,  Adventure,  Sci-Fi,  Thriller"
100,"Action,  Crime,  Thriller"
101,"Drama,  Fantasy,  Romance"
102,"Action,  Adventure,  Sci-Fi"
103,"Adventure,  Sci-Fi"
104,"Action,  Adventure,  Family,  Fantasy"
105,"Action,  Adventure,  Drama,  Thriller"
106,"Adventure,  Family,  Fantasy"
107,"Adventure,  Animation,  Comedy,  Family,  Fantasy"
108,"Action,  Adventure,  Fantasy"
109,"Action,  Adventure,  Sci-Fi"
110,"Adventure,  Family,  Fantasy"
111,"Action,  Drama,  History,  Romance,  War"
112,"Action,  Adventure,  Sci-Fi"
113,"Action,  Adventure,  Biography,  Drama,  History,  Romance,  War"
114,"Adventure,  Family,  Fantasy,  Mystery"
115,"Adventure,  Family,  Fantasy,  Mystery"
116,"Action,  Drama"
117,"Drama,  Horror,  Sci-Fi"
118,"Adventure,  Comedy,  Family,  Fantasy"
119,"Animation,  Comedy,  Family,  Fantasy"
120,"Action,  Adventure"
121,"Action,  Adventure,  Animation,  Comedy,  Family"
122,"Adventure,  Comedy,  Family,  Fantasy"
123,"Action,  Adventure,  Fantasy,  Sci-Fi,  Thriller"
124,"Action,  Sci-Fi"
125,"Adventure,  Animation,  Comedy,  Family,  Fantasy,  Musical"
126,"Action,  Sci-Fi"
127,"Action,  Adventure,  Fantasy"
128,"Action,  Adventure,  Sci-Fi,  Thriller"
129,"Mystery,  Thriller"
130,"Action,  Adventure,  Fantasy"
131,"Adventure,  Animation,  Comedy,  Drama,  Family"
132,"Action,  Adventure,  Animation,  Comedy,  Family,  Fantasy,  Sci-Fi"
133,"Action,  Adventure,  Fantasy"
134,"Comedy,  Fantasy,  Horror"
135,"Action,  Adventure,  Thriller"
136,"Drama,  Fantasy,  Horror,  Thriller"
137,"Action,  Adventure,  Drama,  Romance"
138,"Adventure,  Animation,  Comedy,  Family"
139,"Action,  Adventure,  Animation,  Comedy,  Family"
140,"Action,  Adventure,  Family,  Fantasy"
141,"Action,  Adventure,  Thriller"
142,"Action,  Drama,  Thriller"
143,"Action,  Adventure,  Animation,  Comedy,  Family,  Sci-Fi"
144,"Adventure,  Animation,  Comedy,  Family"
145,"Adventure,  Family,  Fantasy"
146,"Adventure,  Animation,  Comedy,  Family,  Sci-Fi"
147,Adventure
148,"Adventure,  Animation,  Comedy,  Family"
149,"Action,  Adventure,  Thriller"
150,"Action,  Comedy,  Fantasy,  Sci-Fi"
151,"Action,  Adventure,  Sci-Fi,  Thriller"
152,"Action,  Adventure,  Comedy,  Family,  Fantasy,  Mystery,  Sci-Fi"
153,"Action,  Adventure,  Animation,  Fantasy"
154,"Action,  Adventure,  Animation,  Comedy,  Family"
155,"Action,  Adventure,  Thriller"
156,"Adventure,  Animation,  Family,  Fantasy"
157,"Comedy,  Crime"
158,"Action,  Drama,  History,  War"
159,"Action,  Adventure,  Drama"
160,"Action,  Adventure,  Sci-Fi"
161,"Action,  Adventure,  Fantasy,  Romance"
162,"Action,  Adventure,  Animation,  Comedy,  Family,  Fantasy"
163,"Action,  Adventure,  Fantasy"
164,"Action,  Adventure,  Sci-Fi,  Thriller"
165,"Action,  Drama,  Mystery,  Sci-Fi"
166,"Action,  Crime,  Thriller"
167,"Action,  Sci-Fi"
168,"Action,  Adventure,  Sci-Fi,  Thriller"
169,"Action,  Adventure,  Comedy,  Thriller"
170,"Action,  Adventure,  Animation,  Fantasy,  Romance,  Sci-Fi"
171,"Action,  Adventure,  Sci-Fi"
172,"Action,  Adventure,  Thriller"
173,"Action,  Adventure,  Drama,  History,  War"
174,"Adventure,  Drama,  Fantasy,  Romance"
175,"Animation,  Comedy,  Family,  Musical"
176,"Action,  Adventure,  Sci-Fi"
178,"Adventure,  Family,  Fantasy"
179,"Adventure,  Drama,  Thriller,  Western"
180,"Adventure,  Animation,  Comedy,  Family,  Sport"
181,"Adventure,  Animation,  Comedy,  Family,  Western"
182,"Adventure,  Animation,  Comedy,  Family"
183,"Action,  Mystery,  Thriller"
184,"Action,  Adventure,  Animation,  Comedy,  Family"
185,"Action,  Adventure,  Comedy,  Sci-Fi"
186,"Adventure,  Sci-Fi,  Thriller"
187,"Adventure,  Drama,  Fantasy,  Romance"
188,"Adventure,  Animation,  Comedy,  Family,  Fantasy,  Sci-Fi"
189,"Adventure,  Sci-Fi,  Thriller"
190,"Action,  Comedy,  Crime,  Thriller"
191,"Action,  Adventure,  Animation,  Comedy,  Family,  Fantasy"
192,"Action,  Crime,  Mystery,  Thriller"
193,"Action,  Adventure,  Drama"
194,"Action,  Adventure,  Family,  Mystery"
195,"Adventure,  Family,  Fantasy,  Mystery"
196,"Adventure,  Drama,  Romance,  War"
197,"Action,  Adventure,  Sci-Fi"
198,"Adventure,  Animation,  Family,  Thriller"
200,"Adventure,  Comedy,  Family,  Fantasy"
201,"Action,  Animation,  Comedy,  Family,  Sci-Fi"
202,"Adventure,  Family,  Fantasy"
203,"Action,  Comedy,  Fantasy"
205,"Action,  Adventure,  Fantasy"
207,"Adventure,  Sci-Fi,  Thriller"
208,"Mystery,  Thriller"
209,"Adventure,  Animation,  Comedy,  Family,  Musical"
210,"Action,  Adventure,  Fantasy,  Sci-Fi,  Thriller"
211,"Action,  Crime,  Thriller"
212,"Action,  Adventure,  Crime,  Mystery,  Thriller"
213,"Action,  Adventure,  Fantasy"
214,"Action,  Sci-Fi"
215,"Action,  Adventure,  History"
216,"Action,  Adventure,  Thriller"
217,Action
218,"Comedy,  Family,  Fantasy"
219,"Action,  Adventure,  Sci-Fi,  Thriller"
220,"Action,  Adventure,  Thriller"
221,"Action,  Adventure,  Drama,  Thriller"
222,"Action,  Adventure,  Sci-Fi,  Thriller"
223,"Adventure,  Drama,  Fantasy"
224,"Action,  Fantasy,  Thriller"
225,"Action,  Thriller"
226,"Action,  Adventure,  Comedy,  Crime"
227,"Adventure,  Mystery,  Sci-Fi"
228,"Adventure,  Animation,  Comedy,  Family,  Fantasy"
229,"Action,  Drama,  Sci-Fi,  Thriller"
230,"Action,  Adventure,  Sci-Fi,  Thriller"
231,"Action,  Crime,  Sci-Fi,  Thriller"
232,"Action,  Family,  Sport"
233,"Comedy,  Drama,  Romance"
234,"Action,  Comedy,  Romance"
235,"Action,  Adventure,  Mystery,  Sci-Fi"
236,"Action,  Adventure,  Fantasy,  Sci-Fi"
237,"Action,  Adventure,  Fantasy,  Sci-Fi"
238,"Adventure,  Animation,  Comedy,  Family,  Fantasy"
239,"Action,  Adventure,  Sci-Fi,  Thriller"
240,"Action,  Adventure,  Fantasy,  Sci-Fi"
241,"Adventure,  Animation,  Comedy,  Family,  Fantasy"
243,"Action,  Drama,  War"
