Index,imdb_id,revenue,cast
988,tt1772341,471222889, Jamie Elman
1008,tt1482459,348840316, Ed Helms
986,tt0790724,218340595, Rosamund Pike
979,tt0948470,752215857, Denis Leary
1012,tt1707386,441809770, Sacha Baron Cohen
1026,tt1645170,179379533,Sacha Baron Cohen
1036,tt1195478,53909751, Jason Segel
1035,tt1560747,28258060, Amy Adams
1056,tt1234719,44806783, Adrianne Palicki
1036,tt1195478,53909751, Rhys Ifans
1008,tt1482459,348840316, Taylor Swift
1009,tt1748122,68263166, Kara Hayward
1000,tt1915581,167221571, Cody Horn
1031,tt1486192,29657751, Alice Eve
1011,tt1440129,303025485, Alexander SkarsgÃ¥rd
1080,tt2215719,32726956, Russell Brand
1044,tt1615065,47000000, Salma Hayek
1074,tt1621045,96070507, Regina Hall
1049,tt1716777,12434778, Michelle Pfeiffer
991,tt1392170,691210692, Elizabeth Banks
1025,tt1586265,79700000, Elizabeth Banks
1073,tt1047540,119772232, Bette Midler
1029,tt1277953,746921274, Sacha Baron Cohen
1022,tt1591479,81272766, Gonzalo Menendez
1036,tt1195478,53909751, Chris Pratt
971,tt1496025,132400000, India Eisley
976,tt0903624,1017003568, Andy Serkis
1054,tt1366365,16863583, Sigourney Weaver
1028,tt1524137,63100000, J.K. Simmons
1039,tt1655460,24159934, Justin Theroux
1065,tt2023453,77112176, Peyton List
1006,tt1611224,112265139, Dominic Cooper
1040,tt1596365,127730736, Mary Stockley
992,tt1386703,198802074, Kate Beckinsale
1074,tt1621045,96070507,Michael Ealy
988,tt1772341,471222889, Jack McBrayer
987,tt1649419,180274123, Samuel Joslin
1026,tt1645170,179379533, Anna Faris
1063,tt1623288,107139399, Jodelle Ferland
972,tt1345836,1081041287, Tom Hardy
1073,tt1047540,119772232,Billy Crystal
979,tt0948470,752215857, Emma Stone
1042,tt1232200,58058367, Eva Amurri Martino
1028,tt1524137,63100000, Ben Foster
1070,tt1840417,13231461, Zoe Saldana
998,tt1024648,232324128,Ben Affleck
986,tt0790724,218340595, Richard Jenkins
1003,tt1606389,196114570, Sam Neill
1040,tt1596365,127730736,Daniel Radcliffe
1077,tt1480656,6063556,Robert Pattinson
1074,tt1621045,96070507, Kevin Hart
1026,tt1645170,179379533, Aasif Mandvi
1053,tt1764234,37930465, James Gandolfini
1079,tt1876451,24637469, Derek Luke
1063,tt1623288,107139399, Anna Kendrick
1078,tt1855325,240159255, Michelle Rodriguez
1075,tt1925431,4636169, Josh Duhamel
1039,tt1655460,24159934,Paul Rudd
1031,tt1486192,29657751, Kevin McNally
1030,tt1212450,53676580, Jessica Chastain
1029,tt1277953,746921274, Chris Rock
1023,tt0837562,358375603, David Spade
1059,tt0763831,22044277, Allison Janney
1022,tt1591479,81272766, Nestor Serrano
1055,tt1764183,35485056, Brit Marling
1013,tt1667353,183018522, Nathan Lane
991,tt1392170,691210692, Josh Hutcherson
1057,tt0383010,54819301, Will Sasso
1041,tt1142977,81491068, Winona Ryder
1020,tt1800741,140470746,Kathryn McCormick
1021,tt1706593,145000000, Michael B. Jordan
1011,tt1440129,303025485, Brooklyn Decker
990,tt1409024,624026776, Michael Stuhlbarg
1064,tt2091473,8138788, John Krasinski
1037,tt1758830,88058786, Jason Segel
997,tt1659337,33400000, Paul Rudd
976,tt0903624,1017003568, Cate Blanchett
1057,tt0383010,54819301, SofÃ­a Vergara
985,tt1637725,549368315, Giovanni Ribisi
1003,tt1606389,196114570, Scott Speedman
1064,tt2091473,8138788, Rosemarie DeWitt
1055,tt1764183,35485056, Tim Roth
984,tt1667889,877244782, Seann William Scott
997,tt1659337,33400000, Emma Watson
1037,tt1758830,88058786, Maude Apatow
1035,tt1560747,28258060, Philip Seymour Hoffman
1048,tt1433811,3428048, Hope Davis
971,tt1496025,132400000, Theo James
1025,tt1586265,79700000, Jennifer Lopez
1049,tt1716777,12434778,Chris Pine
1079,tt1876451,24637469, Carmen Ejogo
1072,tt0337692,8784318, Tom Sturridge
982,tt1232829,201585328, Dave Franco
993,tt1371111,130482868, Halle Berry
987,tt1649419,180274123, Oaklee Pendergast
984,tt1667889,877244782, Denis Leary
982,tt1232829,201585328, Jonah Hill
1044,tt1615065,47000000, Taylor Kitsch
1080,tt2215719,32726956, Mia Moretti
989,tt1981677,115350426,Anna Kendrick
983,tt0454876,609016565, Adil Hussain
1038,tt1592525,32204030, Peter Stormare
1017,tt1790885,132820716,Jessica Chastain
971,tt1496025,132400000,Kate Beckinsale
1071,tt2109184,142817992, Matt Shively
1008,tt1482459,348840316,Zac Efron
999,tt1605630,234989584, Seann William Scott
1007,tt1374992,8106475, Heidi Hawkins
1062,tt1441951,59520298,Maggie Smith
1014,tt0401729,284139100, CiarÃ¡n Hinds
998,tt1024648,232324128, Victor Garber
1069,tt1547234,31083599,Joseph Gordon-Levitt
1038,tt1592525,32204030, Lennie James
978,tt1045658,205738714, Robert De Niro
981,tt1735898,396600000, Charlize Theron
990,tt1409024,624026776, Emma Thompson
1041,tt1142977,81491068, Martin Short
978,tt1045658,205738714,Bradley Cooper
1023,tt0837562,358375603, Kevin James
1015,tt1276104,47042000, Noah Segan
1015,tt1276104,47042000,Joseph Gordon-Levitt
1002,tt1446192,306941670, Alec Baldwin
1045,tt1568338,46221189, Edward Burns
1024,tt1855199,48126384,Jake Gyllenhaal
1013,tt1667353,183018522, Martin Klebba
1076,tt1433822,9627492, Tom Felton
1026,tt1645170,179379533, Sayed Badreya
982,tt1232829,201585328, Brie Larson
1001,tt1259521,66486080, Anna Hutchison
1066,tt1566501,9622846, RubÃ©n Blades
972,tt1345836,1081041287,Christian Bale
1060,tt1712170,30353232, Giancarlo Esposito
1016,tt1673434,829000000, Taylor Lautner
986,tt0790724,218340595,Tom Cruise
1010,tt1343727,41037742, Olivia Thirlby
1023,tt0837562,358375603, Selena Gomez
1050,tt1714203,8493728, David Koechner
1050,tt1714203,8493728, Matt Bush
1045,tt1568338,46221189, Ed Harris
1027,tt1636826,100000000, Kirby Bliss Blanton
1031,tt1486192,29657751, Luke Evans
1002,tt1446192,306941670, Jude Law
1056,tt1234719,44806783, Isabel Lucas
1039,tt1655460,24159934, Lauren Ambrose
1019,tt1646987,301000000, Liam Neeson
1078,tt1855325,240159255, Aryana Engineer
981,tt1735898,396600000, Ian McShane
1033,tt1656186,2106557, Sami Gayle
1074,tt1621045,96070507, Jerry Ferrara
1000,tt1915581,167221571, Olivia Munn
1058,tt1535438,114281051, Jean Smart
975,tt1194173,276572938, Edward Norton
992,tt1386703,198802074, Bill Nighy
1040,tt1596365,127730736, Alisa Khazanova
1011,tt1440129,303025485, Tadanobu Asano
1062,tt1441951,59520298, Billy Connolly
971,tt1496025,132400000, Stephen Rea
970,tt0848228,1519557910, Scarlett Johansson
976,tt0903624,1017003568, Martin Freeman
1017,tt1790885,132820716, Jason Clarke
1025,tt1586265,79700000,Cameron Diaz
1038,tt1592525,32204030, Joseph Gilgun
1067,tt0485985,50365377,Bryan Cranston
983,tt0454876,609016565,Suraj Sharma
1068,tt1663143,11417362, Chelsea Handler
1004,tt1397514,355692760,Dwayne Johnson
974,tt1074638,1108561013, Naomie Harris
1048,tt1433811,3428048, Michael Nyqvist
1001,tt1259521,66486080, Fran Kranz
1060,tt1712170,30353232, Matthew Fox
1014,tt0401729,284139100, Willem Dafoe
1013,tt1667353,183018522, Lily Collins
1070,tt1840417,13231461, Olivia Wilde
1050,tt1714203,8493728, Jean-Luc Bilodeau
1010,tt1343727,41037742, Jason Cope
1022,tt1591479,81272766, Alexander Asefa
1050,tt1714203,8493728,Danielle Panabaker
1037,tt1758830,88058786, Megan Fox
1041,tt1142977,81491068,Charlie Tahan
1076,tt1433822,9627492, Luke Pasqualino
1078,tt1855325,240159255, Sienna Guillory
1044,tt1615065,47000000, Benicio del Toro
992,tt1386703,198802074,Colin Farrell
1019,tt1646987,301000000, Rosamund Pike
1063,tt1623288,107139399, Casey Affleck
1079,tt1876451,24637469, Cee Lo Green
1075,tt1925431,4636169,Bruce Willis
1077,tt1480656,6063556, Samantha Morton
1035,tt1560747,28258060, Jesse Plemons
1051,tt0431021,85446075, Kyra Sedgwick
1030,tt1212450,53676580, Mia Wasikowska
991,tt1392170,691210692, Liam Hemsworth
1052,tt0938330,52302796, Radha Mitchell
1034,tt1430626,118338361,Hugh Grant
1006,tt1611224,112265139, Rufus Sewell
1014,tt0401729,284139100, Lynn Collins
974,tt1074638,1108561013, Javier Bardem
1061,tt1598828,36893721, John Leguizamo
978,tt1045658,205738714, Chris Tucker
981,tt1735898,396600000, Chris Hemsworth
1033,tt1656186,2106557,Nicolas Cage
1054,tt1366365,16863583, Bruce Willis
1024,tt1855199,48126384, Michael PeÃ±a
972,tt1345836,1081041287, Gary Oldman
1057,tt0383010,54819301, Chris Diamantopoulos
1061,tt1598828,36893721, Debbie Reynolds
975,tt1194173,276572938,Jeremy Renner
1066,tt1566501,9622846, Peter O'Toole
1034,tt1430626,118338361, Brendan Gleeson
1072,tt0337692,8784318, Garrett Hedlund
1016,tt1673434,829000000, Peter Facinelli
977,tt1446714,403170142, Michael Fassbender
1058,tt1535438,114281051,Meryl Streep
1016,tt1673434,829000000, Elizabeth Reaser
994,tt1764651,312573423, Jason Statham
1080,tt2215719,32726956, Rachael Markarian
990,tt1409024,624026776, Tommy Lee Jones
988,tt1772341,471222889, Jane Lynch
1004,tt1397514,355692760, Josh Hutcherson
1020,tt1800741,140470746, Stephen Boss
1068,tt1663143,11417362, Jane Levy
1034,tt1430626,118338361, Jeremy Piven
1021,tt1706593,145000000, Alex Russell
1024,tt1855199,48126384, Natalie Martinez
973,tt1853728,425368238, Leonardo DiCaprio
1057,tt0383010,54819301, Jane Lynch
1030,tt1212450,53676580, Guy Pearce
1067,tt0485985,50365377, Terrence Howard
1070,tt1840417,13231461,Bradley Cooper
979,tt0948470,752215857, Rhys Ifans
1053,tt1764234,37930465,Brad Pitt
1052,tt0938330,52302796, Sean Bean
1078,tt1855325,240159255, Li Bingbing
973,tt1853728,425368238, Samuel L. Jackson
1048,tt1433811,3428048,Jason Bateman
973,tt1853728,425368238, Kerry Washington
1059,tt0763831,22044277, Clark Duke
993,tt1371111,130482868, Jim Broadbent
1067,tt0485985,50365377, David Oyelowo
996,tt1077368,245527149, Jonny Lee Miller
1047,tt1430615,24719215, Dermot Mulroney
1000,tt1915581,167221571, Alex Pettyfer
1037,tt1758830,88058786,Paul Rudd
