Index,imdb_id,genres
1280,tt2005374,Thriller
764,tt1071875,Action
1346,tt0399295,Crime
727,tt1502404, Action
914,tt0268126,Comedy
1568,tt0368891, Thriller
1224,tt0481499,Adventure
336,tt0375568, Family
1722,tt0435705, Science Fiction
784,tt0479997, Fantasy
1509,tt0469641,Drama
833,tt1214962, Drama
392,tt0963966,Fantasy
168,tt2467046, Action
764,tt1071875, Thriller
784,tt0479997, Action
336,tt0375568,Animation
1683,tt0259324,Thriller
386,tt1250777, Crime
1675,tt0465234,Action
336,tt0375568, Science Fiction
687,tt0814022, Crime
1683,tt0259324, Action
1838,tt0218967, Drama
1568,tt0368891, Action
1838,tt0218967, Fantasy
276,tt0448011, Mystery
784,tt0479997,Adventure
1509,tt0469641, History
276,tt0448011, Adventure
1224,tt0481499, Fantasy
921,tt0245562, War
1033,tt1656186, Drama
1473,tt0429589, Comedy
1033,tt1656186,Action
330,tt1095217, Crime
1722,tt0435705,Action
1033,tt1656186, Thriller
727,tt1502404,Fantasy
1675,tt0465234, Thriller
727,tt1502404, Thriller
1280,tt2005374, Crime
168,tt2467046, Science Fiction
921,tt0245562,Drama
1033,tt1656186, Crime
1818,tt0187078, Thriller
833,tt1214962,Action
330,tt1095217,Drama
1675,tt0465234, Adventure
