Index,imdb_id,genres
168,tt2467046," Action,  Science Fiction"
276,tt0448011," Mystery,  Adventure"
330,tt1095217," Crime, Drama"
336,tt0375568," Family, Animation,  Science Fiction"
386,tt1250777, Crime
392,tt0963966,Fantasy
687,tt0814022, Crime
727,tt1502404," Action, Fantasy,  Thriller"
764,tt1071875,"Action,  Thriller"
784,tt0479997," Fantasy,  Action, Adventure"
833,tt1214962," Drama, Action"
914,tt0268126,Comedy
921,tt0245562," War, Drama"
1033,tt1656186," Drama, Action,  Thriller,  Crime"
1224,tt0481499,"Adventure,  Fantasy"
1280,tt2005374,"Thriller,  Crime"
1346,tt0399295,Crime
1473,tt0429589, Comedy
1509,tt0469641,"Drama,  History"
1568,tt0368891," Thriller,  Action"
1675,tt0465234,"Action,  Thriller,  Adventure"
1683,tt0259324,"Thriller,  Action"
1722,tt0435705," Science Fiction, Action"
1818,tt0187078, Thriller
1838,tt0218967," Drama,  Fantasy"
