Category,Description,$,%
Expense - Needs,Medical (HSA/FSA),225.0,0.030416632000000002
,Auto Insurance,100.0,0.013518503000000001
Savings,Roth IRA,917.0,0.123964675
,Emergency Fund,0.0,0.0
Income,Person 1,4034.8737869999995,0.545454545
Expense - Needs,Car Payment,275.0,0.037175884
,Auto Exp,225.0,0.030416632000000002
,Utilities,155.0,0.02095368
Savings,529 Plan,225.0,0.030416632000000002
Expense - Needs,Rent/Mortgage,1650.0,0.22305530399999998
Income,Person 2,3362.3948229999996,0.454545455
Expense - Needs,Groceries,250.0,0.033796257999999996
Expense - Wants,Cell Phone,100.0,0.013518503000000001
Expense - Needs,Donation,250.0,0.033796257999999996
,Health Insurance,395.0,0.053398087999999996
,Children,1500.0,0.20277754899999997
Expense - Wants,Cable/Internet,100.0,0.013518503000000001
