                       ,"Overn. og
servering",Industri,"Bygge- og
anleggsv.","Faglig og
tekn. tj."
2008.0,100.0,100.0,100.0,100.0
,100.6,100.7,101.7,103.4
,102.0,101.2,98.0,106.4
,103.8,101.1,95.8,109.2
2009.0,97.9,98.0,94.9,106.6
,97.8,96.8,94.3,106.0
,98.0,95.7,94.5,105.8
,98.9,94.7,95.1,106.5
2010.0,98.2,93.6,92.6,105.4
,97.7,92.3,92.6,105.0
,98.4,91.7,93.8,105.3
,98.8,91.3,94.4,105.8
2011.0,99.8,91.1,94.8,106.2
,101.4,91.6,96.0,106.2
,101.6,92.1,97.6,107.4
,102.2,92.5,99.0,108.1
2012.0,101.5,92.4,100.0,108.8
,103.2,92.5,101.3,110.2
,103.6,93.2,103.1,109.9
,103.2,93.2,104.4,111.0
2013.0,103.9,93.9,104.6,111.2
,103.9,93.9,105.1,111.6
,106.1,94.4,105.2,112.5
,107.5,94.8,105.8,113.3
2014.0,107.7,94.8,106.8,115.1
,109.2,95.1,107.6,114.6
,109.5,95.1,108.4,115.5
,110.2,94.9,109.1,116.0
