brand,categories
1040,3013.0
897,536.0
791,3262.0
748,3241.0
386,3702.0
1111,3995.0
656,3910.0
1445,406.0
590,1043.0
219,NaN
1342,3005.0
73,2690.0
120,3915.0
580,622.0
280,1980.0
748,3902.0
45,4086.0
618,2259.0
615,3917.0
1023,2209.0
1368,3912.0
478,2658.0
618,4020.0
1411,74.0
249,3901.0
473,3935.0
322,2499.0
369,3739.0
411,1798.0
120,2335.0
524,3848.0
50,3240.0
1323,1432.0
1180,3901.0
366,3625.0
284,813.0
703,3916.0
933,3497.0
320,NaN
582,550.0
397,3910.0
910,3639.0
147,933.0
193,283.0
279,1025.0
775,2833.0
322,3078.0
19,2995.0
993,1807.0
1445,2209.0
267,2732.0
578,3907.0
936,3619.0
1496,3915.0
39,163.0
1023,3903.0
410,2586.0
194,1415.0
322,NaN
993,281.0
772,870.0
193,3903.0
745,3901.0
1121,3941.0
1157,4094.0
389,NaN
249,1138.0
1269,2759.0
1065,669.0
147,2473.0
411,3745.0
453,3783.0
19,4031.0
1038,3086.0
1000,1131.0
1307,210.0
1038,3086.0
443,3915.0
193,3473.0
552,4081.0
974,3400.0
1216,3911.0
105,NaN
1040,3424.0
601,3312.0
455,NaN
665,3775.0
618,3915.0
186,744.0
386,1578.0
193,3532.0
806,2858.0
280,3228.0
390,NaN
406,461.0
888,3903.0
231,1705.0
1126,2687.0
513,NaN
302,2814.0
1143,880.0
539,49.0
1360,1471.0
77,1711.0
1445,3283.0
829,564.0
473,279.0
1483,2470.0
406,2125.0
441,3254.0
342,585.0
1111,2744.0
550,179.0
1081,2951.0
1445,1624.0
337,450.0
661,3981.0
406,2794.0
1388,482.0
961,3438.0
280,1366.0
955,1800.0
460,2995.0
415,3940.0
692,1747.0
388,1800.0
20,1560.0
618,1668.0
256,709.0
653,855.0
1366,2834.0
454,3775.0
801,3287.0
267,450.0
1048,813.0
990,1998.0
322,3654.0
933,4063.0
473,528.0
696,383.0
82,1091.0
1232,303.0
950,1560.0
238,856.0
1156,2523.0
455,NaN
1411,NaN
515,2104.0
174,2147.0
361,3915.0
1090,163.0
998,3224.0
406,3424.0
618,3668.0
623,2091.0
157,731.0
256,1612.0
1383,3502.0
990,1998.0
632,3900.0
274,NaN
1027,2639.0
274,3981.0
888,3307.0
194,3426.0
490,NaN
539,450.0
780,2049.0
1074,813.0
1368,1800.0
9,326.0
648,3903.0
962,276.0
249,2941.0
827,3775.0
127,74.0
748,3916.0
1383,4030.0
847,3994.0
323,1366.0
1445,152.0
703,1991.0
791,3708.0
411,1807.0
615,3903.0
322,981.0
1126,2127.0
243,3502.0
1260,3775.0
1295,3902.0
996,3900.0
1366,2834.0
322,NaN
91,1849.0
990,803.0
219,3099.0
929,2345.0
724,146.0
1368,95.0
1306,1569.0
523,3676.0
194,2796.0
322,1369.0
737,300.0
632,3979.0
745,1229.0
378,2700.0
1500,2615.0
127,2259.0
1111,3680.0
5,NaN
402,3810.0
1429,1505.0
962,2757.0
362,NaN
632,1965.0
361,3903.0
272,NaN
450,4157.0
1320,2979.0
959,NaN
772,3455.0
20,3639.0
1365,NaN
136,3981.0
1090,3561.0
219,NaN
1445,1730.0
449,2974.0
392,3902.0
1368,3903.0
1317,3382.0
1240,2022.0
1111,3903.0
580,1098.0
549,NaN
926,757.0
392,718.0
1090,163.0
1105,1390.0
1496,1752.0
671,1701.0
449,3978.0
450,1772.0
704,3901.0
1411,2612.0
588,NaN
1297,3404.0
356,2156.0
993,3905.0
1312,3916.0
1126,767.0
827,3267.0
194,767.0
791,522.0
1388,3308.0
562,3214.0
1023,1578.0
994,2580.0
1065,3912.0
127,1060.0
1016,2628.0
193,3254.0
322,1221.0
406,3529.0
974,3400.0
1410,2617.0
1222,1696.0
349,NaN
1127,1807.0
267,1449.0
1321,2951.0
406,3915.0
1207,1984.0
1206,3901.0
765,3625.0
1036,3981.0
453,478.0
1108,3901.0
771,3902.0
406,2833.0
1245,4144.0
974,3619.0
936,3900.0
362,3254.0
1301,4132.0
829,669.0
194,3310.0
406,1130.0
829,1064.0
806,1373.0
1297,1098.0
993,3639.0
786,1781.0
1232,2295.0
926,2731.0
1040,4071.0
1411,1000.0
632,4123.0
194,1415.0
386,1578.0
18,30.0
1383,146.0
765,2029.0
961,1241.0
569,3900.0
1126,285.0
1180,136.0
433,118.0
361,824.0
748,3902.0
116,1675.0
974,3400.0
150,NaN
552,3976.0
926,443.0
1300,1772.0
20,585.0
1429,1505.0
913,4036.0
75,NaN
523,2790.0
703,1330.0
349,4012.0
366,862.0
649,1807.0
675,3916.0
1136,460.0
18,2259.0
389,934.0
1469,3107.0
782,1908.0
1111,2751.0
1141,1442.0
1366,NaN
1496,30.0
342,3934.0
5,NaN
406,2317.0
813,3827.0
1379,3923.0
1490,274.0
514,561.0
1265,3714.0
1180,3905.0
1141,NaN
1126,3912.0
1094,3903.0
1216,3903.0
1379,2617.0
1371,2443.0
716,2345.0
453,995.0
406,1138.0
1126,1045.0
1366,NaN
406,2725.0
1282,2089.0
539,1000.0
771,3708.0
18,3668.0
1324,196.0
824,178.0
1402,536.0
6,2973.0
43,90.0
143,3903.0
783,146.0
603,3618.0
1130,2872.0
1105,1763.0
539,3573.0
637,3903.0
328,38.0
939,2022.0
408,3639.0
601,4044.0
1038,3910.0
1130,3822.0
1445,3283.0
1383,3900.0
615,2320.0
1030,4025.0
1383,3915.0
1006,1505.0
1483,2178.0
1040,1792.0
1093,3914.0
646,2712.0
400,3902.0
1037,NaN
944,274.0
18,2259.0
199,3253.0
74,536.0
177,1533.0
415,1244.0
531,327.0
453,2927.0
829,622.0
771,870.0
157,2567.0
703,3902.0
601,664.0
193,3901.0
1105,3912.0
1104,1775.0
926,2237.0
523,533.0
1180,2942.0
1040,3800.0
523,3013.0
1201,2921.0
333,2442.0
768,3775.0
