A,B
Date1,Territory1
Date10,"Territory54, Territory55, Territory53"
Date11,"Territory58, Territory64, Territory62, Territory61"
Date12,"Territory70, Territory67"
Date13,"Territory71, Territory72, Territory73"
Date14,"Territory78, Territory76, Territory74, Territory77, Territory79"
Date15,"Territory84, Territory86, Territory83, Territory80, Territory85, Territory82"
Date16,"Territory92, Territory87, Territory89, Territory93, Territory91"
Date17,"Territory95, Territory96, Territory97, Territory98"
Date18,"Territory103, Territory102, Territory106, Territory101"
Date19,"Territory108, Territory109, Territory107"
Date2,"Territory8, Territory6, Territory2, Territory3, Territory9, Territory5"
Date20,Territory110
Date3,"Territory13, Territory12, Territory11"
Date4,"Territory16, Territory17"
Date5,Territory19
Date6,"Territory25, Territory26, Territory23, Territory27, Territory20, Territory22, Territory24"
Date7,"Territory29, Territory34, Territory33"
Date8,"Territory38, Territory39, Territory41"
Date9,"Territory47, Territory50, Territory43, Territory45, Territory46, Territory48"
