A,B
Date16,Territory92
Date12,Territory70
Date18,Territory103
Date11,Territory58
Date14,Territory78
Date6,Territory25
Date7,Territory29
Date6,Territory26
Date2,Territory8
Date11,Territory64
Date15,Territory84
Date2,Territory6
Date6,Territory23
Date11,Territory62
Date16,Territory87
Date14,Territory76
Date9,Territory47
Date18,Territory102
Date8,Territory38
Date20,Territory110
Date3,Territory13
Date15,Territory86
Date6,Territory27
Date14,Territory74
Date9,Territory50
Date8,Territory39
Date16,Territory89
Date2,Territory2
Date17,Territory95
Date15,Territory83
Date7,Territory34
Date17,Territory96
Date6,Territory20
Date1,Territory1
Date19,Territory108
Date14,Territory77
Date5,Territory19
Date10,Territory54
Date7,Territory33
Date2,Territory3
Date11,Territory61
Date9,Territory43
Date17,Territory97
Date2,Territory9
Date8,Territory41
Date18,Territory106
Date17,Territory98
Date2,Territory5
Date13,Territory71
Date3,Territory12
Date15,Territory80
Date10,Territory55
Date13,Territory72
Date19,Territory109
Date18,Territory101
Date6,Territory22
Date13,Territory73
Date15,Territory85
Date9,Territory45
Date15,Territory82
Date12,Territory67
Date4,Territory16
Date4,Territory17
Date6,Territory24
Date9,Territory46
Date14,Territory79
Date16,Territory93
Date3,Territory11
Date16,Territory91
Date10,Territory53
Date19,Territory107
Date9,Territory48
