Index,popularity,budget,revenue,original_title,genres,release_year
826,0.7057,0,0,Feast,Family,2014
7798,0.07966000000000001,0,0,Zach Galifianakis: Live at the Purple Onion,Comedy,2007
1576,0.492691,0,0,Wonder Woman,Adventure,2009
7843,0.49818599999999996,0,30177511,Being There,Drama,1979
1052,0.270806,0,0,My Mistress,Romance,2014
8185,0.34562,0,0,Circle of Friends,Romance,1995
10055,0.298196,37931000,27931461,The Rescuers Down Under,Fantasy,1990
8399,0.42637600000000003,12000000,40716963,Absence of Malice,Thriller,1981
5065,0.46951800000000005,56000000,12923936,Gods and Generals,War,2003
6639,0.848086,30000000,495303,Idiocracy,Science Fiction,2006
3533,0.687144,9500000,120000,Trust,Crime,2011
5308,0.572198,12000000,0,A Life Less Ordinary,Drama,1997
1440,1.223786,26000000,43318349,Brothers,War,2009
10193,0.328263,0,0,The Shootist,Adventure,1976
2462,0.740133,80000000,0,Edtv,Comedy,1999
7633,0.333928,20000000,0,Silk,Drama,2007
5201,0.126685,0,0,Undead,Action,2003
8945,0.197996,0,14056528,The Beastmaster,Fantasy,1982
6381,0.43039399999999994,0,0,Dear Wendy,Romance,2005
2732,0.49354799999999993,0,0,Down to Earth,Romance,2001
6573,1.8525029999999998,0,0,Brother Bear 2,Adventure,2006
6640,0.840205,32000000,80197993,Nacho Libre,Family,2006
1036,0.289238,0,0,Grace,Thriller,2014
3121,0.361127,0,0,The Librarian: The Curse of the Judas Chalice,Action,2008
9713,0.07532,0,0,The Principal,Drama,1987
10856,0.140934,0,0,The Ugly Dachshund,Comedy,1966
9471,0.753578,29000000,34994648,Red Heat,Crime,1988
6912,0.100404,0,0,Drake And Josh Go Hollywood,Comedy,2006
9786,0.225194,0,0,Gone in 60 Seconds,Crime,1974
5757,0.328083,0,0,Barbie: Mariposa and The Fairy Princess,Fantasy,2013
6979,2.17643,45000000,129394835,Resident Evil: Apocalypse,Science Fiction,2004
5701,0.400903,0,0,Cheap Thrills,Drama,2013
1429,1.3282180000000001,5000000,9760104,Moon,Science Fiction,2009
9854,0.613969,0,0,Hatari!,Comedy,1962
2538,0.377269,13000000,8946237,Teaching Mrs. Tingle,Thriller,1999
6115,0.6198170000000001,0,41410568,Pale Rider,Western,1985
9353,0.489806,0,0,Wild Hearts Can't Be Broken,Drama,1991
2676,0.9742219999999999,137000000,85131830,Final Fantasy: The Spirits Within,Action,2001
3028,0.58326,20000000,0,The Burning Plain,Drama,2008
6326,0.5481659999999999,950000,7022209,Hard Candy,Thriller,2005
9141,0.194358,15000000,10443316,Home Fries,Drama,1998
2126,0.493121,22000000,0,You Will Meet a Tall Dark Stranger,Comedy,2010
6121,0.536718,900000,2023414,Re-Animator,Science Fiction,1985
9686,0.21302600000000002,0,0,Flowers in the Attic,Mystery,1987
9181,2.719764,16000000,92823546,When Harry Met Sally...,Romance,1989
10313,0.40913499999999997,19000000,0,Arizona Dream,Comedy,1993
4315,0.243921,7400000,7690013,Surviving the Game,Crime,1994
3700,0.30324,0,0,Hawaiian Vacation,Animation,2011
6521,0.259042,0,0,Return of the Living Dead: Rave to the Grave,Comedy,2005
9442,0.106169,0,0,Shakes the Clown,Action,1991
5657,0.50375,0,0,Coldwater,Drama,2013
3174,0.283048,0,0,Les Femmes de l'ombre,War,2008
9329,0.963521,42000000,62000000,The Rocketeer,Family,1991
231,0.569443,0,0,Cobain: Montage of Heck,Documentary,2015
111,1.443406,20000000,208588,Dark Places,Drama,2015
10275,0.625238,35000000,18635620,Geronimo: An American Legend,Drama,1993
5029,0.699833,0,0,What a Girl Wants,Comedy,2003
9748,0.149294,0,0,The Devil's Brigade,War,1968
4253,0.46880200000000005,18000000,0,Little Women,Drama,1994
3996,0.6831510000000001,38000000,119723358,Spy Kids 2: Island of Lost Dreams,Comedy,2002
7272,0.669045,6000000,0,Cabaret,Drama,1972
7911,0.606839,6500000,23686027,Sixteen Candles,Romance,1984
7407,2.04262,25000000,76181545,There Will Be Blood,Drama,2007
5190,0.154678,0,0,Helen of Troy,Romance,2003
4200,1.022699,45000000,117615211,The Client,Mystery,1994
6968,3.196643,75000000,288500217,The Bourne Supremacy,Action,2004
4016,0.5699569999999999,42000000,63781810,High Crimes,Mystery,2002
5285,0.742726,18000000,251212670,Bean,Comedy,1997
6946,0.043164999999999995,0,0,Population 436,Drama,2006
2892,1.996757,45000000,101702060,Journey to the Center of the Earth,Family,2008
3994,0.701646,0,0,Cube 2: Hypercube,Thriller,2002
6735,0.43545100000000003,60000000,17800000,Flyboys,Drama,2006
1923,4.8405879999999994,250000000,954305868,Harry Potter and the Deathly Hallows: Part 1,Adventure,2010
1254,0.07643,1000000,0,Hits,Comedy,2014
9481,0.5887560000000001,15000000,34604000,Mississippi Burning,Drama,1988
5348,0.37438,20000000,13801755,The Man Who Knew Too Little,Thriller,1997
6812,0.27574499999999996,0,0,Wristcutters: A Love Story,Drama,2006
