mission_title,Target
9,212
STS-40,253
STS-71,247
STS-84,322
32,454
STS-84,292
22,317
STS-82,247
STS-123,473
STS-113,337
STS-106,362
STS-40,161
STS-27,192
STS-116,450
STS-28,221
16,311
STS-59,253
STS-52,254
STS-27,145
Voskhod 2,14
2,85
STS-54,247
Soyuz 8,34
Salyut 7,86
STS-94,298
24,349
STS-132,490
14,454
STS-61-A,125
16,311
STS-127,390
STS­88,212
STS-85,283
STS-47,284
Soyuz TMA-16/14,507
STS-49,234
Soyuz 9,47
Gemini 5,20
STS-53,287
STS-28,219
STS-41-C,140
Voskhod 2,15
Soyuz 27/26,65
Spacelab 1,130
STS-93,336
49,551
Apollo 13,45
STS-63,293
Salyut 7,138
STS-101,396
STS-66,282
STS-51-F,175
Apollo 9,18
Salyut 7,95
Soyuz TM-14/13,269
48,548
STS-61,163
STS-46,197
STS-109,413
STS-65,313
STS-131,468
STS-50,223
STS-104,383
STS-92,270
STS-133,368
STS-127,501
STS-81,326
STS-7,122
STS-37,245
Soyuz 1,11
STS-98,290
Apollo 17,58
STS-4,109
Mercury-Atlas 9,8
STS-124,411
STS-41C,142
STS-80,290
24,118
11,212
STS-101,313
STS-73,339
STS-89,187
STS-120,323
STS-74,340
STS-63,271
STS-58,307
1,204
STS-115,286
STS-51G,170
Soyuz TMA-18M/16M,545
STS-46,156
26,520
15,210
Skylab 3,62
Soyuz 14,6
56,557
STS-5,113
STS-88,301
STS-90,350
STS-101,346
3,118
STS-73,336
STS-91,292
Soyuz TM-12/11,252
STS-51-G,124
STS-123,382
STS-94,359
STS-61,274
STS-52,214
21,268
Soyuz 11,52
STS-60,309
STS-95,368
20,333
STS-105,387
STS-110,192
Salyut 6,96
STS-65,315
STS-34,223
STS-73,225
2,262
23,320
STS-89,372
STS-103,393
25,312
43,393
STS-135,447
STS-95,365
35,363
17,204
28,444
STS-79,245
STS-42,184
STS-55,294
Gemini 10,27
33,529
STS-73,337
STS-51-F,178
STS-121,425
STS-70,315
STS-9,17
STS-56,290
22,171
Salyut 7,70
Soyuz 39,86
STS-44,263
Gemini 11,28
Salyut 7,86
STS-87,368
STS-72,314
Skylab 4,66
15,460
STS-35,76
STS-40,256
Soyuz 15,73
STS-108,412
STS-75,346
STS-107,433
STS-68,297
STS-55,295
Vostok 6,10
50,422
STS-94,360
STS-61-C,146
STS-51L,201
ЭП-1,406
STS-107,430
STS-131,516
STS-69,262
STS-62,227
STS-86,323
STS-127,500
59,562
53,491
56,558
STS-102,349
STS-7,119
STS-120,467
Euromir 94,131
46,502
STS­63,118
STS-62,231
23,514
STS-75,197
STS-61-B,195
STS-129,469
47,519
STS-41 C,141
Skylab-2,60
Soyuz TMA-34/TM-33,418
ASTP,77
Salyut 7,111
STS-98,364
STS-58,306
STS-68,302
STS-105,408
Soyuz 40,103
STS-51-A,119
STS-111,420
STS-99,330
STS-5,76
STS-90,380
STS-69,154
STS-117,458
STS-123,370
Soyuz 5,35
STS-132,495
53,531
Shenzhou 10,534
STS-51-I,181
Apollo 17,59
STS-102,402
5,110
STS-109,377
STS-41-G,102
STS-131,446
STS-36,169
3,236
1,214
STS-41 B,134
STS-125,497
12,277
STS-95,385
STS-38,179
STS-41-G,151
STS-52,286
Soyuz 36/35,94
STS-109,414
STS-99,382
Soyuz T­3,65
Soyuz 5/4,37
Salyut 7,86
STS-107,389
Salyut 6,83
STS-8,124
STS-45,271
Mir Aragatz,108
STS-79,318
17,320
STS-128,408
STS-85,366
40,538
STS-39,247
STS-49,225
Salyut 7,111
STS-2,105
ASTP,76
STS-79,303
Saluyt 4,69
Vostok 3,5
STS-39,246
42,524
STS-120,446
Gemini 4,19
STS-30,193
Salyut 6,93
Apollo 15,25
Salyut 6,100
Apollo 15,55
STS-116,364
STS-128,504
STS-81,227
STS-83,360
STS-112,424
STS-57,228
STS-61-C,197
STS-79,235
STS-121,411
STS-26,179
STS-48,258
STS-108,244
20,277
STS-103,319
38,343
STS-74,305
42,512
STS-61,117
STS-68,310
39,537
STS-91,327
STS-30,154
STS-129,473
STS-51-D,161
STS-132,488
STS-111,290
51,553
31,526
14,299
STS-1,102
STS-9,63
STS-51,236
STS-102,226
STS-58,171
STS-84,324
STS-77,282
4,183
STS-51G,173
17,476
STS-5,112
57,561
STS-58,304
STS-33,225
STS-76,287
STS-117,387
Soyuz 6,39
STS-67,254
14,110
20,502
STS-119,491
Mir EO-21,308
STS-134,497
STS-129,509
STS-61A,170
STS-130,378
STS-126,429
Vostok 4,6
STS-115,341
STS-64,317
10,259
STS-125,414
STS-55,292
STS-35,240
STS-7,120
25,268
STS-41-G,149
STS-62,230
STS-60,258
STS-33,224
12,305
STS-51-D,163
STS-51-B,166
Salyut 7,99
spacelab-3,168
STS-44,262
15,241
STS-53,233
STS-82,321
STS-87,369
STS-61B,148
Soyuz 33,51
STS-132,425
Gemini 9A,26
STS-126,487
STS-112,392
STS-6,115
STS-41,233
Soyuz 8,36
STS-64,218
STS-47,132
55,492
STS-107,431
STS-120,400
Apollo 15,54
STS-44,264
43,384
STS-53,154
STS-82,218
52,467
Soyuz TMA-3/2,385
Soyuz 7,42
Salyut 6,91
STS-40,254
STS-45,272
STS-102,403
STS-130,365
Soyuz TM­32/31,312
30,476
Gemini 11,20
Apollo 10,17
Soyuz 16,41
STS-72,341
STS-87,370
STS-121,368
9,435
2,203
STS-127,499
STS-29,217
Shenzhou 11,550
STS­112,426
STS-83,359
STS-41-G,150
Soyuz 31/29,9
Gemini 3,17
Soyuz 15,72
STS-27,213
Gemini 4,18
STS-65,233
STS-44,117
27,521
STS-110,417
55,537
Soyuz 38,97
4,212
STS-2,104
60,564
1,98
STS-41-B,132
Shenzhou 7,485
STS-42,131
24,466
28,268
STS-6,117
STS-134,418
STS-39,248
Salyut 7,123
STS-51-B,112
STS-135,424
STS-70,296
6,329
STS-131,515
STS-37,170
Soyuz TM­32/31,385
STS-61A,188
Soyuz 5/4,36
STS-51B,122
STS-126,488
Soyuz TMA-18M/16M,544
STS-100,340
Gemini 8,25
12,391
Shenzhou 7,483
STS-117,408
STS-82,346
STS-76,244
60,513
STS-27,214
STS-57,297
STS-103,271
STS-45,150
Soyuz 13,70
Apollo 13,22
STS-134,435
STS-133,487
STS-99,394
STS-36,230
STS-80,310
Soyuz T­8,110
STS-131,517
4,302
Soyuz TMA­5,437
STS-81,341
STS-78,330
STS-77,230
STS-51-D,160
STS-99,298
STS-73,335
STS-58,305
Apollo 16,57
STS-103,326
Gemini 10,17
STS-31,146
STS-42,267
Apollo 13,46
STS-41-D,147
Soyuz 19,15
STS-51C,159
STS-117,459
gemini 6A,23
STS-130,512
STS-75,163
STS-104,373
Salyut 7,93
Apollo 10,26
STS-43,228
STS-52,249
Soyuz 22,9
STS-43,257
STS-91,382
Apollo 11,29
STS-100,348
Soyuz TMA-4/TMA-3,436
Soyuz TMA-9,449
Salyut 6,74
Soyuz 12,65
52,509
Apollo 11,27
4,345
STS-89,373
Soyuz 25,84
23,271
STS-78,353
25,393
STS-50,219
18,328
8,241
STS 51-C,157
STS-79,266
36,479
STS-69,301
3,206
Soyuz TM-24/23,355
STS-51F,117
Gemini 7,21
STS-66,291
Soyuz 7,75
48,549
8,206
STS-92,337
STS-101,262
10,375
STS-74,192
STS-51-F,176
STS-127,306
STS-26,142
STS-119,457
27,241
STS-68,257
36,426
STS-49,273
29,525
Soyuz 21,35
STS-93,146
STS-51I,141
STS-65,314
STS-78,288
44,476
STS-3,62
18,99
STS-41-D,146
STS-51-G,120
STS-29,158
STS-114,365
STS-93,392
18,122
STS-40,255
20,505
1,136
STS-120,465
STS-33,215
STS-110,291
STS-40 Columbia,191
45,475
STS-121,444
STS-61-A,109
STS-118,397
STS-51-J,115
Soyuz TM-27/26,376
24,363
STS-113,226
STS-68,318
STS-124,479
STS-42,265
STS-75,280
STS-51,302
Salyut 7,182
STS­60,212
11,404
4,303
STS-87,330
Apollo 7,7
13,363
25,329
11,268
24,518
Gemini 7,22
STS-129,510
Soyuz 7,41
STS-50,276
17,475
8,268
STS-116,401
STS-124,444
STS-126,447
STS-125,494
Soyuz 3,32
STS-61-A,187
STS-94,313
STS-75,348
STS-51-J,185
Soyuz TM­4/3,207
STS-41-G,152
Skylab 2,20
STS-86,367
Soyuz 4,34
STS-51G,172
Soyuz TM-34 / Soyuz TM-33,419
STS-1,17
51,426
STS-114,349
STS-106,318
STS-82,319
Salyut 7,110
STS-128,387
39,513
1,332
STS-115,447
Soyuz 10,51
STS 51-L,157
Salyut 7,95
Soyuz 14,71
50,529
STS-33,165
STS-87,342
Apollo 14,49
Mercury-Atlas 8,7
STS-81,297
STS-96,335
44,542
STS-88,192
35,500
Soyuz 23,80
Salyut 7,137
STS-34,160
STS-52,257
5,204
STS87,371
50,552
36,532
39,458
34,501
STS-60,283
Gemini 5,8
Salyut 6,83
STS-132,478
STS-61-B,128
STS-99,383
STS-71,187
6,229
STS-90,377
13,289
19,384
49,522
STS-28,128
STS-41D,145
STS-61A,189
STS-128,503
6,429
41,508
STS-30,218
Soyuz 25,83
STS-41-B,133
8,271
59,559
2,123
STS-103,322
18,405
STS-101,331
34,498
STS-54,230
STS-122,295
31,384
Skylab 4,68
STS-61B Atlantis,191
STS-101,288
Mercury-Atlas 7,4
16,376
STS-90,304
STS-120,466
STS-26,119
Soyuz TMA-1/TM-34,427
Soyuz TMA-13,486
STS-126,489
STS-51-J,184
STS-51-B,165
Vostok 1,1
9,384
23,356
STS-110,415
STS-37,192
STS-100,323
Soyuz TM­33/32,241
Gemini 12,29
STS-50,187
Soyuz 23,81
STS-47,282
STS-74,243
STS-61C,142
STS-61C,198
Salyut 6,93
13,333
57,476
STS-118,463
STS-118,461
STS-132,474
STS-32,226
STS-29,215
5,422
STS-119,490
STS-76,309
STS-75,279
Apollo 7,30
Spacelab-3,167
STS-30,184
STS-66,322
STS-99,285
1,212
STS-29,144
Soyuz 38,85
STS-48,169
STS-33,117
STS-41-D,144
57,560
Soyuz T­2,79
19,208
3,328
STS-73,338
21,345
STS-131,397
26,467
STS-50,237
STS-61C,199
Soyuz 19,40
Salyut 7,100
Soyuz T­8,99
3,211
STS-51D,148
STS-5,114
Gemini 9A,23
STS-61,225
22,455
Soyuz 12,64
STS-53,262
STS-129,407
STS-59,273
STS-70,261
STS-100,392
STS-131,460
STS-35,180
STS-70,331
38,409
STS-134,482
STS-108,411
STS-122,469
35,531
STS­106,399
STS-64,288
5,423
STS-119,492
Skylab 4,67
STS-49,231
STS-118,462
STS-97,341
STS-51-C,156
STS-51L,202
Soyuz 11,53
STS-28,151
Gemini 6A,7
Atlas-1,130
STS-115,398
Shenzhou 6,442
Gemini 3,16
STS-124,481
STS-63,298
STS-123,350
STS-51-A,113
41,540
STS-45,151
STS-100,404
STS-110,416
Salyut 6,98
Soyuz 30,89
Spacelab-2,177
43,514
37,535
STS-91,197
Apollo 12,44
STS-55,170
Astro-2,239
STS-64,219
3,409
STS-92,314
STS-114,324
Mir EO-15,308
STS-45,196
STS-59,244
3,210
STS-83,298
Gemini 12,22
STS-86,226
18,435
54,555
STS-63,324
STS-98,310
18,343
STS-130,465
47,547
STS-41,235
STS-65,303
32,311
STS-61-C,132
STS-111,421
sts-46,281
STS-115,321
STS-57,296
Soyuz TMA­1/TM­34,395
STS-121,445
STS 101,308
STS-63,226
STS-71,223
STS-118,393
STS-41-B,76
STS-77,153
2,308
24,306
STS-43,171
STS-51-F,174
Salyut 7,107
37,536
Soyuz 37/36,43
28,523
STS-77,349
STS-84,361
1,205
STS-126,448
18,424
Gemini 8,24
STS-51 J,134
STS-115,448
Shenzhou 9,485
STS-8,127
STS-129,508
24,375
STS-119,458
STS-28,220
STS-100,335
STS-122,470
STS-39,250
STS-51-I,104
42,541
STS-34,222
STS-133,493
STS-7,121
STS-85,282
STS-109,350
STS-58,161
STS-69,334
34,340
STS-135,499
STS-31,135
STS-105,346
STS-56,291
STS-74,313
STS-37,244
Soyuz 28,87
STS-83,313
Astro-1,239
STS-125,326
STS-125,496
STS-116,453
STS-53,125
STS-46,227
STS-51-L,147
STS-47,285
STS-61,235
STS-77,263
STS-61-B,194
Soyuz TMA-11/10,464
STS-78,351
7,99
Soyuz 22,79
STS-119,404
STS-62,279
STS-8,126
STS-39,125
STS-45,270
Apollo 8,22
STS-90,378
Apollo 7,31
Soyuz 31,90
STS-72,270
STS-108,382
STS-65,250
STS-123,472
STS-46,280
STS-6,116
21,396
23,513
Salyut 7,98
26,384
STS-130,472
26,385
STS-67,326
STS-96,254
STS-83,358
STS-112,400
STS-41,234
54,556
Soyuz 11,42
Soyuz 6,40
STS-78,350
STS-95,323
Soyuz TM-25/24,357
Soyuz 33,92
Skylab 3,63
STS-51,301
Salyut 4,74
STS-61,192
STS-36,145
STS-104,407
STS-38,236
STS-93,324
STS-90,381
STS-113,428
Soyuz TM-17 / Soyuz TM-16,300
STS-84,362
STS-51-C,158
Soyuz TMA-6/TMA-5,418
48,525
Apollo 14,50
Soyuz 39,101
STS-86,327
Skylab 2,61
STS-86,108
STS-57,270
26,277
STS-41-B,135
STS-61,179
27,480
STS-105,344
STS-42,265
20,498
STS-51-D,115
STS-107,369
24,208
15,426
Apollo 8,33
Salyut 7,88
STS-51-I,179
60,563
STS-35,163
Soyuz 16,51
STS-41-G,153
