"Class 
Number","Gen
Ed",Class,Description,"Credit
Hours",Days,"Begin 
Time","End 
Time",Room,Instructor,"Instruction 
Mode","Start 
Date","End 
Date"
MATHEMATICS,,,,,,,,,,,,
ART ,,,,,,,,,,,,
COMMUNICATIONS,,,,,,,,,,,,
COMPUTER MANUFACTURING AND MACHINES,,,,,,,,,,,,
CIS,,,,,,,,,,,,
KINESIOLOGY AND HEALTH PROMOTION,,,,,,,,,,,,
AUTOMOTIVE TECHNOLOGY,,,,,,,,,,,,
THEATRE,,,,,,,,,,,,
ENGLISH,,,,,,,,,,,,
AGRICULTURAL TECHNOLOGY AND STUDIES,,,,,,,,,,,,
MEDICAL INFORMATION TECHNOLOGY,,,,,,,,,,,,
COMMUNICATIONS,,,,,,,,,,,,
CIS,,,,,,,,,,,,
AGRICULTURAL TECHNOLOGY AND STUDIES,,,,,,,,,,,,
FIRST YEAR EXPERIENCE,,,,,,,,,,,,
COMPUTER MANUFACTURING AND MACHINES,,,,,,,,,,,,
ENGINEERING TECHNOLOGY,,,,,,,,,,,,
HUMAN SERVICES,,,,,,,,,,,,
AUTOMOTIVE TECHNOLOGY,,,,,,,,,,,,
SPANISH LANGUAGE AND LITERATURE,,,,,,,,,,,,
AIR CONDITIONING AND REFRIGERATION,,,,,,,,,,,,
CRIMINAL JUSTICE,,,,,,,,,,,,
EDUCATION,,,,,,,,,,,,
BIOLOGICAL SCIENCES,,,,,,,,,,,,
SOCIOLOGY,,,,,,,,,,,,
AUTOMOTIVE TECHNOLOGY,,,,,,,,,,,,
NURSING,,,,,,,,,,,,
MATHEMATICS,,,,,,,,,,,,
ELECTRICAL TECHNOLOGY,,,,,,,,,,,,
ENGLISH,,,,,,,,,,,,
BIOLOGICAL SCIENCES,,,,,,,,,,,,
ENGINEERING TECHNOLOGY,,,,,,,,,,,,
AGRICULTURAL TECHNOLOGY AND STUDIES,,,,,,,,,,,,
NURSING,,,,,,,,,,,,
CHEMISTRY,,,,,,,,,,,,
BIOLOGICAL SCIENCES,,,,,,,,,,,,
EMS PARAMEDIC/ALLIED HEALTH Contact Jimmy VanCleve at 888-306-8015 or Kay Whittington at 270-686-4490 for further information.,,,,,,,,,,,,
ENGLISH,,,,,,,,,,,,
ENGINEERING TECHNOLOGY,,,,,,,,,,,,
44413.0,,ELT 110-A002,50,5,10,15,2,46,54,2.0,43696.0,43814.0
BIOLOGICAL SCIENCES,,,,,,,,,,,,
AIR CONDITIONING AND REFRIGERATION,,,,,,,,,,,,
AGRICULTURAL TECHNOLOGY AND STUDIES,,,,,,,,,,,,
MATHEMATICS,,,,,,,,,,,,
SOCIOLOGY,,,,,,,,,,,,
ENGLISH,,,,,,,,,,,,
MATHEMATICS,,,,,,,,,,,,
PSYCHOLOGY,,,,,,,,,,,,
ENGLISH,,,,,,,,,,,,
BUSINESS ADMINISTRATION SYSTEMS,,,,,,,,,,,,
FIRST YEAR EXPERIENCE,,,,,,,,,,,,
AIR CONDITIONING AND REFRIGERATION,,,,,,,,,,,,
STATISTICS,,,,,,,,,,,,
BIOLOGICAL SCIENCES,,,,,,,,,,,,
RADIOGRAPHY,,,,,,,,,,,,
ART ,,,,,,,,,,,,
AUTOMOTIVE TECHNOLOGY,,,,,,,,,,,,
PHILOSOPHY,,,,,,,,,,,,
ELECTRICAL TECHNOLOGY,,,,,,,,,,,,
ENGLISH,,,,,,,,,,,,
STATISTICS,,,,,,,,,,,,
MATHEMATICS,,,,,,,,,,,,
ENGLISH,,,,,,,,,,,,
 ACCOUNTING ,,,,,,,,,,,,
AUTOMOTIVE TECHNOLOGY,,,,,,,,,,,,
ELECTRICAL TECHNOLOGY,,,,,,,,,,,,
44435.0,,EET 264-A001,48,2,2,16,7,43,51,2.0,43696.0,43814.0
THEATRE,,,,,,,,,,,,
BIOLOGICAL SCIENCES,,,,,,,,,,,,
 ACCOUNTING ,,,,,,,,,,,,
NURSING,,,,,,,,,,,,
COMPUTER MANUFACTURING AND MACHINES,,,,,,,,,,,,
WELDING,,,,,,,,,,,,
HISTORY,,,,,,,,,,,,
ENGLISH,,,,,,,,,,,,
CIS,,,,,,,,,,,,
PHYSICS,,,,,,,,,,,,
HISTORY,,,,,,,,,,,,
FIRST YEAR EXPERIENCE,,,,,,,,,,,,
AIR CONDITIONING AND REFRIGERATION,,,,,,,,,,,,
ENGINEERING TECHNOLOGY,,,,,,,,,,,,
44417.0,,ELT 120-A001,52,3,2,16,7,47,52,2.0,43696.0,43814.0
BIOLOGICAL SCIENCES,,,,,,,,,,,,
CIS,,,,,,,,,,,,
SOCIOLOGY,,,,,,,,,,,,
COMMUNICATIONS,,,,,,,,,,,,
PSYCHOLOGY,,,,,,,,,,,,
AUTOMOTIVE TECHNOLOGY,,,,,,,,,,,,
WELDING,,,,,,,,,,,,
NURSING,,,,,,,,,,,,
COMMUNICATIONS,,,,,,,,,,,,
AUTOMOTIVE TECHNOLOGY,,,,,,,,,,,,
BIOLOGICAL SCIENCES,,,,,,,,,,,,
FIRST YEAR EXPERIENCE,,,,,,,,,,,,
CHEMISTRY,,,,,,,,,,,,
NURSING,,,,,,,,,,,,
AGRICULTURAL TECHNOLOGY AND STUDIES,,,,,,,,,,,,
CIS,,,,,,,,,,,,
MUSIC,,,,,,,,,,,,
GEOGRAPHY,,,,,,,,,,,,
MEDICAL INFORMATION TECHNOLOGY,,,,,,,,,,,,
ECONOMICS,,,,,,,,,,,,
MATHEMATICS,,,,,,,,,,,,
COMPUTER MANUFACTURING AND MACHINES,,,,,,,,,,,,
BIOLOGICAL SCIENCES,,,,,,,,,,,,
PSYCHOLOGY,,,,,,,,,,,,
WELDING,,,,,,,,,,,,
ENGLISH,,,,,,,,,,,,
RELIGIOUS STUDIES,,,,,,,,,,,,
MEDICAL INFORMATION TECHNOLOGY,,,,,,,,,,,,
ENGINEERING TECHNOLOGY,,,,,,,,,,,,
CIS,,,,,,,,,,,,
WELDING,,,,,,,,,,,,
AIR CONDITIONING AND REFRIGERATION,,,,,,,,,,,,
BIOLOGICAL SCIENCES,,,,,,,,,,,,
EDUCATION,,,,,,,,,,,,
COMMUNICATIONS,,,,,,,,,,,,
FIRE/RESCUE SCIENCE  Contact Jimmy VanCleve at 888-306-8015 or Kay Whittington at 270-686-4490 for further information.,,,,,,,,,,,,
WELDING,,,,,,,,,,,,
FIRST YEAR EXPERIENCE,,,,,,,,,,,,
WELDING,,,,,,,,,,,,
RADIOGRAPHY,,,,,,,,,,,,
PHYSICS,,,,,,,,,,,,
AUTOMOTIVE TECHNOLOGY,,,,,,,,,,,,
SURGICAL TECHNOLOGY,,,,,,,,,,,,
COMMUNICATIONS,,,,,,,,,,,,
ENGLISH,,,,,,,,,,,,
ENGINEERING TECHNOLOGY,,,,,,,,,,,,
STATISTICS,,,,,,,,,,,,
ENGLISH,,,,,,,,,,,,
COMMUNICATIONS,,,,,,,,,,,,
ENGLISH,,,,,,,,,,,,
RELIGIOUS STUDIES,,,,,,,,,,,,
MATHEMATICS,,,,,,,,,,,,
BIOLOGICAL SCIENCES,,,,,,,,,,,,
RADIOGRAPHY,,,,,,,,,,,,
ENGINEERING TECHNOLOGY,,,,,,,,,,,,
MEDICAL INFORMATION TECHNOLOGY,,,,,,,,,,,,
MATHEMATICS,,,,,,,,,,,,
ENGINEERING TECHNOLOGY,,,,,,,,,,,,
ENGLISH,,,,,,,,,,,,
AUTOMOTIVE TECHNOLOGY,,,,,,,,,,,,
THEATRE,,,,,,,,,,,,
MATHEMATICS,,,,,,,,,,,,
AGRICULTURAL TECHNOLOGY AND STUDIES,,,,,,,,,,,,
PSYCHOLOGY,,,,,,,,,,,,
ENGLISH,,,,,,,,,,,,
WELDING,,,,,,,,,,,,
EMS PARAMEDIC/ALLIED HEALTH Contact Jimmy VanCleve at 888-306-8015 or Kay Whittington at 270-686-4490 for further information.,,,,,,,,,,,,
MEDICAL INFORMATION TECHNOLOGY,,,,,,,,,,,,
NURSING ASSISTANT,,,,,,,,,,,,
HUMAN SERVICES,,,,,,,,,,,,
NURSING,,,,,,,,,,,,
CIS,,,,,,,,,,,,
SURGICAL TECHNOLOGY,,,,,,,,,,,,
BIOLOGICAL SCIENCES,,,,,,,,,,,,
WELDING,,,,,,,,,,,,
AGRICULTURAL TECHNOLOGY AND STUDIES,,,,,,,,,,,,
AUTOMOTIVE TECHNOLOGY,,,,,,,,,,,,
OFFICE SYSTEMS TECHNOLOGY,,,,,,,,,,,,
THEATRE,,,,,,,,,,,,
MEDICAL ASSISTING,,,,,,,,,,,,
ENGINEERING TECHNOLOGY,,,,,,,,,,,,
VETERINARY TECHNOLOGY,,,,,,,,,,,,
MATHEMATICS,,,,,,,,,,,,
RADIOGRAPHY,,,,,,,,,,,,
WELDING,,,,,,,,,,,,
SPANISH LANGUAGE AND LITERATURE,,,,,,,,,,,,
MEDICAL INFORMATION TECHNOLOGY,,,,,,,,,,,,
NURSING,,,,,,,,,,,,
BIOLOGICAL SCIENCES,,,,,,,,,,,,
FIRST YEAR EXPERIENCE,,,,,,,,,,,,
ENGLISH,,,,,,,,,,,,
OFFICE SYSTEMS TECHNOLOGY,,,,,,,,,,,,
NURSING,,,,,,,,,,,,
MATHEMATICS,,,,,,,,,,,,
NURSING,,,,,,,,,,,,
FIRST YEAR EXPERIENCE,,,,,,,,,,,,
COMPUTER MANUFACTURING AND MACHINES,,,,,,,,,,,,
COMMUNICATIONS,,,,,,,,,,,,
ENGLISH,,,,,,,,,,,,
RADIOGRAPHY,,,,,,,,,,,,
WELDING,,,,,,,,,,,,
EMS PARAMEDIC/ALLIED HEALTH Contact Jimmy VanCleve at 888-306-8015 or Kay Whittington at 270-686-4490 for further information.,,,,,,,,,,,,
COMMUNICATIONS,,,,,,,,,,,,
AUTOMOTIVE TECHNOLOGY,,,,,,,,,,,,
55299.0,,2,9,2,5,0,10,6,5,2.0,43696.0,43814.0
AIR CONDITIONING AND REFRIGERATION,,,,,,,,,,,,
 ACCOUNTING ,,,,,,,,,,,,
HEALTHCARE FACILITIES LEADERSHIP,,,,,,,,,,,,
ENERGY SYSTEMS,,,,,,,,,,,,
ENGINEERING TECHNOLOGY,,,,,,,,,,,,
BUSINESS ADMINISTRATION SYSTEMS,,,,,,,,,,,,
PSYCHOLOGY,,,,,,,,,,,,
INDUSTRIAL MANTIENENCE TECHNOLGOY,,,,,,,,,,,,
PSYCHOLOGY,,,,,,,,,,,,
HISTORY,,,,,,,,,,,,
44979.0,0,HIS 105-A0Z1,63,3,1,1,1,1,78,1.0,43696.0,43814.0
MATHEMATICS,,,,,,,,,,,,
WELDING,,,,,,,,,,,,
ENGLISH,,,,,,,,,,,,
ELECTRICAL TECHNOLOGY,,,,,,,,,,,,
ENGLISH,,,,,,,,,,,,
44575.0,0,ENG 105-A001,Writing: An Accelerated Course,3,0,0,0,36,64,2.0,43696.0,43814.0
FIRST YEAR EXPERIENCE,,,,,,,,,,,,
ASTRONOMY,,,,,,,,,,,,
INTERDISCIPLINARY EARLY CHILDHOOD EDUCATION,,,,,,,,,,,,
ART ,,,,,,,,,,,,
INDUSTRIAL MANTIENENCE TECHNOLGOY,,,,,,,,,,,,
DIESEL TECHNOLOGY,,,,,,,,,,,,
BIOLOGICAL SCIENCES,,,,,,,,,,,,
NURSING,,,,,,,,,,,,
FIRST YEAR EXPERIENCE,,,,,,,,,,,,
DIESEL TECHNOLOGY,,,,,,,,,,,,
NURSING,,,,,,,,,,,,
COMMUNICATIONS,,,,,,,,,,,,
RELIGIOUS STUDIES,,,,,,,,,,,,
PSYCHOLOGY,,,,,,,,,,,,
CIS,,,,,,,,,,,,
AUTOMOTIVE TECHNOLOGY,,,,,,,,,,,,
AIR CONDITIONING AND REFRIGERATION,,,,,,,,,,,,
BIOLOGICAL SCIENCES,,,,,,,,,,,,
44549.0,1,BIO 113-A0Z1,23,1,1,1,1,1,23,1.0,43696.0,43814.0
MATHEMATICS,,,,,,,,,,,,
BIOLOGICAL SCIENCES,,,,,,,,,,,,
ECONOMICS,,,,,,,,,,,,
MEDICAL INFORMATION TECHNOLOGY,,,,,,,,,,,,
RADIOGRAPHY,,,,,,,,,,,,
ECONOMICS,,,,,,,,,,,,
ENGINEERING TECHNOLOGY,,,,,,,,,,,,
BIOLOGICAL SCIENCES,,,,,,,,,,,,
AUTOMOTIVE TECHNOLOGY,,,,,,,,,,,,
WELDING,,,,,,,,,,,,
MATHEMATICS,,,,,,,,,,,,
CIS,,,,,,,,,,,,
ECONOMICS,,,,,,,,,,,,
PSYCHOLOGY,,,,,,,,,,,,
EMS PARAMEDIC/ALLIED HEALTH Contact Jimmy VanCleve at 888-306-8015 or Kay Whittington at 270-686-4490 for further information.,,,,,,,,,,,,
MEDICAL ASSISTING,,,,,,,,,,,,
ENGLISH,,,,,,,,,,,,
NURSING,,,,,,,,,,,,
PSYCHOLOGY,,,,,,,,,,,,
BIOLOGICAL SCIENCES,,,,,,,,,,,,
COMMUNICATIONS,,,,,,,,,,,,
CIS,,,,,,,,,,,,
MUSIC,,,,,,,,,,,,
INDUSTRIAL CORE,,,,,,,,,,,,
ELECTRICAL TECHNOLOGY,,,,,,,,,,,,
EMS PARAMEDIC/ALLIED HEALTH Contact Jimmy VanCleve at 888-306-8015 or Kay Whittington at 270-686-4490 for further information.,,,,,,,,,,,,
MATHEMATICS,,,,,,,,,,,,
RADIOGRAPHY,,,,,,,,,,,,
AUTOMOTIVE TECHNOLOGY,,,,,,,,,,,,
CHEMISTRY,,,,,,,,,,,,
BIOLOGICAL SCIENCES,,,,,,,,,,,,
RADIOGRAPHY,,,,,,,,,,,,
ENGINEERING TECHNOLOGY,,,,,,,,,,,,
INDUSTRIAL MANTIENENCE TECHNOLGOY,,,,,,,,,,,,
AGRICULTURAL TECHNOLOGY AND STUDIES,,,,,,,,,,,,
AUTOMOTIVE TECHNOLOGY,,,,,,,,,,,,
CIS,,,,,,,,,,,,
MATHEMATICS,,,,,,,,,,,,
45427.0,9,MAT 141-A001,71,3,2,5,24,61,82,2.0,43696.0,43814.0
AUTOMOTIVE TECHNOLOGY,,,,,,,,,,,,
AGRICULTURAL TECHNOLOGY AND STUDIES,,,,,,,,,,,,
MATHEMATICS,,,,,,,,,,,,
GEOLOGICAL SCIENCES,,,,,,,,,,,,
ENGLISH,,,,,,,,,,,,
CIS,,,,,,,,,,,,
ENGINEERING TECHNOLOGY,,,,,,,,,,,,
BIOLOGICAL SCIENCES,,,,,,,,,,,,
COMPUTER MANUFACTURING AND MACHINES,,,,,,,,,,,,
MATHEMATICS,,,,,,,,,,,,
COOPERATIVE EDUCATION,,,,,,,,,,,,
BIOLOGICAL SCIENCES,,,,,,,,,,,,
ENGINEERING TECHNOLOGY,,,,,,,,,,,,
CIS,,,,,,,,,,,,
PSYCHOLOGY,,,,,,,,,,,,
MUSIC,,,,,,,,,,,,
BIOLOGICAL SCIENCES,,,,,,,,,,,,
HEALTHCARE FACILITIES LEADERSHIP,,,,,,,,,,,,
HISTORY,,,,,,,,,,,,
EMS PARAMEDIC/ALLIED HEALTH Contact Jimmy VanCleve at 888-306-8015 or Kay Whittington at 270-686-4490 for further information.,,,,,,,,,,,,
ENGLISH,,,,,,,,,,,,
AGRICULTURAL TECHNOLOGY AND STUDIES,,,,,,,,,,,,
HEALTHCARE FACILITIES LEADERSHIP,,,,,,,,,,,,
MUSIC,,,,,,,,,,,,
VETERINARY TECHNOLOGY,,,,,,,,,,,,
CIS,,,,,,,,,,,,
SURGICAL TECHNOLOGY,,,,,,,,,,,,
BIOLOGICAL SCIENCES,,,,,,,,,,,,
CIS,,,,,,,,,,,,
PSYCHOLOGY,,,,,,,,,,,,
CRIMINAL JUSTICE,,,,,,,,,,,,
BIOLOGICAL SCIENCES,,,,,,,,,,,,
INDUSTRIAL MANTIENENCE TECHNOLGOY,,,,,,,,,,,,
DIESEL TECHNOLOGY,,,,,,,,,,,,
BIOLOGICAL SCIENCES,,,,,,,,,,,,
CRIMINAL JUSTICE,,,,,,,,,,,,
MEDICAL INFORMATION TECHNOLOGY,,,,,,,,,,,,
HISTORY,,,,,,,,,,,,
WELDING,,,,,,,,,,,,
BUSINESS ADMINISTRATION SYSTEMS,,,,,,,,,,,,
CRIMINAL JUSTICE,,,,,,,,,,,,
WELDING,,,,,,,,,,,,
RADIOGRAPHY,,,,,,,,,,,,
WELDING,,,,,,,,,,,,
NURSING,,,,,,,,,,,,
ELECTRICAL TECHNOLOGY,,,,,,,,,,,,
COOPERATIVE EDUCATION,,,,,,,,,,,,
OFFICE SYSTEMS TECHNOLOGY,,,,,,,,,,,,
PSYCHOLOGY,,,,,,,,,,,,
THEATRE,,,,,,,,,,,,
BIOLOGICAL SCIENCES,,,,,,,,,,,,
COMMUNICATIONS,,,,,,,,,,,,
RELIGIOUS STUDIES,,,,,,,,,,,,
