28.80%,29.50%,29.00%,22.50%,30.00%,29.30%,31.90%,31.00%,26.30%,37.60%,27.00%,23.00%,33.70%,26.70%,31.40%,26.90%,25.80%,25.70%,36.30%,27.50%,37.90%,36.80%,34.90%,27.80%,24.90%,31.10%,19.20%,30.80%
57.90%,59.50%,59.90%,56.00%,59.40%,65.20%,61.60%,61.60%,54.90%,62.80%,64.60%,59.30%,66.20%,63.30%,57.20%,57.10%,56.20%,62.70%,60.80%,54.50%,64.10%,60.60%,63.80%,63.50%,56.30%,59.50%,49.20%,58.80%
24.40%,21.80%,19.10%,23.80%,21.50%,24.80%,19.70%,24.60%,23.60%,21.10%,24.60%,23.00%,23.30%,23.30%,23.20%,22.10%,22.10%,23.70%,22.20%,23.50%,22.40%,22.20%,19.50%,22.30%,22.60%,30.20%,20.50%,21.60%
"$25,737 ","$26,381 ","$27,655 ","$24,981 ","$30,554 ","$27,882 ","$31,118 ","$27,706 ","$24,012 ","$38,803 ","$26,747 ","$26,541 ","$32,157 ","$27,950 ","$30,318 ","$26,607 ","$24,604 ","$29,803 ","$34,152 ","$25,848 ","$36,897 ","$36,582 ","$34,362 ","$28,340 ","$25,227 ","$24,686 ","$23,450 ","$29,822 "
6.40%,5.40%,0.20%,3.30%,6.00%,4.40%,0.30%,1.90%,1.10%,0.10%,6.30%,8.90%,4.10%,2.90%,5.40%,0.40%,7.30%,3.90%,5.10%,8.40%,4.20%,1.70%,1.40%,1.60%,4.80%,10.40%,-1.20%,5.00%
9.40%,3.60%,1.60%,5.00%,9.20%,10.70%,14.90%,11.60%,48.50%,15.70%,3.70%,28.50%,5.20%,5.80%,38.90%,5.00%,5.50%,10.00%,9.10%,30.90%,9.80%,20.00%,3.50%,6.70%,5.20%,13.80%,1.50%,10.40%
"800,585","93,393","115,839","354,460","60,318","137,254","79,837","203,401","128,693","281,182","66,219","191,293","419,628","217,779","3,176,341","733,517","303,137","51,353","548,439","427,582","462,232","707,975","108,817","370,755","469,392","219,807","94,960","101,334"
32.00%,0.60%,1.50%,32.60%,22.60%,5.00%,8.10%,6.20%,2.50%,11.80%,2.00%,9.60%,6.20%,3.70%,6.50%,14.20%,27.50%,1.30%,19.80%,4.90%,30.70%,15.00%,1.50%,6.60%,17.10%,1.40%,3.60%,2.20%
0.10%,0.10%,Z,0.10%,0.10%,0.10%,0.20%,0.10%,0.20%,0.10%,0.10%,0.80%,0.10%,0.10%,0.50%,Z,0.10%,0.10%,0.10%,0.30%,0.10%,0.10%,0.10%,0.10%,0.10%,1.00%,Z,10.20%
27.4,18.1,23.6,25.1,25.5,18.3,24.2,19.1,21.6,25.4,16.9,23.9,23.1,18.9,28.0,24.2,23.9,18.3,27.9,24.8,32.3,31.0,26.9,21.9,24.5,21.6,25.6,26.8
