original_title,title_length,production_companies
(500) Days of Summer,20," Watermark, Fox Searchlight Pictures,  Dune Entertainment III"
"10,000 BC",9," The Department of Trade and Industry of South Africa,  Moonlighting Films,  Warner Bros., Centropolis Entertainment,  Legendary Pictures"
102 Dalmatians,14," Cruella Productions, Walt Disney Pictures"
12 Rounds,9," WWE Studios,  Fox Atomic,  20th Century Fox Home Entertainment, The Mark Gordon Company,  Midnight Sun Pictures"
12 Years a Slave,16," Regency Enterprises,  River Road Entertainment,  New Regency Pictures,  Film4, Plan B Entertainment"
127 Hours,9,"Fox Searchlight Pictures,  Dune Entertainment,  Cloud Eight Films,  Warner Bros.,  Darlow Smithson Productions"
13 Going On 30,14,"Columbia Pictures,  Thirteen Productions,  Revolution Studios"
1408,4,Dimension Films
15 Minutes,10," Industry Entertainment, New Line Cinema,  Tribeca Productions,  New Redemption Pictures"
16 Blocks,9," Nu Image Entertainment GmbH,  Millennium Films, Donners' Company,  Cheyenne Enterprises,  Alcon Entertainment"
17 Again,8," Offspring Entertainment, New Line Cinema"
2 Fast 2 Furious,16,"Mikona Productions GmbH & Co. KG,  Ardustry Entertainment,  Universal Pictures,  Original Film"
2 Guns,6,"Universal Studios,  Marc Platt Productions,  Envision Entertainment Corporation,  Emmett/Furla Films"
2012,4," The Mark Gordon Company,  Farewell Productions, Columbia Pictures,  Centropolis Entertainment"
21,2,"Columbia Pictures,  Relativity Media"
21 & Over,9," Mandeville Films,  Virgin Produced, Relativity Media,  SkyLand Entertainment"
21 Grams,8," Y Productions,  Mediana Productions Filmgesellschaft, This Is That Productions"
21 Jump Street,14," Metro-Goldwyn-Mayer (MGM), Columbia Pictures,  Relativity Media,  Original Film,  Stephen J. Cannell Productions"
22 Jump Street,14," Original Film,  Media Rights Capital, Columbia Pictures,  Cannell Studios,  Metro-Goldwyn-Mayer (MGM)"
27 Dresses,10," Dune Entertainment III,  Fox 2000 Pictures, Spyglass Entertainment"
28 Days Later...,16,"DNA Films,  British Film Council"
28 Weeks Later,14," Figment Films,  Fox Atomic,  UK Film Council,  Sociedad General de Cine S.A., DNA Films"
3 Idiots,8,Vidhu Vinod Chopra Productions
30 Days of Night,16," HorrorFlix,  Dark Horse Entertainment,  Ghost House Pictures, Columbia Pictures"
30 Minutes or Less,18,Columbia Pictures
300,3," Hollywood Gang Productions, Virtual Studios,  Legendary Pictures,  Atmosphere Entertainment MM,  Warner Bros."
3000 Miles to Graceland,23," Morgan Creek Productions,  Warner Bros., Franchise Pictures"
300: Rise of an Empire,22," Hollywood Gang Productions, Legendary Pictures,  Nimar Studios,  Atmosphere Entertainment MM,  Warner Bros."
3:10 to Yuma,12,"Tree Line Films,  Yuma,  Relativity Media,  Lionsgate"
42,2,Warner Bros.
47 Ronin,8," H2F Entertainment,  Universal,  Stuber Productions, Mid Atlantic Films,  Moving Picture Company (MPC)"
4: Rise of the Silver Surfer,28," 1492 Pictures,  Constantin Film Produktion,  Twentieth Century Fox Film Corporation,  Dune Entertainment, Ingenious Film Partners"
50 First Dates,14," Anonymous Content, Columbia Pictures Corporation,  Flower Films (II),  Happy Madison Productions"
50/50,5,"Summit Entertainment,  Mandate Pictures"
8 Mile,6,"Imagine Entertainment,  Mikona Productions GmbH & Co. KG"
88 Minutes,10," Brightlight Pictures,  Nu Image Entertainment, TriStar Pictures"
9,1," Starz Animation,  Relativity Media, Focus Films,  Tim Burton Productions,  Arc Productions"
A Beautiful Mind,16," DreamWorks SKG,  Universal Pictures, Imagine Entertainment"
A Christmas Carol,17,"Walt Disney,  ImageMovers"
A Cinderella Story,18," Dylan Sellers Productions,  Clifford Werber Productions,  Warner Bros., Gaylord Films"
A Dangerous Method,18,"Recorded Pictures Company,  The Movie Network,  Millbrook Pictures,  Prospero Pictures,  Lago Film"
A Good Day to Die Hard,22,"Ingenious Media,  Mid Atlantic Films,  Twentieth Century Fox Film Corporation,  Dune Entertainment,  Big Screen Productions"
A Good Year,11," Scott Free Productions, Fox 2000 Pictures"
A Guy Thing,11," David Ladd Films, Metro-Goldwyn-Mayer (MGM)"
A History of Violence,21," BenderSpink,  DC Comics, New Line Cinema"
A Knight's Tale,15,"Columbia Pictures Corporation,  Finestkind,  Escape Artists,  Black and Blu Entertainment"
A Lot Like Love,15," Beacon Pictures,  Touchstone Pictures,  Kevin Messick Productions, Mile High Productions"
A Man Apart,11," Newman/Tooley Films,  ""DIA"" Productions GmbH & Co. KG, New Line Cinema,  Joseph Nittolo Entertainment"
A Mighty Heart,14," Paramount Vantage, Plan B Entertainment,  Revolution Films"
A Mighty Wind,13,Castle Rock Entertainment
A Most Violent Year,19," FilmNation Entertainment,  Washington Square Films,  Imagenation Abu Dhabi FZ, Participant Media,  Before the Door Pictures"
A Nightmare on Elm Street,25,"New Line Cinema,  Platinum Dunes"
A Perfect Getaway,17," Rogue,  Tooley Productions, Davis Entertainment,  Relativity Media,  QED International"
A Scanner Darkly,16," Warner Independent Pictures (WIP), Thousand Words,  Section Eight Productions,  Detour Filmproduction"
A Serious Man,13," Relativity Media, Mike Zoss Productions,  Studio Canal,  Focus Features,  Working Title Films"
A Sound of Thunder,18," Franchise Pictures,  Baldwin Entertainment Group,  Dante Entertainment,  Crusader Entertainment, Epsilon Motion Pictures"
A Thousand Words,16," DreamWorks SKG, Paramount Pictures,  Saturn Films,  Varsity Pictures"
A Very Harold & Kumar Christmas,31," Mandate Pictures, New Line Cinema"
A Walk Among the Tombstones,27,"Double Feature Films,  Exclusive Media Group,  Jersey Films,  Cross Creek Pictures,  1984 Private Defense Contractors"
A Walk in the Woods,19," Route One Films, Wildwood Enterprises"
A Walk to Remember,18," Warner Bros., Pandora Pictures"
A.I. Artificial Intelligence,28," Amblin Entertainment,  Warner Bros.,  Stanley Kubrick Productions, DreamWorks SKG"
AVP: Alien vs. Predator,23," Stillking Films, Impact Pictures,  Davis Entertainment,  Twentieth Century Fox Film Corporation,  Studio Babelsberg"
Abandon,7," Spyglass Entertainment, Paramount Pictures,  Touchstone Pictures"
Abduction,9," Tailor Made,  Mango Farms,  Gotham Group,  Vertigo Entertainment, Lions Gate Films"
About Last Night,16,"Screen Gems,  Rainforest Films,  Inc.,  Olive Bridge Entertainment"
About Schmidt,13," Avery Pix, New Line Cinema"
About a Boy,11,Universal Pictures
Abraham Lincoln: Vampire Hunter,31," Location Gourmet,  Tim Burton Productions, Bazelevs Production,  Abraham Productions"
Accepted,8," Shady Acres Entertainment, Universal Pictures"
Act of Valor,12," Bandito Brothers, Relativity Media"
Action Replayy,14," Hari Om Entertainment Co., PVR Cinemas,  Blockbuster Movie Entertainers"
Adaptation.,11," Clinica Estetico,  Propaganda Films, Columbia Pictures,  Intermedia,  Beverly Detroit"
Admission,9,Focus Features
Adventureland,13," This Is That Productions, Miramax Films,  Sidney Kimmel Entertainment"
After Earth,11,"Columbia Pictures,  Blinding Edge Pictures,  Overbrook Entertainment"
Agent Cody Banks,16," Metro-Goldwyn-Mayer (MGM),  Madacy Entertainment,  Dylan Sellers Productions,  Maverick Films, Splendid Pictures"
Agent Cody Banks 2: Destination London,38," Dylan Sellers Productions, Splendid Pictures,  Madacy Entertainment,  Metro-Goldwyn-Mayer (MGM),  Maverick Films"
Agora,5," Mod Producciones,  Canal+ EspaÃ±a,  Nimar Studios,  Telecinco Cinema, HimenÃ³ptero"
Akeelah and the Bee,19," 2929 Productions,  Out of the Blue... Entertainment,  Starbucks Entertainment,  Cinema Gypsy Productions, Lions Gate Films"
Albert Nobbs,12,Chrysalis Films
Alex & Emma,11," Reiner-Greisman,  Franchise Pictures,  Escape Artists, Epsilon Motion Pictures"
Alex Cross,10,Summit Entertainment
Alexander,9," Warner Bros.,  PathÃ© Renn Productions, France 3 CinÃ©ma,  Intermedia Films,  Egmond Film & Television"
"Alexander and the Terrible, Horrible, No Good, Very Bad Day",59," Jim Henson Company,  21 Laps Entertainment,  The, Walt Disney Pictures"
Alfie,5,"Paramount Pictures,  Patalex Productions"
Ali,3,Columbia Pictures Corporation
Alice in Wonderland,19," Team Todd,  Zanuck Company,  The,  Tim Burton Productions,  Roth Films, Walt Disney Pictures"
Aliens in the Attic,19," Upstairs Canada Productions,  Josephson Entertainment,  New Upstairs Productions, Twentieth Century Fox Film Corporation,  Regency Enterprises"
All About Steve,15," Dune Entertainment III, Dune Entertainment,  Fortis Films,  Radar Pictures,  Fox 2000 Pictures"
All About the Benjamins,23,New Line Cinema
All Is Lost,11," FilmNation Entertainment, Sudden Storm Productions,  Before the Door Pictures,  Washington Square Films,  Treehouse Pictures"
All the King's Men,18," Relativity Media,  VIP 4 Medienfonds, Columbia Pictures Corporation,  Rising Star,  Phoenix Pictures"
Almost Famous,13," Vinyl Films,  DreamWorks Pictures, Columbia Pictures"
Aloha,5," Regency Enterprises,  Vinyl Films,  RatPac Entertainment, Columbia Pictures,  Sony Pictures Entertainment (SPE)"
Alone in the Dark,17," Herold Productions,  Lionsgate, Boll Kino Beteiligungs GmbH & Co. KG,  Brightlight Pictures,  Infogrames Entertainment"
Along Came Polly,16,"Universal Pictures,  Jersey Films,  Loofah Productions"
Along Came a Spider,19," David Brown Productions,  Phase 1 Productions,  MFP Munich Film Partners,  AZL Productions KG, Paramount Pictures"
Alpha and Omega,15," Crest Animation Productions, Lions Gate Family Entertainment,  Relativity Media"
Alvin and the Chipmunks,23," Regency Enterprises, Dune Entertainment,  Fox 2000 Pictures,  Bagdasarian Productions"
Alvin and the Chipmunks: Chipwrecked,36,Fox 2000 Pictures
Alvin and the Chipmunks: The Squeakquel,39,"Regency Enterprises,  Fox 2000 Pictures,  Bagdasarian Productions"
American Dreamz,15,"Universal Pictures,  Depth of Field"
American Gangster,17," Universal Pictures,  Film Rites,  Relativity Media, Imagine Entertainment,  Scott Free Productions"
American Hustle,15,"Columbia Pictures,  Annapurna Pictures,  Atlas Entertainment"
American Outlaws,16,"Warner Bros. Pictures,  Morgan Creek Productions"
American Pie 2,14," Liveplanet, Universal Pictures,  Zide-Perry Productions"
American Psycho,15," Muse Productions,  Edward R. Pressman Film, Lions Gate Films"
American Reunion,16,Universal Pictures
American Sniper,15," Malpaso Productions,  Warner Bros., Village Roadshow Pictures,  Mad Chance Productions,  RatPac-Dune Entertainment"
American Wedding,16," LivePlanet,  Loumolo & Co., Universal Pictures,  Zide-Perry Productions"
An Education,12,BBC Films
An Unfinished Life,18,"Miramax Films,  Persistent Entertainment,  Revolution Studios,  Initial Entertainment Group (IEG),  The Ladd Company"
Anchorman 2: The Legend Continues,33," Apatow Productions, Paramount Pictures,  Gary Sanchez Productions"
Anchorman: The Legend of Ron Burgundy,37,Apatow Productions
Angel Eyes,10,"Warner Bros. Pictures,  Morgan Creek Productions,  Franchise Pictures"
Angels & Demons,15,"Columbia Pictures,  Skylark Productions,  Panorama Films,  Imagine Entertainment"
Anger Management,16," Happy Madison Productions, Columbia Pictures,  Revolution Studios"
Annabelle,9," Evergreen Media Group,  The Safran Company, New Line Cinema,  RatPac-Dune Entertainment"
Annapolis,9,Touchstone Pictures
Annie,5," Sony Pictures Entertainment (SPE), Columbia Pictures,  Overbrook Entertainment"
Ant-Man,7,Marvel Studios
AntiTrust,9,"Industry Entertainment,  Epsilon Motion Pictures,  Hyde Park Films,  Metro-Goldwyn-Mayer (MGM)"
Antwone Fisher,14,Fox Searchlight
Apocalypto,10,"Icon Productions,  Touchstone Pictures,  Icon Entertainment International"
Apollo 18,9," Bekmambetov Projects Ltd.,  Dimension Films, Bazelevs Production"
Aquamarine,10," Storefront Pictures, Fox 2000 Pictures"
Arbitrage,9," Artina Films, Lionsgate,  Lucky Monkey Pictures,  Green Room Films,  Treehouse Pictures"
Are We There Yet?,17," Revolution Studios, Columbia Pictures,  Cube Vision"
Argo,4,"GK Films,  Warner Bros.,  Smokehouse Pictures"
Armored,7," Farah Films & Management, Screen Gems,  Stars Road Entertainment,  Buckaroo Entertainment"
Around the World in 80 Days,27," Babelsberg Film,  80 Days Productions, Studio Babelsberg,  Mostow/Lieberman Productions,  Walden Media"
Arthur,6,Warner Bros.
"As Above, So Below",18,Legendary Pictures
Assault on Precinct 13,22," Liaison Films,  Biscayne Pictures,  Why Not Productions, Rogue Pictures"
Astro Boy,9," Summit Entertainment,  Imagi Animation Studios,  Tezuka Production Company Ltd., The Weinstein Company"
Atlantis: The Lost Empire,25,"Walt Disney Pictures,  Walt Disney Feature Animation"
Atlas Shrugged Part I,21,Atlas Productions
Atonement,9,"Universal Pictures,  Working Title Films,  Studio Canal,  Relativity Media"
Attack the Block,16,"UK Film Council,  Film4,  Studio Canal"
August Rush,11," CJ Entertainment,  Southpaw Entertainment, Warner Bros."
August: Osage County,20,"Jean Doumanian Productions,  Smokehouse Pictures"
Austin Powers in Goldmember,27," Gratitude International,  Eric's Boy,  Moving Pictures, New Line Cinema,  Team Todd"
