original_title,title_length,production_companies
Open Range,10, Cobalt Media Group
Poseidon,8, Radiant Productions
Fun with Dick and Jane,22,Imagine Entertainment
X-Men: First Class,18, Donners' Company
Mamma Mia!,10, Littlestar
Lockout,7, CinÃ©+
Resident Evil: Extinction,25, Resident Evil Productions
Stay Alive,10, Hollywood Pictures
Babylon A.D.,12, Canal+
Freddy vs. Jason,16, Sean S. Cunningham Films
Man on Fire,11, New Regency Pictures
Transcendence,13, DMG Entertainment
Hitch,5, Overbrook Entertainment
Mirrors,7, ASAF
My Blueberry Nights,19, Lou Yi Inc.
The Polar Express,17, Shangri-La Entertainment
Orphan,6, Studio Canal
A Thousand Words,16, DreamWorks SKG
Red Tails,9, Lucasfilm Ltd.
Trainwreck,10, Fuji Television Network
Barney's Version,16,Serendipity Point Films
The Expendables 2,17, Millennium Films
Eat Pray Love,13, Plan B Entertainment
In Time,7,Regency Enterprises
Take Me Home Tonight,20, Rogue Pictures
Memoirs of a Geisha,19, Columbia Pictures Corporation
The Mummy: Tomb of the Dragon Emperor,37, Relativity Media
Wild Target,11, CinemaNX
Nanny McPhee and the Big Bang,29, Studio Canal
The Social Network,18, Relativity Media
Runner Runner,13, Double Feature Films
Seventh Son,11, Thunder Road Pictures
The Fountain,12, New Regency Pictures
Outlander,9,Ascendant Pictures
Hancock,7, Forward Pass
The Italian Job,15,Paramount Pictures
The Last Witch Hunter,21, Goldmann Pictures
Apocalypto,10,Icon Productions
The Lady in the Van,19, TriStar Productions
R.I.P.D.,8, Dark Horse Entertainment
21 Jump Street,14, Metro-Goldwyn-Mayer (MGM)
Monster-in-Law,14,New Line Cinema
The Matrix Revolutions,22, NPV Entertainment
Get Hard,8, Warner Bros.
John Q,6, Evolution Entertainment
Reign Over Me,13, Relativity Media
The Hundred-Foot Journey,24, Participant Media
Fahrenheit 9/11,15, Fellowship Adventure Group
Igby Goes Down,14,United Artists
Grown Ups 2,11,Columbia Pictures
Jurassic World,14, Amblin Entertainment
Daybreakers,11, Furst Films
District 9,10, Key Creatives
X-Men: The Last Stand,21,20th Century Fox
The SpongeBob Movie: Sponge Out of Water,40,Paramount Pictures
Jimmy Neutron: Boy Genius,25, Paramount Animation
My Sister's Keeper,18,Mark Johnson Productions
Nanny McPhee,12, Metro-Goldwyn-Mayer (MGM)
Sparkle,7,TriStar Pictures
War,3, Current Entertainment
Freedom Writers,15,Double Feature Films
No Reservations,15, Storefront Pictures
The Railway Man,15, Pictures in Paradise
Billy Elliot,12, Tiger Aspect Productions
Hannibal,8,Universal Pictures
The DUFF,8,Wonderland Sound and Vision
Smokin' Aces,12,Universal Pictures
A Lot Like Love,15, Beacon Pictures
The Invisible,13, Hollywood Pictures
Prom,4,Walt Disney Pictures
The Bourne Ultimatum,20, Motion Picture BETA Produktionsgesellschaft
TRON: Legacy,12, Prana Studios
The Big Short,13,Paramount Pictures
Dallas Buyers Club,18, Truth Entertainment
The Three Burials of Melquiades Estrada,39,The Javelina Film Company
Because of Winn-Dixie,21,Twentieth Century Fox Film Corporation
The A-Team,10,20th Century Fox
The Shaggy Dog,14, Mandeville Films
Mission to Mars,15, Touchstone Pictures
Lone Survivor,13,Universal Pictures
Never Back Down,15, Mandalay Pictures
Knocked Up,10, Apatow Productions
DÃ©jÃ  Vu,9,Jerry Bruckheimer Films
Empire State,12, Envision Entertainment Corporation
X-Men: Days of Future Past,26, Donners' Company
Babel,5, Central Films
Shooter,7, Di Bonaventura Pictures
Disconnect,10,Lionsgate
Jem and the Holograms,21,Universal Pictures
Godzilla,8, RatPac-Dune Entertainment
Child 44,8,Summit Entertainment
The Back-Up Plan,16, CBS Films
Snatch,6,Columbia Pictures Corporation
Paul Blart: Mall Cop,20, Relativity Media
Runner Runner,13,20th Century Fox
Inception,9,Legendary Pictures
Catwoman,8, Warner Bros.
22 Jump Street,14, Original Film
Stay Alive,10, Wonderland Sound and Vision
The Core,8,Paramount Pictures
Max Payne,9, Firm Films
Gosford Park,12,USA Films
Serendipity,11, Simon Fields Productions
Harry Potter and the Chamber of Secrets,39,1492 Pictures
Machine Gun Preacher,20,Mpower Pictures
The Cold Light of Day,21, Film Rites
The Last Airbender,18,Paramount Pictures
The Amazing Spider-Man 2,24, Marvel Enterprises
Bridesmaids,11,Universal Pictures
Jumper,6,Dune Entertainment
Suspect Zero,12,Paramount Pictures
Source Code,11,The Mark Gordon Company
White House Down,16, Mythology Entertainment (II)
A Walk Among the Tombstones,27,Double Feature Films
Push,4, Summit Entertainment
Spy Kids,8,Dimension Films
Life of Pi,10, Dune Entertainment
Pan,3,Warner Bros.
London Boulevard,16, Projection Pictures
Baby Mama,9,Relativity Media
Gangster Squad,14, Lin Pictures
The Kingdom,11, MDBF Zweite Filmgesellschaft
The Lord of the Rings: The Return of the King,45,WingNut Films
Red Dawn,8, FilmDistrict
Guardians of the Galaxy,23, Moving Picture Company (MPC)
Ghosts of Mars,14, Storm King Productions
Rumor Has It...,15, Spring Creek Productions
King Arthur,11,Jerry Bruckheimer Films
Rock of Ages,12,New Line Cinema
Godsend,7, Blue Productions
The Pianist,11, Studio Babelsberg
Confessions of a Shopaholic,27,Jerry Bruckheimer Films
The Hills Have Eyes,19,Dune Entertainment
Hotel Transylvania,18, Sony Pictures Animation
Robots,6,Blue Sky Studios
Street Fighter: The Legend of Chun-Li,37, Hyde Park Films
Punisher: War Zone,18,Lionsgate
Shark Tale,10, Pacific Data Images (PDI)
American Gangster,17, Universal Pictures
The Hangover,12, Green Hat Films
Halloween II,12,Dimension Films
Nick and Norah's Infinite Playlist,34, Screen Gems
Lord of War,11, Rising Star
Act of Valor,12, Bandito Brothers
21,2,Columbia Pictures
Lo imposible,12, Apaches Entertainment
Elysium,7, Media Rights Capital
Final Destination 3,19, Matinee Pictures
Transformers: Age of Extinction,31,Paramount Pictures
Ice Age: The Meltdown,21, Twentieth Century Fox Animation
Torque,6, Original Film
Tower Heist,11,Universal Pictures
The Judge,9,Village Roadshow Pictures
Friends with Benefits,21, Olive Bridge Entertainment
Norbit,6, Davis Entertainment
Men of Honor,12,Fox 2000 Pictures
A Lot Like Love,15, Touchstone Pictures
2 Fast 2 Furious,16,Mikona Productions GmbH & Co. KG
A Thousand Words,16,Paramount Pictures
Dumb and Dumber To,18, Red Granite Pictures
Unleashed,9, Current Entertainment
Little Black Book,17,Revolution Studios
Mamma Mia!,10, Playtone
The Girl with the Dragon Tattoo,31, Film Rites
The Greatest Game Ever Played,29,Walt Disney Pictures
Gangster Squad,14, Warner Bros.
The Polar Express,17, Golden Mean
Supernova,9, Screenland Pictures
The Illusionist,15, Bull's Eye Entertainment
X-Men: Days of Future Past,26, Marvel Entertainment
The Butler,10,Laura Ziskin Productions
Mirror Mirror,13, Yucaipa Films
Chef,4, Fetisov Teterin Films
All Is Lost,11, FilmNation Entertainment
Catch and Release,17, Relativity Media
Hanna,5, Neunte Babelsberg Film
The Equalizer,13, LStar Capital
The Fault in Our Stars,22, TSG Entertainment
Lara Croft: Tomb Raider,23, Toho-Towa
Unfinished Business,19, New Regency Pictures
The Fast and the Furious,24, Ardustry Entertainment
Saw III,7,Lions Gate Films
Blood Ties,10, Canal+
The Punisher,12, Marvel Enterprises
The Village,11, Touchstone Pictures
The Ghost Writer,16, France 2 CinÃ©ma
Atlas Shrugged Part I,21,Atlas Productions
Mr. Brooks,10, Eden Rock Media
Eight Below,11, Mandeville Films
Juno,4, Mandate Pictures
The Adventures of Tintin,24, Nickelodeon Movies
The Dark Knight Rises,21, DC Entertainment
Everything is Illuminated,25, Stillking Films
Queen of the Damned,19, Material
Knocked Up,10,Universal Pictures
August: Osage County,20,Jean Doumanian Productions
Max Payne,9, Abandon Entertainment
Basic,5, Krane Entertainment
The Golden Compass,18,New Line Cinema
Munich,6,DreamWorks SKG
50 First Dates,14, Anonymous Content
The Alamo,9, Touchstone Pictures
Crazy Heart,11,Fox Searchlight Pictures
Meet the Fockers,16, Everyman Pictures
Hot Pursuit,11,New Line Cinema
Fantastic Four,14, Constantin Film.
Get Hard,8,Gary Sanchez Productions
Legend,6,Working Title Films
Barbershop,10,Metro-Goldwyn-Mayer (MGM)
Tooth Fairy,11,Dune Entertainment
Fantastic Four,14, Moving Picture Company (MPC)
Solomon Kane,12,Davis-Films
