Month,Day,Time,Specifics
March,9,0,0
October,6,1,1
November,1st,0.770833333,Liturgy for All; All Saints Day Mass
April,6,1,1
April,7,1,1
December,30th,TBA,Youth Event: Skiing
January,24th,1,1
October,8,1,1
February,10,0.770833333,Liturgy for All; Ash Wednesday
November,22nd,1,No School/CYO: Thanksgiving
September,3,1,1
May,4,2:30pm,High School Graduation at VCHS
May,16th,1,Baccalaureate
February,12,1,1
February,9,0,0
March,10,1,2
September,2,1,1
September,1,0,0
January,10th,1,1
March,12,1,Stations of the Cross
April,5,0,0
May,2nd,0,0
January,3rd,0,0
February,11,1,1
December,4,1,3
December,3,1,3
January,17th,1,Service for All (7-12): Spaghetti Supper
December,2,1,2
November,29th,1,1
November,8th,1,1
January,31st,1,1
November,15th,1,1
October,7,1,Pray outside the Abortion Facility in Fargo
May,9th,1,Social for all: Softball
April,8,1,1
December,1,0,0
