name,pop
 Riverdale,27860
 City Island,27140
 Tottenville,23313
Richmond Hill,62985
Ocean Parkway South,20299
Oakland Gardens,28237
Clinton,40595
Bronxdale,35538
 Dongan Hills,23017
 Little Neck,24739
Westerleigh,24102
 Union Square,70150
Bayside,44371
Woodhaven,56674
 St. George,33551
 Downtown Brklyn,30847
Chinatown,47844
 Edgemere,36885
Bronxdale,34309
 Throgs Neck,43712
North Riverdale,27860
Baisley Park,35729
Turtle Bay,51231
Stapleton,26453
Borough Park,101055
 cemetery,418
Chinatown,52375
Prospect Lefferts Gardens,67459
Hunts Point,27204
 Hillcrest,31734
Grasmere,16079
Jamaica Estates,25480
SoHo,42742
 South Side,40130
Gramercy,27988
West Brighton,17750
Flatbush,105804
 Oakwood Beach,22049
 Gowanus,67263
Windsor Terrace,20779
East Harlem South,57902
 Olinville,57420
East Flushing,26982
 Fordham North,55329
 Tottenville,18332
Charleston,18332
Longwood,23082
Georgetown,42940
 West Maspeth,63271
 Cobble Hill,22887
 Graniteville,31474
 Lower Manhattan,39699
 South Side,45774
Bushwick South,72101
 Westchester Square,29250
 etc,7
Starrett City,14621
Fort Greene,26079
College Point,24275
Annadale,26376
East Concourse,62284
Stuyvesant Town,21049
Mott Haven,49030
West Village,66880
 Midtown South,28630
 Concourse Village,58961
 Kips Bay,50742
Brooklyn Heights,22887
Highbridge,33844
 Port Ivory,31474
Madison,39076
Schuylerville,44167
Rego Park,29404
Rego Park,28260
 cemetery,1849
Hamilton Heights,50555
Arden Heights,24996
 Baychester,34517
 etc,93
Morningside Heights,55929
Airport,0
 cemetery,93
Prospect Heights,19655
Central Harlem South,43383
Hammels,31645
Mariner's Harbor,27957
Forest Hills,85046
 Eltingville,26376
Springfield Gardens North,25441
West New Brighton,33551
 Country Club,27140
Flatbush,110875
 Coney Island,34267
Cypress Hills,49223
Parkchester,29353
Ridgewood,69455
 Olinville,61321
Gravesend,29257
park,1849
 Fieldston,27860
 East Midtown,51231
Corona,52082
Stuyvesant Heights,61827
 Arlington,31474
 New Brighton,33551
 Clifton,22460
Van Cortlandt Village,50607
East New York,91958
West New Brighton,32154
Cypress Hills,48961
Murray Hill,51739
Carroll Gardens,38327
South Ozone Park,75878
 Prince's Bay,27770
 Port Morris,49030
 Rockwy Prk,26711
Glendale,32496
Jamaica,53751
 Rockwy Prk,28018
 Ravenswood,21104
Park Slope,67649
 Chelsea,70150
Claremont,28149
 Pelham Gardens,28510
Springfield Gardens North,25409
 Bergen Beach,42940
 Mill Basin,42940
 cemetery,1662
East Williamsburg,34158
Bedford,59227
 Travis,39309
Bedford Park,55329
Fordham South,28262
University Heights,54335
East New York,83275
 Kingsbridge,29872
Midtown,25807
 Silver Lake,17525
Norwood,40494
Gramercy,26184
Hunts Point,25142
Sheepshead Bay,64596
Jackson Heights,108152
 Rosebank,26453
 Bronx,1906
park,0
Dyker Heights,42419
 cemetery,436
 Ocean Parkway,36891
Upper East Side,61207
 Unionport,25768
Sheepshead Bay,64518
park,7
 Flat Iron,70150
 Wingate,67459
Astoria,89122
Old Town,23017
Hudson Yards,70150
Washington Heights North,67136
Old Astoria,27814
Hammels,36885
 East Midtown,49737
Canarsie,85058
 Staten Island,7
Corona,57658
Kingsbridge Heights,32496
Co,40676
Port Richmond,20191
 Inwood,49087
Glen Oaks,22571
 Prince's Bay,26376
 Emersn Hill,30762
 Edgemere,31645
 cemetery,7
Auburndale,20201
 Clearview,21751
Clinton Hill,33292
park,1785
 Vinegar Hill,30847
Great Kills,41680
Stapleton,24048
Claremont,31078
New Springville,39309
 Polo Grounds,75282
 Farragut,50355
Woodhaven,54149
 Morris Heights,54188
Oakland Gardens,27873
Melrose South,33195
 Flushing Heights,31734
Clinton,45884
 Floral Park,22426
New Brighton,16784
Mariner's Harbor,31474
Ft. Totten,21751
 Civic Center,36757
 Roosevelt Island,76631
 Dongan Hills,24835
 etc,418
 New Brighton,32154
Manhattanville,24772
 Cooper Village,19101
 Edenwald,34517
Murray Hill,53009
Georgetown,45231
 Carnegie Hill,61207
Far Rockaway,50058
 Fox Hills,19834
 Sunnyside,63271
 Utopia,17373
Flatlands,64762
 Castle Hill,53686
 Edenwald,35422
Bedford,70713
Rossville,18894
West Farms,34542
Annadale,27770
Gravesend,29436
 Mott Haven North,33195
Lindenwood,28121
Seagate,31965
 Op City,40676
Belmont,25967
 Flat Iron,55839
University Heights,54188
Brownsville,59099
Grymes Hill,22460
Todt Hill,30714
Springfield Gardens South,18950
Rikers Island,12780
Jamaica,51849
Westchester,25768
 Douglaston,24739
Elmhurst,88427
New Dorp,20242
