pop,name
0,"Airport, park,  Staten Island,  etc,  cemetery, Airport"
7," etc, park,  Staten Island,  cemetery"
93," etc,  cemetery, park,  Brooklyn"
418," cemetery,  etc,  Brooklyn"
436," cemetery, park,  Queens,  etc"
540," Bronx,  cemetery,  etc, park"
1662," cemetery,  Manhattan,  etc, park"
1785,"park,  etc,  cemetery,  Queens"
1849," cemetery, park,  Manhattan,  etc"
1906," Bronx, park,  etc,  cemetery"
12780,Rikers Island
13354,Starrett City
14621,Starrett City
15238,"Grasmere,  Arrochar,  Ft. Wadsworth"
16079,"Grasmere,  Arrochar,  Ft. Wadsworth"
16784,"New Brighton,  Silver Lake"
17370,West Brighton
17373," Utopia, Fresh Meadows"
17525," Silver Lake, New Brighton"
17750,West Brighton
17812," Utopia, Fresh Meadows"
18042,Port Richmond
18072,Crotona Park East
18332," Tottenville, Charleston,  Richmond Valley"
18677,Cambria Heights
18894,"Rossville,  Woodrow"
18950,"Springfield Gardens South,  Brookville"
19101," Cooper Village, Stuyvesant Town"
19309,Queensboro Hill
19655,Prospect Heights
19834," Fox Hills, Grymes Hill,  Clifton"
19849,Prospect Heights
19996,Auburndale
20030," Long Island City,  Ravenswood, Queensbridge"
20088,"Battery Park City,  Lower Manhattan"
20132,"Springfield Gardens South,  Brookville"
20191,Port Richmond
20201,Auburndale
20242,"New Dorp,  Midland Beach"
20269,Hollis
20277,Crotona Park East
20299,Ocean Parkway South
20556,Ocean Parkway South
20747,Hollis
20763,"Rossville,  Woodrow"
20779,Windsor Terrace
20800,Queensboro Hill
20944,Cambria Heights
20988,Windsor Terrace
21049,"Stuyvesant Town,  Cooper Village"
21052,Ozone Park
21104," Ravenswood,  Long Island City, Queensbridge"
21183,East Elmhurst
21376,Ozone Park
21407,College Point
21751," Clearview, Ft. Totten,  Bay Terrace"
21896," Midland Beach, New Dorp"
22049," Oakwood Beach, Oakwood"
22266,"Oakwood,  Oakwood Beach"
22426," Floral Park, Glen Oaks,  New Hyde Park"
22460," Clifton, Grymes Hill,  Fox Hills"
22548," Cobble Hill, Brooklyn Heights"
22571,"Glen Oaks,  Floral Park,  New Hyde Park"
22731," Bay Terrace,  Clearview"
22887," Cobble Hill, Brooklyn Heights"
22950,Manhattanville
23017," Dongan Hills, Old Town"
23082,Longwood
23150,East Elmhurst
23278,Kew Gardens
23313," Tottenville, Charleston,  Richmond Valley"
23790,Westerleigh
23888,Kew Gardens
24048,"Stapleton,  Rosebank"
24102,Westerleigh
24275,College Point
24338,"Elmhurst,  Maspeth"
24356," Little Neck, Douglas Manor,  Douglaston"
24453,Laurelton
24464,Bellerose
24739," Little Neck,  Douglaston, Douglas Manor"
24772,Manhattanville
24835," Dongan Hills, Old Town,  South Beach"
24996,Arden Heights
25063,Rosedale
25142,Hunts Point
25238,Arden Heights
25287,Bellerose
25409,Springfield Gardens North
25441,Springfield Gardens North
25480,Jamaica Estates
25502,Rosedale
25521," Maspeth, Elmhurst"
25768," Unionport, Westchester"
25807,"Midtown,  Midtown South"
25967,Belmont
26061,"Jamaica Estates,  Holliswood"
26079,Fort Greene
26148," Howard Beach, Lindenwood"
26184,Gramercy
26196,Longwood
26375,Laurelton
26376,"Annadale,  Eltingville,  Prince's Bay"
26453,"Stapleton,  Rosebank"
26516,East Flushing
26583,"Pelham Bay,  Country Club,  City Island"
26711," Rockwy Prk,  Belle Harbor, Breezy Point,  Broad Chnl"
26880,Fordham South
26982,East Flushing
27135," Westchester Square,  Morris Park, Van Nest"
27140," City Island,  Country Club, Pelham Bay"
27204,Hunts Point
27248,Westchester
27378,Belmont
27624,East New York (Pennsylvania Ave)
27770," Prince's Bay, Annadale,  Eltingville,  Huguenot"
27814,Old Astoria
27860," Riverdale, North Riverdale,  Fieldston"
27873,Oakland Gardens
27957,"Mariner's Harbor,  Arlington,  Port Ivory,  Graniteville"
27988,Gramercy
28013,"North Riverdale,  Riverdale"
28018," Rockwy Prk, Breezy Point,  Belle Harbor,  Broad Chnl"
28121,"Lindenwood,  Howard Beach"
28149,"Claremont,  Bathgate"
28237,Oakland Gardens
28260,Rego Park
28262,Fordham South
28335,Fort Greene
28510," Pelham Gardens, Allerton"
28572,Bath Beach
28630," Midtown South, Midtown"
28847,Old Astoria
28903," Pelham Gardens, Allerton"
28916,Maspeth
29250," Westchester Square,  Morris Park, Van Nest"
29257,Gravesend
29343,East New York (Pennsylvania Ave)
29353,Parkchester
29404,Rego Park
29436,Gravesend
29797," Melrose, Morrisania"
29872," Kingsbridge, Spuyten Duyvil"
29931,Bath Beach
30006,Pelham Parkway
30067,Ocean Hill
30073,Pelham Parkway
30161,"Spuyten Duyvil,  Kingsbridge"
30714,"Todt Hill,  Emersn Hill,  Heartland Villg"
30762," Emersn Hill,  Lighthse Hill,  Heartland Villg, Todt Hill"
30773,Whitestone
30847," Downtown Brklyn,  Vinegar Hill,  Boerum Hill"
31071,Glendale
31078,"Claremont,  Bathgate"
31356,Whitestone
31392,Erasmus
31474," Graniteville,  Port Ivory,  Arlington, Mariner's Harbor"
31645,"Hammels,  Edgemere,  Arverne"
31734," Hillcrest,  Flushing Heights, Pomonok"
31878,East Williamsburg
