name,pop
 Westchester Square,29250
Old Astoria,27814
 Arlington,27957
Morrisania,29797
Co,40676
Woodhaven,56674
Prospect Heights,19655
 Holliswood,26061
Seagate,34267
 Gowanus,67649
Parkchester,29353
North Corona,52037
 Harding Park,50753
 Bruckner,35137
 Jamaica Hills,39138
 St. George,33551
Van Nest,29250
DUMBO,34495
Annadale,27770
 cemetery,1906
 TriBeCa,36757
Hammels,31645
 Flushing Heights,34034
Hudson Yards,55839
North Side,40130
Jamaica,53751
Jamaica,51849
 West Maspeth,63271
Westerleigh,24102
East Tremont,39280
 Flat Iron,70150
Glendale,32496
park,93
 Wakefield,42483
North Side,45774
Arden Heights,25238
East Harlem North,58019
East New York (Pennsylvania Ave),27624
Ocean Parkway South,20299
 Melrose,37865
 Bergen Beach,45231
 Lighthse Hill,30762
Ft. Totten,21751
 Bruckner,35634
 Howard Beach,26148
Erasmus,31392
 Pelham Gardens,28510
Kew Gardens,23278
Starrett City,14621
 Kips Bay,50742
Williamsburg,32926
Lenox Hill,80771
 cemetery,1662
Woodside,43846
 South Beach,23017
 Port Ivory,31474
North Riverdale,28013
South Ozone Park,75878
Hollis,20747
Middle Village,37629
 Holliswood,25480
 Edgewater Park,43712
Erasmus,29938
Central Harlem South,43383
park,418
Dyker Heights,42419
 Woodrow,20763
Marble Hill,49087
Bayside,43808
Old Town,23017
Prospect Lefferts Gardens,70300
Pelham Parkway,30006
 Huguenot,27770
Rugby,57934
Grasmere,16079
 Heartland Villg,30762
 Rosebank,24048
Central Harlem South,39075
 Morris Heights,54188
Cambria Heights,20944
 Bronx River,35011
Douglas Manor,24356
Baisley Park,34603
Rikers Island,12780
DUMBO,30847
 Little Neck,24356
 City Island,27140
 Columbia Street,38353
Allerton,28903
 Morris Park,29250
 St. George,32154
Marble Hill,46746
Murray Hill,48419
College Point,24275
 Morris Heights,54335
 West Maspeth,61947
North Corona,47156
 Ocean Parkway,36891
park,7
 Long Island City,20030
Washington Heights North,73457
