Month,Time,Specifics
November,1,No School/CYO: Thanksgiving
March,1,1
December,1,3
March,1,Stations of the Cross
October,1,1
February,0.770833333,Liturgy for All; Ash Wednesday
,1,1
September,1,Safe Environment for All (7-12): Circle of Grace
January,0,0
April,1,1
February,0,0
May,1,Baccalaureate
August,6pm,First Day of School/Parent Information session for grades 7-12
November,1,1
September,1,1
January,1,1
May,1,Social for all: Softball
November,1,1
December,1,2
,1,3
October,1,Pray outside the Abortion Facility in Fargo
September,0,0
