id,title,keyword_0,keyword_1,keyword_2,keyword_3,keyword_4
5,Four Rooms,hotel,new year's eve,witch,bet,hotel room
11,Star Wars,android,galaxy,hermit,death star,lightsaber
12,Finding Nemo,father son relationship,harbor,underwater,fish tank,great barrier reef
13,Forrest Gump,vietnam veteran,hippie,mentally disabled,running,based on novel
14,American Beauty,male nudity,female nudity,adultery,midlife crisis,coming out
16,Dancer in the Dark,individual,dancing,usa,robbery,factory worker
18,The Fifth Element,clone,taxi,cyborg,egypt,future
19,Metropolis,man vs machine,underground world,inventor,metropolis,worker
20,My Life Without Me,farewell,responsability,dying and death,night shift,daughter
22,Pirates of the Caribbean: The Curse of the Black Pearl,exotic island,blacksmith,east india trading company,gold,marriage proposal
24,Kill Bill: Vol. 1,japan,coma,martial arts,kung fu,underworld
25,Jarhead,sniper,marine corps,saudi arabia,petrol,golf war
28,Apocalypse Now,guerrilla,river,vietnam,vietcong,cambodia
33,Unforgiven,prostitute,sheriff,bounty,regret,right and justice
35,The Simpsons Movie,father son relationship,lake,springfield,the simpsons,duff beer
38,Eternal Sunshine of the Spotless Mind,deja vu,regret,jealousy,amnesia,dream
55,Amores perros,homeless person,mexico city,daughter,secret love,dogfight
58,Pirates of the Caribbean: Dead Man's Chest,witch,fortune teller,bondage,exotic island,monster
59,A History of Violence,robbery,double life,dual identity,small town,indiana
62,2001: A Space Odyssey,moon,jupiter,artificial intelligence,man vs machine,technology
65,8 Mile,individual,street gang,adolescence,rap music,hip-hop
66,Absolute Power,corruption,assassination,washington d.c.,rape,white house
68,Brazil,bureaucracy,police state,terror,great britain,dream
69,Walk the Line,germany,prison,music record,adultery,country music
70,Million Dollar Baby,transporter,suicide attempt,strong woman,boxer,dying and death
71,Billy Elliot,workers' quarter,dancing class,strike,northern england,scholarship
73,American History X,usa,neo-nazi,prison,skinhead,brother brother relationship
74,War of the Worlds,post traumatic stress  disorder,new jersey,airplane,dystopia,daughter
75,Mars Attacks!,saving the world,total destruction,white house,mars,usa president
76,Before Sunrise,dialogue,sunrise,talking,soulmates,walking
77,Memento,individual,insulin,tattoo,waitress,amnesia
78,Blade Runner,artificial intelligence,man vs machine,cyborg,bounty hunter,android
79,Hero,countryside,loss of lover,right and justice,patriot,
80,Before Sunset,paris,journalist,dialogue,talking,soulmates
83,Open Water,diving,cataclysm,nightmare,panic,red sea
85,Raiders of the Lost Ark,saving the world,riddle,nepal,himalaya,cairo
87,Indiana Jones and the Temple of Doom,riddle,treasure,heart,skeleton,treasure hunt
89,Indiana Jones and the Last Crusade,saving the world,venice,holy grail,library,riddle
90,Beverly Hills Cop,california,showdown,undercover,strip club,investigation
95,Armageddon,saving the world,paris,moon,cataclysm,asteroid
96,Beverly Hills Cop II,smuggling of arms,detective,intensive care,undercover,strip club
98,Gladiator,rome,gladiator,arena,senate,roman empire
100,"Lock, Stock and Two Smoking Barrels",ambush,alcohol,shotgun,tea,joint
103,Taxi Driver,vietnam veteran,taxi,obsession,drug dealer,night shift
104,Run Lola Run,berlin,casino,nun,red hair,running
105,Back to the Future,clock tower,car race,terrorist,delorean,lightning
106,Predator,central and south america,predator,alien,stalking,invisible
107,Snatch,gypsy,bare knuckle boxing,slang,trailer park,pig
111,Scarface,miami,corruption,capitalism,cuba,prohibition
114,Pretty Woman,prostitute,capitalism,cinderella,expensive restaurant,sports car
115,The Big Lebowski,white russian,dude,bowling,vietnam veteran,carpet
116,Match Point,love triangle,london england,upper class,adultery,tennis
117,The Untouchables,white suit,al capone,tough cop,treasury agent,untouchable
118,Charlie and the Chocolate Factory,london england,father son relationship,chocolate,factory worker,based on novel
120,The Lord of the Rings: The Fellowship of the Ring,elves,dwarves,orcs,middle-earth (tolkien),hobbit
121,The Lord of the Rings: The Two Towers,elves,orcs,middle-earth (tolkien),hobbit,based on novel
122,The Lord of the Rings: The Return of the King,elves,orcs,middle-earth (tolkien),based on novel,suspicion
128,Princess Mononoke,fight,wolf,village and town,iron,pan
129,Spirited Away,witch,parents kids relationship,magic,twilight,darkness
134,"O Brother, Where Art Thou?",prophecy,southern usa,music record,country music,mississippi
137,Groundhog Day,deja vu,groundhog,weather forecast,telecaster,pennsylvania
141,Donnie Darko,parents kids relationship,airplane,time travel,school presentation,school performance
142,Brokeback Mountain,gay,countryside,homophobia,loss of lover,wyoming
146,"Crouching Tiger, Hidden Dragon",flying,martial arts,taskmaster,comb,tiger
149,Akira,saving the world,total destruction,megacity,street gang,underground
152,Star Trek: The Motion Picture,artificial intelligence,uss enterprise,starfleet,san francisco,self sacrifice
153,Lost in Translation,upper class,hotel room,age difference,commercial,karaoke
154,Star Trek II: The Wrath of Khan,uss enterprise,genesis,asteroid,self sacrifice,midlife crisis
155,The Dark Knight,dc comics,crime fighter,secret identity,scarecrow,sadism
161,Ocean's Eleven,prison,pickpocket,strip club,con artist,atlantic city
162,Edward Scissorhands,underdog,love at first sight,hairdresser,small town,scissors
163,Ocean's Twelve,sequel,fabergé egg,dutch eastindian company,second,part
165,Back to the Future Part II,skateboarding,flying car,car race,delorean,lightning
167,K-PAX,robbery,dream,hypnosis,investigation,murder
168,Star Trek IV: The Voyage Home,saving the world,san francisco,uss enterprise-a,time travel,whale
169,Predator 2,predator,war on drugs,extraterrestrial technology,los angeles,invisible
170,28 Days Later,london england,manchester city,submachine gun,gas station,survivor
172,Star Trek V: The Final Frontier,federation,starfleet,uss enterprise-a,sha-ka-ree,loss of brother
173,"20,000 Leagues Under the Sea",diving,ocean,submarine,jules verne,captain
174,Star Trek VI: The Undiscovered Country,farewell,federation,starfleet,peace conference,uss enterprise-a
176,Saw,shotgun,based on short film,sadist,pistol,chained
177,The Fisher King,holy grail,homeless person,loss of lover,mental disease,sense of guilt
179,The Interpreter,new york,dictator,africa,destruction of a civilization,assassination
180,Minority Report,self-fulfilling prophecy,washington d.c.,evidence,future,hologram
182,The Good German,berlin,corruption,nazi background,love of one's life,chauffeur
184,Jackie Brown,airport,underworld,arms deal,weapon,police
186,Lucky Number Slevin,assassination,assassin,identity,sniper,mistake in person
187,Sin City,dystopia,based on comic book,held captive,based on graphic novel,black and white and color
189,Sin City: A Dame to Kill For,detective,dystopia,dominatrix,murder,suspense
193,Star Trek: Generations,based on tv series,death,exploding planet,mountain cabin,solar system
194,Amélie,paris,love triangle,ghost train,sex-shop,shyness
196,Back to the Future Part III,railroad robber,california,delorean,indian territory,sports car
197,Braveheart,individual,scotland,in love with enemy,legend,independence
199,Star Trek: First Contact,federation,starfleet,borg,enterprise-e,cyborg
200,Star Trek: Insurrection,space opera,retribution,spacecraft officer,exploding ship,
201,Star Trek: Nemesis,clone,assassination,ambush,federation,starfleet
203,Mean Streets,epilepsy,protection money,secret love,money,redemption
205,Hotel Rwanda,rwanda,refugee,refugee camp,militia,murder
207,Dead Poets Society,individual,philosophy,poetry,shakespeare,professor
214,Saw III,brain tumor,nudity,suffocation,mutilation,severed foot
215,Saw II,riddle,serial killer,,,
217,Indiana Jones and the Kingdom of the Crystal Skull,saving the world,riddle,whip,treasure,mexico city
218,The Terminator,saving the world,artificial intelligence,rebel,cyborg,shotgun
219,Volver,child abuse,rape,fire,sexual abuse,madrid
223,Rebecca,monte carlo,based on novel,age difference,secret,obsession
226,Boys Don't Cry,rape,sex,identity,small town,love
227,The Outsiders,street gang,children's home,coming of age,gang,juvenile delinquent
231,Syriana,anti terror,bomb,assassination,middle east,lebanon
235,Stand by Me,based on novel,friendship,coming of age,railroad track,story within the story
238,The Godfather,italy,love at first sight,loss of father,patriarch,organized crime
239,Some Like It Hot,chicago,witness,musician,mafia,cross dressing
240,The Godfather: Part II,italo-american,cuba,vororte,melancholy,praise
242,The Godfather: Part III,italy,christianity,new york,assassination,italo-american
243,High Fidelity,chicago,music record,rock and roll,record store,soul
245,About a Boy,london england,rock and roll,single parent,rap music,bachelor
248,Pocketful of Miracles,dude,prohibition,deception,new york city,apple
251,Ghost,corruption,fortune teller,money transfer,money laundering,pottery
252,Willy Wonka & the Chocolate Factory,chocolate,factory worker,based on novel,candy,tv addicted person
253,Live and Let Die,london england,new york,bomb,england,spy
254,King Kong,film business,screenplay,show business,film making,film producer
257,Oliver Twist,london england,child abuse,street gang,runaway,child labour
261,Cat on a Hot Tin Roof,individual,suicide,southern usa,adultery,mississippi
268,Batman,double life,dc comics,dual identity,chemical,crime fighter
272,Batman Begins,himalaya,martial arts,dc comics,crime fighter,secret identity
274,The Silence of the Lambs,based on novel,psychopath,horror,suspense,serial killer
277,Underworld,budapest,subway,love of one's life,vampire,bite
278,The Shawshank Redemption,prison,corruption,police brutality,prison cell,delinquent
279,Amadeus,italy,composer,opera,talent,musician
280,Terminator 2: Judgment Day,cyborg,shotgun,post-apocalyptic,dystopia,moral ambiguity
284,The Apartment,new york,new year's eve,lovesickness,age difference,suicide attempt
285,Pirates of the Caribbean: At World's End,ocean,drug abuse,exotic island,east india trading company,love of one's life
288,High Noon,gunslinger,showdown,fistfight,morality,u.s. marshal
289,Casablanca,love triangle,corruption,spy,resistance,casablanca
291,Riding Giants,ocean,california,sea,beach,surfer
292,Dave Chappelle's Block Party,black people,hip-hop,block party,megaphone,classroom
296,Terminator 3: Rise of the Machines,saving the world,artificial intelligence,man vs machine,cyborg,killer robot
297,Meet Joe Black,life and death,love at first sight,broken engagement,fireworks,religion and supernatural
298,Ocean's Thirteen,casino,thief,revenge,heist,las vegas
302,Swimming Pool,london england,female nudity,women,countryside,based on novel
306,Beverly Hills Cop III,detective,undercover,security camera,carousel ,investigation
309,The Celebration,suicide,father son relationship,child abuse,sexual abuse,depression
310,Bruce Almighty,christianity,moon,responsability,moses,street gang
311,Once Upon a Time in America,life and death,corruption,street gang,rape,sadistic
314,Catwoman,white russian,sex,dc comics,beauty,sexism
319,True Romance,father son relationship,film producer,mexican standoff,loss of father,cocaine
320,Insomnia,detective,confession,fbi,homicide,blackmail
321,Mambo Italiano,gay,father son relationship,sex,italo-american,lovesickness
322,Mystic River,child abuse,sexual abuse,loss of child,repayment,suppressed past
326,Snakes on a Plane,snake,suspense,fbi agent,death,animal attack
327,Brother,brother brother relationship,assassination,culture clash,war on drugs,yakuza
329,Jurassic Park,exotic island,dna,paleontology,tyrannosaurus rex,triceratops
330,The Lost World: Jurassic Park,exotic island,dna,paleontology,tyrannosaurus rex,velociraptor
331,Jurassic Park III,exotic island,dna,paleontology,tyrannosaurus rex,velociraptor
332,Inspector Gadget,gadget,,,,
334,Magnolia,farewell,regret,parents kids relationship,suicide attempt,becoming an adult
335,Once Upon a Time in the West,showdown,bounty,bounty hunter,loss of brother,sadness
338,"Good bye, Lenin!",bureaucracy,berlin wall,police state,coma,loss of mother
342,Summer Storm,holiday,gay,male nudity,competition,sexual identity
345,Eyes Wide Shut,life and death,sexual obsession,free love,heterosexual,christmas party
346,Seven Samurai,japan,samurai,peasant,looting,rice
348,Alien,android,countdown,space marine,space suit,beheading
350,The Devil Wears Prada,paris,journalist,journalism,world of fasion,fashion journal
364,Batman Returns,holiday,corruption,double life,dc comics,crime fighter
377,A Nightmare on Elm Street,child murderer,sleep,nightmare,supernatural,slasher
380,Rain Man,individual,mentally disabled,autism,loss of father,yuppie
387,Das Boot,terror,submarine,based on novel,atlantic ocean,gibraltar
388,Inside Man,bank manager,kidnapping,nazi background,document,ultimatum
389,12 Angry Men,judge,jurors,sultriness,death penalty,father murder
391,A Fistful of Dollars,gang war,victim of murder,greed,hostility,spaghetti western
392,Chocolat,chocolate,mayor,praline,single,mother daughter relationship
393,Kill Bill: Vol. 2,brother brother relationship,swordplay,katana,mother role,rage and hate
395,AVP: Alien vs. Predator,saving the world,predator,laserpointer,space marine,pyramid
398,Capote,gay,self-fulfilling prophecy,based on novel,journalism,identity
400,Things to Do in Denver When You're Dead,father son relationship,bounty hunter,boat,way of life,coffin
401,Garden State,new jersey,paraplegic,loss of mother,expensive restaurant,pop culture
403,Driving Miss Daisy,individual,black people,chauffeur,atlanta,widow
404,The Straight Story,brother brother relationship,mississippi,wisconsin,lawnmower,iowa
408,Snow White and the Seven Dwarfs,poison,witch,becoming an adult,sadness,queen
409,The English Patient,cairo,egypt,identity,amnesia,world war ii
411,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",saving the world,witch,based on novel,brother sister relationship,self sacrifice
414,Batman Forever,riddle,dc comics,rose,gotham city,partner
415,Batman & Robin,double life,dc comics,dual identity,crime fighter,fictional place
421,The Life Aquatic with Steve Zissou,ocean,film making,loss of mother,cynic,red cap
423,The Pianist,individual,resistance,radio station,war crimes,loss of family
424,Schindler's List,factory,concentration camp,hero,holocaust,world war ii
425,Ice Age,human evolution,parents kids relationship,squirrel,ice,loss of child
429,"The Good, the Bad and the Ugly",bounty hunter,refugee,gold,anti hero,gallows
431,Cube,riddle,autism,claustrophobia,maze,prime number
433,Mary Poppins,london england,dancing,parents kids relationship,bank,brother sister relationship
435,The Day After Tomorrow,saving the world,library,cataclysm,climate change,greenhouse effect
436,Maria Full of Grace,individual,new york,adolescence,colombia,drug traffic
440,Aliens vs Predator: Requiem,predator,national guard,hybrid,alien,morgue
451,Leaving Las Vegas,individual,prostitute,alcohol,casino,love at first sight
453,A Beautiful Mind,individual,schizophrenia,massachusetts,love of one's life,intelligence
454,Romeo + Juliet,shakespeare,forbidden love,gun violence,star crossed lovers,shakespeare in modern dress
455,Bend It Like Beckham,london england,tradition,indian lead,culture clash,immigration
462,Erin Brockovich,biography,based on true story,single mother,water pollution,environmental law
464,As It Is in Heaven,individual,underdog,mentally disabled,loss of mother,sweden
468,My Own Private Idaho,individual,gay,father son relationship,rome,robbery
470,21 Grams,life and death,transplantation,suicide attempt,desperation,loss of family
473,Pi,hacker,mathematician,helix,headache,chaos theory
479,Shaft,corruption,black people,italo-american,brother sister relationship,drug dealer
480,Monsoon Wedding,child abuse,adultery,arranged marriage,bollywood,wedding
489,Good Will Hunting,baseball,boston,professor,m.i.t.,harvard university
492,Being John Malkovich,individual,transvestism,sexual identity,witch,identity
496,Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan,male nudity,usa,california,prostitute,journalist
497,The Green Mile,southern usa,black people,mentally disabled,based on novel,heal
500,Reservoir Dogs,traitor,jewelry,psychopath,thief,heist
503,Poseidon,new year's eve,fire,drowning,cataclysm,loss of father
504,Monster,female nudity,prostitute,rape,sexual abuse,desperation
507,Killing Zoe,paris,prostitute,robbery,drug abuse,aids
508,Love Actually,london england,male nudity,female nudity,love at first sight,usa president
509,Notting Hill,london england,bookshop,birthday,new love,film maker
510,One Flew Over the Cuckoo's Nest,individual,rebel,self-destruction,wheelchair,lunatic asylum
512,Scoop,upper class,prostitute,journalist,drowning,newspaper
522,Ed Wood,individual,taxi,transsexuality,fortune teller,film business
524,Casino,poker,drug abuse,1970s,overdose,illegal prostitution
525,The Blues Brothers,dancing,prison,chicago,country music,nun
526,Ladyhawke,moon,monk,swordplay,bishop,cathedral
533,The Curse of the Were-Rabbit,competition,garden,vegetable,stop motion,animation
534,Terminator Salvation,saving the world,artificial intelligence,prophecy,san francisco,cyborg
535,Flashdance,dancing,dance,locksmith,welder,
539,Psycho,hotel,clerk,arizona,shower,rain
540,D.E.B.S.,coming out,covert operation,lesbian,female protagonist,in the closet
542,The Crime of Padre Amaro,heart attack,drug traffic,drug crime,mexican province,celibacy
544,There's Something About Mary,surgeon,stalker,romantic comedy,dream girl,taboo
546,Transamerica,individual,gay,new york,usa,missionary
547,The Horse Whisperer,love triangle,new york,montana,attachment to nature,confidence
549,Basquiat,new york,sex,drug abuse,homeless person,new love
550,Fight Club,support group,dual identity,nihilism,rage and hate,insomnia
557,Spider-Man,loss of lover,spider,thanksgiving,bad boss,hostility
558,Spider-Man 2,dual identity,love of one's life,pizza boy,marvel comic,sequel
559,Spider-Man 3,dual identity,amnesia,sandstorm,love of one's life,forgiveness
562,Die Hard,helicopter,journalist,based on novel,terrorist,skyscraper
563,Starship Troopers,moon,asteroid,space marine,intelligence,buenos aires
568,Apollo 13,moon,florida,nasa,spaceman,race against time
573,Frenzy,london england,rape,police,suspense,serial killer
576,The Wild Bunch,underdog,robbery,bounty hunter,texas,mexican revolution
577,To Die For,adultery,winter,obsession,television,new hampshire
578,Jaws,fishing,atlantic ocean,bathing,shipwreck,police chief
579,Jaws 2,mayor,island,police chief,sailing,boat accident
580,Jaws: The Revenge,shark attack,bahamas,dying and death,aggression by animal,sequel
581,Dances with Wolves,countryside,based on novel,suicide attempt,culture clash,loss of family
582,The Lives of Others,germany,berlin,suicide,berlin wall,corruption
584,2 Fast 2 Furious,miami,car race,sports car,los angeles,car
585,"Monsters, Inc.",monster,infant,energy supply,company,rivalry
586,Wag the Dog,washington d.c.,rape,cia,usa president,war veteran
587,Big Fish,circus,father son relationship,witch,fish,fishing
588,Silent Hill,monster,mother role,burning of witches,fog,suffering
590,The Hours,london england,suicide,gay,poetry,aids
591,The Da Vinci Code,paris,holy grail,christianity,monk,based on novel
592,The Conversation,san francisco,paranoia,audio tape,wiretap,shadowing
593,Solaris,1970s,loss of sense of reality,extraterrestrial technology,subconsciousness,russian
594,The Terminal,new york,airport,marriage proposal,translation,craftsman
595,To Kill a Mockingbird,black people,based on novel,brother sister relationship,becoming an adult,isolation
597,Titanic,shipwreck,iceberg,ship,panic,titanic
598,City of God,male nudity,street gang,brazilian,photographer,1970s
601,E.T. the Extra-Terrestrial,farewell,homesickness,nasa,extraterrestrial technology,operation
602,Independence Day,spacecraft,patriotism,countdown,independence,invasion
603,The Matrix,saving the world,artificial intelligence,man vs machine,philosophy,prophecy
604,The Matrix Reloaded,saving the world,artificial intelligence,man vs machine,martial arts,kung fu
