OCCUPATION,ALL,PHONE
Dental Assistant,67465,40366
Nurse,492778,310678
Professor,24768,19548
Manager,602945,419233
Manager,42126,30048
Agent,1119009,729472
Firefighter,26537,19398
Veterinarian,47372,30070
Pilot,269477,175711
Chemist,9510,7209
Computer Programmer,25571,18518
Music,7982,5542
Housekeeper,32839,19800
Manager,8059,5916
Attorney,362136,266498
Pastor,58078,44084
Editor,8920,6392
Physician,627895,423018
Bookkeeper,58578,40627
Teller,43859,29058
Electronic,9084,6430
Sales Manager,42126,30048
Laborer,2409498,1423065
Cashier,75359,44031
Nurses Aide,442504,233724
Trader,1461924,885050
Bank Teller,43859,29058
Bus Driver,21043,13480
Investigator,14630,9320
Musician,7982,5542
Photography,8009,5345
Pharmacist,323188,221279
Medical,20277,13228
Legal Secretary,11059,7836
Truck Driver,90047,58143
Cosmetologist,1069332,635772
Pharmacy,323188,221279
Medical Secretary,18373,10954
Shipping,23787,14861
Electrical,9084,6430
Stock,1461924,885050
Dance,7982,5542
Nurse,70247,40371
Nurse (Registered),3139173,2032183
Farmer,631103,502191
Medical Technician,18926,13286
Medical Doctor,627895,423018
Optometrist,10357,7257
Real Estate,1448054,921666
Army Credit Union Trades,150399,95307
Geologist,9418,7050
Teacher,358047,270323
Auto Mechanic,9686,6471
Custom,23787,14861
Optician,19469,13285
Social Worker,271048,179330
Psychologist,111699,70445
Engineer,9084,6430
Driver,90047,58143
Plumber,107519,70946
Surveyor,22811,16295
Chiropractor,39659,24155
Orderly,442504,233724
Physical,278878,187396
Baker,8633,5419
Import,23787,14861
Welder,41444,26616
Technician,115610,77503
Legal,17335,11441
Case Worker,271048,179330
Researcher,8591,5924
Engineer,518782,381961
Technician,25097,16565
Scientist,20412,14738
Assistant,17335,11441
Press Operator,15261,10327
Architect,98805,70981
Dental Hygienist,109197,75587
Trooper,31859,20925
Plant Manager,8059,5916
Export,23787,14861
Broker,1461924,885050
Insurance,1119009,729472
Lab,44258,30328
LPN,492778,310678
Construction,297600,196855
Clerk,933489,655004
Appraiser,88626,61034
Banker,19140,12301
Technician,44258,30328
Dietician,34120,24042
X-ray,25097,16565
Dentist,168562,116581
Mechanic,240457,157024
Paralegal,17335,11441
Medical Assistant,30459,18751
Librarian,11134,8352
Machinist,56651,38777
Interior Designer,8211,6082
Bartender,13462,7804
Gardener,15845,10532
Security,193890,95904
Archivist,11134,8352
Legal,362136,266498
Designer,17946,12555
Maid,32839,19800
Driver,21043,13480
Landscaper,15845,10532
Navy Credit Union Trades,187077,136257
Lawyer,362136,266498
Auditor,15769,11233
Detective,14630,9320
Realtor,1448054,921666
