Index,revenue,cast
970,1519557910," Chris Evans, Robert Downey Jr.,  Scarlett Johansson"
971,132400000," Stephen Rea,  Theo James,  India Eisley, Kate Beckinsale,  Michael Ealy"
972,1081041287," Tom Hardy,  Michael Caine,  Gary Oldman,  Anne Hathaway, Christian Bale"
973,425368238," Samuel L. Jackson,  Christoph Waltz,  Kerry Washington,  Leonardo DiCaprio"
974,1108561013," Ralph Fiennes,  Naomie Harris, Daniel Craig,  Javier Bardem"
975,276572938," Rachel Weisz,  Stacy Keach,  Scott Glenn,  Edward Norton"
976,1017003568," Cate Blanchett, Ian McKellen,  Martin Freeman"
977,403170142," Charlize Theron, Noomi Rapace,  Idris Elba,  Guy Pearce,  Michael Fassbender"
978,205738714," Chris Tucker,  Jacki Weaver,  Jennifer Lawrence,  Robert De Niro, Bradley Cooper"
979,752215857," Martin Sheen,  Emma Stone,  Denis Leary,  Rhys Ifans, Andrew Garfield"
980,538983207," Billy Connolly,  Kevin McKidd, Kelly Macdonald,  Julie Walters,  Emma Thompson"
981,396600000," Chris Hemsworth,  Sam Claflin,  Ian McShane"
982,201585328," Brie Larson,  Jonah Hill,  Dave Franco,  Ellie Kemper"
983,609016565," Irrfan Khan,  Gautam Belur, Suraj Sharma,  Adil Hussain,  Ayush Tandon"
984,877244782," Seann William Scott,  Ray Romano, John Leguizamo,  Denis Leary,  Chris Wedge"
985,549368315," Seth MacFarlane,  Joel McHale, Mark Wahlberg,  Mila Kunis"
986,218340595," David Oyelowo,  Werner Herzog,  Rosamund Pike,  Richard Jenkins, Tom Cruise"
987,180274123," Oaklee Pendergast, Naomi Watts,  Samuel Joslin"
988,471222889,"John C. Reilly,  Jane Lynch,  Jamie Elman,  Jack McBrayer,  Sarah Silverman"
989,115350426," Rebel Wilson, Anna Kendrick,  Brittany Snow"
990,624026776," Emma Thompson, Will Smith,  Josh Brolin,  Tommy Lee Jones,  Michael Stuhlbarg"
991,691210692," Elizabeth Banks,  Liam Hemsworth,  Woody Harrelson, Jennifer Lawrence,  Josh Hutcherson"
992,198802074," Bill Nighy,  Bryan Cranston,  Kate Beckinsale,  Jessica Biel, Colin Farrell"
993,130482868," Hugo Weaving,  Jim Broadbent, Tom Hanks,  Halle Berry,  Jim Sturgess"
994,312573423,"Sylvester Stallone,  Arnold Schwarzenegger,  Bruce Willis,  Jason Statham,  Dolph Lundgren"
995,376141306," Maggie Grace,  Luke Grimes,  Famke Janssen"
996,245527149," Michelle Pfeiffer,  Jonny Lee Miller,  Helena Bonham Carter,  Jackie Earle Haley"
997,33400000," Paul Rudd, Logan Lerman,  Emma Watson,  Ezra Miller,  Nina Dobrev"
998,232324128," Alan Arkin,  John Goodman,  Bryan Cranston, Ben Affleck"
