Index,revenue,cast
1052,52302796, Carrie-Anne Moss
995,376141306, Maggie Grace
1027,100000000, Dax Flame
1063,107139399, Jodelle Ferland
1017,132820716, Chris Pratt
979,752215857, Martin Sheen
1071,142817992,Katie Featherston
1003,196114570,Rachel McAdams
1071,142817992, Kathryn Newton
1008,348840316, Danny DeVito
1001,66486080,Kristen Connolly
1034,118338361, Brian Blessed
1069,31083599, Michael Shannon
1021,145000000, Alex Russell
1075,4636169, 50 Cent
999,234989584,Jason Biggs
986,218340595, David Oyelowo
1003,196114570, Channing Tatum
1022,81272766, Nestor Serrano
1034,118338361, Brendan Gleeson
1002,306941670, Jude Law
1008,348840316, Rob Riggle
1027,100000000, Kirby Bliss Blanton
1036,53909751, Rhys Ifans
1043,208076205, Ryan Reynolds
1027,100000000, Thomas Mann
1028,63100000, Kate Beckinsale
1054,16863583, Caroline Goodall
1032,59418613, Bryan Cranston
1072,8784318, Tom Sturridge
985,549368315, Seth MacFarlane
1012,441809770, Sacha Baron Cohen
1070,13231461, Olivia Wilde
983,609016565, Irrfan Khan
1022,81272766, Emilio Rivera
1031,29657751, Kevin McNally
974,1108561013, Ralph Fiennes
974,1108561013, Naomie Harris
1013,183018522, Armie Hammer
1036,53909751,Emily Blunt
992,198802074, Bill Nighy
1021,145000000, Anna Wood
1070,13231461, Jeremy Irons
1023,358375603, Kevin James
1039,24159934, Justin Theroux
972,1081041287, Tom Hardy
979,752215857, Emma Stone
995,376141306, Luke Grimes
997,33400000, Paul Rudd
1066,9622846, Peter O'Toole
974,1108561013,Daniel Craig
986,218340595, Werner Herzog
1062,59520298, Billy Connolly
1058,114281051,Meryl Streep
999,234989584, Chris Klein
1045,46221189, Edward Burns
1079,24637469, Mike Epps
1019,301000000, Ralph Fiennes
1020,140470746, Stephen Boss
999,234989584, Thomas Ian Nicholas
988,471222889,John C. Reilly
1061,36893721, Debbie Reynolds
1011,303025485,Taylor Kitsch
1056,44806783, Isabel Lucas
1004,355692760, Vanessa Hudgens
1044,47000000, Aaron Taylor-Johnson
1020,140470746, Megan Boone
1000,167221571, Cody Horn
1048,3428048, Hope Davis
1077,6063556,Robert Pattinson
1045,46221189, Jamie Bell
1000,167221571, Alex Pettyfer
991,691210692, Elizabeth Banks
1012,441809770, Russell Crowe
1009,68263166, Edward Norton
1051,85446075, Madison Davenport
1067,50365377,Bryan Cranston
