k-features,Index,accuracy,f1-score,recall,precision
9.0,FS_9_DT,0.7291666666666666,0.7362015128030567,0.7334263689526846,0.746457108397407
5.0,FS_5_LR,0.7777777777777778,0.7833333333333333,0.7856837606837607,0.7814072783584978
11.0,FS_11_AB,0.7152777777777778,0.7205214964440844,0.7146811094317198,0.7396584896584897
9.0,FS_9_LR,0.7083333333333334,0.7051678492004658,0.6941919191919191,0.7227704678362573
12.0,FS_12_LR,0.7847222222222222,0.7887726308778941,0.779352278545827,0.8051007801193125
3.0,FS_3_NB,0.7569444444444444,0.7630331251423699,0.7744639376218324,0.7689393939393939
1.0,FS_1_DT,0.6458333333333334,0.6286410715297966,0.6254881389520314,0.6672619047619048
7.0,FS_7_DT,0.6041666666666666,0.6045310937397269,0.6048001234758451,0.6243756243756243
5.0,FS_5_AB,0.7361111111111112,0.7468275476405557,0.7786324786324786,0.7547722281660003
5.0,FS_5_RF,0.7569444444444444,0.7622606871230002,0.7700854700854701,0.7570058374157703
7.0,FS_7_AB,0.6944444444444444,0.7087962962962963,0.7086870401810978,0.7142429916263587
1.0,FS_1_RF,0.5555555555555556,0.5630644767583778,0.5687668784364011,0.5586829891287418
9.0,FS_9_AB,0.6875,0.6926415187865569,0.6906432748538012,0.6964689964689965
12.0,FS_12_DT,0.6805555555555556,0.6831041567883673,0.6727086533538147,0.7063840155945419
11.0,FS_11_RF,0.7916666666666666,0.794241037376049,0.7981081011251921,0.7922002510985561
3.0,FS_3_RF,0.7152777777777778,0.7136969696969698,0.7085769980506823,0.7280810844422335
12.0,FS_12_RF,0.7916666666666666,0.7951437146252545,0.7847286226318483,0.8145281504414631
11.0,FS_11_LR,0.7708333333333334,0.7723320969855294,0.7670748879329277,0.7795664284036378
3.0,FS_3_LR,0.75,0.7527462924953351,0.749818991924255,0.7568719986752773
9.0,FS_9_NB,0.6875,0.6983003692413979,0.7186602870813396,0.6955403556771546
9.0,FS_9_RF,0.7291666666666666,0.7290663573117606,0.7237905369484317,0.736331513464902
11.0,FS_11_DT,0.7569444444444444,0.7624000805396154,0.7626471082173908,0.7692926568688764
12.0,FS_12_NB,0.7708333333333334,0.7780586462926541,0.7835637480798772,0.7795347868877281
5.0,FS_5_DT,0.7083333333333334,0.7198005698005701,0.7316239316239316,0.7196797698345686
7.0,FS_7_NB,0.7708333333333334,0.7795680963516904,0.7968050625096467,0.7814398856218373
11.0,FS_11_NB,0.75,0.7564352212455029,0.7718223979123874,0.7594293603313392
