id,title,cast_0,cast_1,cast_2
5,Four Rooms,Tim Roth,Antonio Banderas,Jennifer Beals
11,Star Wars,Mark Hamill,Harrison Ford,Carrie Fisher
12,Finding Nemo,Albert Brooks,Ellen DeGeneres,Alexander Gould
13,Forrest Gump,Tom Hanks,Robin Wright,Gary Sinise
14,American Beauty,Kevin Spacey,Annette Bening,Thora Birch
16,Dancer in the Dark,Björk,Catherine Deneuve,David Morse
18,The Fifth Element,Bruce Willis,Gary Oldman,Ian Holm
19,Metropolis,Brigitte Helm,Alfred Abel,Gustav Fröhlich
20,My Life Without Me,Sarah Polley,Amanda Plummer,Scott Speedman
22,Pirates of the Caribbean: The Curse of the Black Pearl,Johnny Depp,Geoffrey Rush,Orlando Bloom
24,Kill Bill: Vol. 1,Uma Thurman,Lucy Liu,Vivica A. Fox
25,Jarhead,Jamie Foxx,Jake Gyllenhaal,Scott MacDonald
28,Apocalypse Now,Martin Sheen,Marlon Brando,Robert Duvall
33,Unforgiven,Clint Eastwood,Gene Hackman,Morgan Freeman
35,The Simpsons Movie,Dan Castellaneta,Julie Kavner,Nancy Cartwright
38,Eternal Sunshine of the Spotless Mind,Jim Carrey,Kate Winslet,Kirsten Dunst
55,Amores perros,Gael García Bernal,Vanessa Bauche,Goya Toledo
58,Pirates of the Caribbean: Dead Man's Chest,Johnny Depp,Orlando Bloom,Keira Knightley
59,A History of Violence,Viggo Mortensen,Maria Bello,Heidi Hayes
62,2001: A Space Odyssey,Keir Dullea,Gary Lockwood,William Sylvester
65,8 Mile,Eminem,Mekhi Phifer,Brittany Murphy
66,Absolute Power,Clint Eastwood,Gene Hackman,Ed Harris
68,Brazil,Jonathan Pryce,Robert De Niro,Katherine Helmond
69,Walk the Line,Joaquin Phoenix,Reese Witherspoon,Ginnifer Goodwin
70,Million Dollar Baby,Clint Eastwood,Hilary Swank,Morgan Freeman
71,Billy Elliot,Jamie Bell,Julie Walters,Jean Heywood
73,American History X,Edward Norton,Edward Furlong,Beverly D'Angelo
74,War of the Worlds,Tom Cruise,Dakota Fanning,Miranda Otto
75,Mars Attacks!,Jack Nicholson,Glenn Close,Annette Bening
76,Before Sunrise,Ethan Hawke,Julie Delpy,Andrea Eckert
77,Memento,Guy Pearce,Carrie-Anne Moss,Joe Pantoliano
78,Blade Runner,Harrison Ford,Rutger Hauer,Sean Young
79,Hero,Jet Li,Tony Leung Chiu-Wai,Maggie Cheung
80,Before Sunset,Ethan Hawke,Julie Delpy,Vernon Dobtcheff
83,Open Water,Blanchard Ryan,Daniel Travis,Saul Stein
85,Raiders of the Lost Ark,Harrison Ford,Karen Allen,Paul Freeman
87,Indiana Jones and the Temple of Doom,Harrison Ford,Kate Capshaw,Jonathan Ke Quan
89,Indiana Jones and the Last Crusade,Harrison Ford,Sean Connery,Denholm Elliott
90,Beverly Hills Cop,Eddie Murphy,Judge Reinhold,John Ashton
95,Armageddon,Bruce Willis,Billy Bob Thornton,Ben Affleck
96,Beverly Hills Cop II,Eddie Murphy,Judge Reinhold,John Ashton
98,Gladiator,Russell Crowe,Joaquin Phoenix,Connie Nielsen
100,"Lock, Stock and Two Smoking Barrels",Jason Flemyng,Dexter Fletcher,Nick Moran
103,Taxi Driver,Robert De Niro,Cybill Shepherd,Harvey Keitel
104,Run Lola Run,Franka Potente,Moritz Bleibtreu,Herbert Knaup
105,Back to the Future,Michael J. Fox,Christopher Lloyd,Lea Thompson
106,Predator,Arnold Schwarzenegger,Carl Weathers,Elpidia Carrillo
107,Snatch,Jason Statham,Brad Pitt,Vinnie Jones
111,Scarface,Al Pacino,Steven Bauer,Michelle Pfeiffer
114,Pretty Woman,Julia Roberts,Richard Gere,Ralph Bellamy
115,The Big Lebowski,Jeff Bridges,John Goodman,Julianne Moore
116,Match Point,Jonathan Rhys Meyers,Scarlett Johansson,Emily Mortimer
117,The Untouchables,Kevin Costner,Sean Connery,Charles Martin Smith
118,Charlie and the Chocolate Factory,Johnny Depp,Freddie Highmore,David Kelly
120,The Lord of the Rings: The Fellowship of the Ring,Elijah Wood,Ian McKellen,Cate Blanchett
121,The Lord of the Rings: The Two Towers,Elijah Wood,Ian McKellen,Viggo Mortensen
122,The Lord of the Rings: The Return of the King,Elijah Wood,Ian McKellen,Viggo Mortensen
128,Princess Mononoke,Yōji Matsuda,Yuriko Ishida,Yūko Tanaka
129,Spirited Away,Rumi Hiiragi,Miyu Irino,Mari Natsuki
134,"O Brother, Where Art Thou?",George Clooney,John Turturro,Tim Blake Nelson
137,Groundhog Day,Bill Murray,Andie MacDowell,Chris Elliott
141,Donnie Darko,Jake Gyllenhaal,Jena Malone,Patrick Swayze
142,Brokeback Mountain,Heath Ledger,Jake Gyllenhaal,Randy Quaid
146,"Crouching Tiger, Hidden Dragon",Chow Yun-fat,Michelle Yeoh,Zhang Ziyi
149,Akira,Mitsuo Iwata,Nozomu Sasaki,Mami Koyama
152,Star Trek: The Motion Picture,William Shatner,Leonard Nimoy,DeForest Kelley
153,Lost in Translation,Bill Murray,Scarlett Johansson,Anna Faris
154,Star Trek II: The Wrath of Khan,William Shatner,Leonard Nimoy,DeForest Kelley
155,The Dark Knight,Christian Bale,Heath Ledger,Aaron Eckhart
157,Star Trek III: The Search for Spock,William Shatner,Leonard Nimoy,DeForest Kelley
161,Ocean's Eleven,George Clooney,Brad Pitt,Matt Damon
162,Edward Scissorhands,Johnny Depp,Winona Ryder,Dianne Wiest
163,Ocean's Twelve,George Clooney,Brad Pitt,Catherine Zeta-Jones
165,Back to the Future Part II,Michael J. Fox,Christopher Lloyd,Lea Thompson
167,K-PAX,Jeff Bridges,Kevin Spacey,Mary McCormack
168,Star Trek IV: The Voyage Home,William Shatner,Leonard Nimoy,DeForest Kelley
169,Predator 2,Kevin Peter Hall,Danny Glover,Gary Busey
170,28 Days Later,Cillian Murphy,Naomie Harris,Noah Huntley
172,Star Trek V: The Final Frontier,William Shatner,Leonard Nimoy,DeForest Kelley
173,"20,000 Leagues Under the Sea",Kirk Douglas,James Mason,Paul Lukas
174,Star Trek VI: The Undiscovered Country,William Shatner,Leonard Nimoy,DeForest Kelley
176,Saw,Cary Elwes,Danny Glover,Monica Potter
177,The Fisher King,Jeff Bridges,Robin Williams,Mercedes Ruehl
