"Class 
Number","Gen
Ed",Class,Description,"Credit
Hours",Days,"Begin 
Time","End 
Time",Room,Instructor,"Instruction 
Mode","Start 
Date","End 
Date"
PHILOSOPHY,,,,,,,,,,,,
ENGINEERING TECHNOLOGY,,,,,,,,,,,,
MATHEMATICS,,,,,,,,,,,,
CIS,,,,,,,,,,,,
44621.0,,CIT 105-A0Z2,35,3,1,1,1,1,Papalouca,1.0,43696.0,43814.0
CHEMISTRY,,,,,,,,,,,,
GEOGRAPHY,,,,,,,,,,,,
FIRST YEAR EXPERIENCE,,,,,,,,,,,,
ENGLISH,,,,,,,,,,,,
WELDING,,,,,,,,,,,,
INTERDISCIPLINARY EARLY CHILDHOOD EDUCATION,,,,,,,,,,,,
ENGINEERING TECHNOLOGY,,,,,,,,,,,,
HEALTHCARE FACILITIES LEADERSHIP,,,,,,,,,,,,
PHILOSOPHY,,,,,,,,,,,,
AIR CONDITIONING AND REFRIGERATION,,,,,,,,,,,,
BIOLOGICAL SCIENCES,,,,,,,,,,,,
AUTOMOTIVE TECHNOLOGY,,,,,,,,,,,,
BIOLOGICAL SCIENCES,,,,,,,,,,,,
ENGLISH,,,,,,,,,,,,
FIRST YEAR EXPERIENCE,,,,,,,,,,,,
BIOLOGICAL SCIENCES,,,,,,,,,,,,
ENGLISH,,,,,,,,,,,,
SURGICAL TECHNOLOGY,,,,,,,,,,,,
WELDING,,,,,,,,,,,,
NURSING,,,,,,,,,,,,
BUSINESS ADMINISTRATION SYSTEMS,,,,,,,,,,,,
SOCIOLOGY,,,,,,,,,,,,
AUTOMOTIVE TECHNOLOGY,,,,,,,,,,,,
44715.0,,8,15,2,7,8,6,6,8,2.0,43696.0,43814.0
BIOLOGICAL SCIENCES,,,,,,,,,,,,
MATHEMATICS,,,,,,,,,,,,
NURSING ASSISTANT,,,,,,,,,,,,
AUTOMOTIVE TECHNOLOGY,,,,,,,,,,,,
HISTORY,,,,,,,,,,,,
CIS,,,,,,,,,,,,
SOCIOLOGY,,,,,,,,,,,,
COOPERATIVE EDUCATION,,,,,,,,,,,,
DIESEL TECHNOLOGY,,,,,,,,,,,,
COMMUNICATIONS,,,,,,,,,,,,
CHEMISTRY,,,,,,,,,,,,
BIOLOGICAL SCIENCES,,,,,,,,,,,,
COMPUTER MANUFACTURING AND MACHINES,,,,,,,,,,,,
FIRST YEAR EXPERIENCE,,,,,,,,,,,,
INDUSTRIAL MANTIENENCE TECHNOLGOY,,,,,,,,,,,,
DIESEL TECHNOLOGY,,,,,,,,,,,,
ART ,,,,,,,,,,,,
AUTOMOTIVE TECHNOLOGY,,,,,,,,,,,,
POLITICAL SCIENCE,,,,,,,,,,,,
ART ,,,,,,,,,,,,
COMPUTER MANUFACTURING AND MACHINES,,,,,,,,,,,,
ENGINEERING TECHNOLOGY,,,,,,,,,,,,
CRIMINAL JUSTICE,,,,,,,,,,,,
SURGICAL TECHNOLOGY,,,,,,,,,,,,
CIS,,,,,,,,,,,,
BIOLOGICAL SCIENCES,,,,,,,,,,,,
NURSING,,,,,,,,,,,,
MATHEMATICS,,,,,,,,,,,,
COMMUNICATIONS,,,,,,,,,,,,
44511.0,4,COM 252-A004,43,3,2,5,24,38,45,2.0,43696.0,43814.0
ENGLISH,,,,,,,,,,,,
MATHEMATICS,,,,,,,,,,,,
FIRST YEAR EXPERIENCE,,,,,,,,,,,,
MEDICAL ASSISTING,,,,,,,,,,,,
COMMUNICATIONS,,,,,,,,,,,,
HISTORY,,,,,,,,,,,,
