mission_title,Target
1,"205, 98, 136, 332"
11,"212, 204, 268, 404"
12,"391, 305, 208"
13,"289, 363, 232"
14,"409, 454"
15,426
16,"474, 311, 312, 311"
17,"476, 482, 475"
18,"328, 424, 99"
19,"384, 208, 329"
2,"123, 308, 208, 85, 288, 209, 203"
20,"502, 332, 427, 353"
21,"506, 396"
22,"354, 455, 317, 511"
23,"356, 271, 299, 461, 513"
24,"426, 518, 306, 466, 118"
25,"519, 329, 268"
26,"277, 520, 384, 336, 385"
27,"522, 300, 480, 388, 241"
28,"395, 475"
29,524
3,"409, 210, 206, 91"
30,"476, 436, 429"
31,"526, 384, 491"
32,454
33,"530, 529"
34,498
36,532
39,"513, 458"
4,"212, 345, 183, 302, 303"
40,506
41,"540, 508, 521"
42,"512, 541"
43,393
44,"543, 476, 542"
45,475
46,"502, 311, 546"
47,"519, 547"
48,"549, 525"
49,"551, 522"
5,"110, 422, 204, 423"
50,422
51,426
52,509
53,"491, 531"
54,"524, 556, 555"
55,492
56,558
57,"560, 561, 547"
6,"429, 208"
60,"564, 513"
61,519
7,"232, 311, 99"
8,"206, 241, 268"
9,"212, 251"
ASTP,"23, 77"
Apollo 10,"23, 26"
Apollo 11,"27, 24"
Apollo 12,"44, 28"
Apollo 13,"22, 46"
Apollo 14,"48, 49, 50"
Apollo 15,"55, 25"
Apollo 16,"17, 56, 57"
Apollo 17,"26, 58"
Apollo 9,"25, 18"
Astro-2,239
Atlas-1,130
Euromir 94,131
Gemini 10,"27, 17"
Gemini 11,20
Gemini 12,22
Gemini 3,17
Gemini 4,"18, 19"
Gemini 5,20
Gemini 6A,7
Gemini 7,22
Gemini 8,"25, 24"
Gemini 9A,26
MA-6,3
Mercury-Atlas 7,4
Mercury-Atlas 9,8
Mir EO-15,308
Mir EO-21,308
STS 101,308
STS 51-L,157
STS-1,102
STS-100,404
STS-101,"331, 262, 313, 396"
STS-102,"403, 402"
STS-103,"326, 282"
STS-105,"344, 387, 408"
STS-106,"318, 397"
STS-107,"374, 431, 389, 432"
STS-108,"244, 411, 382"
STS-109,"414, 296, 301, 326, 413"
STS-110,"192, 416, 291"
STS-111,"421, 420, 290"
STS-112,"400, 424"
STS-113,"428, 337"
STS-114,"349, 439, 402, 438, 365, 324"
STS-115,"448, 447, 321, 398"
STS-116,"452, 451, 364, 450"
STS-117,"373, 457"
STS-118,"461, 397, 463, 462, 393"
STS-119,"490, 404, 492"
STS-120,"467, 466, 446, 323"
STS-121,"425, 444, 368"
STS-122,"469, 415"
STS-123,"350, 370, 472, 473"
STS-124,"411, 481, 479, 478"
STS-125,"326, 495, 377"
STS-126,"488, 487, 448"
STS-127,"499, 500, 501"
STS-128,"503, 452, 387"
STS-129,"469, 473"
STS-130,"365, 451, 465, 512"
STS-131,"468, 446, 460, 397, 517, 516"
STS-132,"474, 488, 478, 490"
STS-133,"487, 462, 368, 505, 488, 493"
STS-134,"497, 471, 418"
STS-135,447
STS-151-C,56
STS-2,104
STS-26,119
STS-27,"132, 214, 192, 145"
