Subtitle,Essentials,Enterprise
I) User Interface,0.0,0.0
I) User Interface,0.0,0.0
I) User Interface,0.0,0.0
I) User Interface,0.0,0.0
I) User Interface,,0.0
II) Functional Features,,0.0
II) Functional Features,0.0,0.0
II) Functional Features,,0.0
III) Reporting,0.0,0.0
III) Reporting,0.0,0.0
III) Reporting,,0.0
III) Reporting,0.0,0.0
III) Reporting,0.0,0.0
III) Reporting,0.0,0.0
III) Reporting,,0.0
III) Reporting,0.0,0.0
III) Reporting,0.0,0.0
III) Reporting,0.0,0.0
III) Reporting,0.0,0.0
IV) Notifications,0.0,0.0
IV) Notifications,0.0,0.0
IV) Notifications,,0.0
IV) Notifications,,0.0
V) Workflow,0.0,0.0
V) Workflow,,0.0
V) Workflow,,0.0
VI) Administration & User Privileges,0.0,0.0
VI) Administration & User Privileges,0.0,0.0
VI) Administration & User Privileges,0.0,0.0
VI) Administration & User Privileges,0.0,0.0
VI) Administration & User Privileges,0.0,0.0
VI) Administration & User Privileges,0.0,0.0
VI) Administration & User Privileges,0.0,0.0
VI) Administration & User Privileges,,0.0
VI) Administration & User Privileges,,0.0
VI) Administration & User Privileges,,0.0
VI) Administration & User Privileges,,0.0
VI) Administration & User Privileges,,0.0
VI) Administration & User Privileges,,0.0
