Category,$,%
Income,4034.8737869999995,0.545454545
,3362.3948229999996,0.454545455
Expense - Needs,1650.0,0.22305530399999998
,155.0,0.02095368
,1500.0,0.20277754899999997
,250.0,0.033796257999999996
,275.0,0.037175884
,225.0,0.030416632000000002
,100.0,0.013518503000000001
,395.0,0.053398087999999996
,225.0,0.030416632000000002
,60.0,0.008111102
,250.0,0.033796257999999996
,100.0,0.013518503000000001
Expense - Wants,125.0,0.016898128999999998
,100.0,0.013518503000000001
,100.0,0.013518503000000001
Savings,295.89074439999996,0.04
,917.0,0.123964675
,0.0,0.0
,225.0,0.030416632000000002
,449.37786600000004,0.060749162
,1887.26861,0.25513046899999997
