unit_cogs,name,quantity,Index,group
1.64,MAR PALMA BIELMAR 250G Z MURZYNKIEM,16,17624,GENERAL_ITEMS
0.99,PRYMAT PIETRUSZKA NATKA,1,18636,SPICES
2.73,LODY KAKTUS  ML,13,15275,ICE_CREAMS_FROZEN
4.6,GOS.MLEKO PUSZKA 510 GR KRÓWKOWE S?/ZAG,1,8389,DAIRY_CHESSE
1.73,PIWO TYSKIE KLASYCZNE 0_5 BUT.ZW,8,1009,ALCOHOL
1.4,JOGURT JOVI 350 G PITNY,4,8424,DAIRY_CHESSE
11.15,WEDEL PTASIE MLECZKO SMIETANKOWE,2,19084,SWEETS
3.27,ODSWIEZACZ SPRAY 400 ML,1,1917,CHEMISTRY
9.86,PAP RGD BLU,4,5189,CIGARETTES
7.43,MLECZKO CIF DO CZYSZCZENIA 540GR,1,3259,CHEMISTRY
3.56,S CHLEB KROJONY 1KG,8.5,1213,BREAD
4.14,CZEK AMELIA 250G Z CIASTECZKAMI,3,20928,SWEETS
1.27068493150685,KUBUS WATERRR MALINA 0_5L,73,9751,DRINK_JUICE
0.83,KRET W TABLATKACH 3W1,1,3859,CHEMISTRY
23.2352941176471,KIELBASA PEPERONI KG,0.17,12108,GENERAL_FOOD
1.85,PLATKI KOSMETYCZNE MEA 120 SZT,2,3909,CHEMISTRY
2.58068965517241,WODA 5 L N/G PRIMAVERA +1 L GRATIS,29,9869,DRINK_JUICE
8.97826086956522,KIE?BASA S?OIKOWA  KG,1.84,16922,POULTRY
1.5,B ROGALE/GNIAZDO SMIET/EKLER/OMLET,210,1338,BREAD
6.28571428571429,CIASTKA JIW KG,0.07,6240,COOKIES_BULK
3.28,WIN MAJONEZ 300 G,16,11982,GENERAL
1.396,JOGURT JOVI 350 G PITNY,15,8235,DAIRY_CHESSE
1.24,CHRUPKI TRUSKAWKOWE 80 G,2,4570,CHIPS_FLAKES
4.07,PIWO GOZDZILLA 0_5 L B/BEZW,4,479,ALCOHOL
1.87,BULION KNORR GRZYBOWY (3L)60G KOSTKI,2,16567,KETCH_CONCETRATE_MUSTARD_MAJO_HORSERADISH
0.96,JOGOBELLA 150G STANDARD,64,7831,DAIRY_CHESSE
2.99,CHUSTECZKI HAPPY NAS?CZ.64SZT,1,3813,CHEMISTRY
2.4433333333333302,WODA 5 L N/G PRIMAVERA +1 L GRATIS,12,10592,DRINK_JUICE
3.12,PUDL KETCHUP PIKANTNY 480G,3,16452,KETCH_CONCETRATE_MUSTARD_MAJO_HORSERADISH
0.89,WODA PRIMAWERA 1 L N/G,6,10302,DRINK_JUICE
1.39,GELLWE ZELATYNA 20 G,1,12250,GENERAL_FOOD
0.89,GALEO PRZYPRAWA DO GYROSA 20G,1,18086,SPICES
1.29,KNORR PAPRYKA OSTRA Z HISZPANI,2,18743,SPICES
0.01,PIORNIK,1,3505,CHEMISTRY
2.58,PIWO LECH FRI  LIME PUSZKA 0_5 L,5,579,ALCOHOL
5.01,AMELIA PIANKA CZEKOLADA 380 G,2,20499,SWEETS
11.64,PAP CAMEL,15,5289,CIGARETTES
1.29,POEZJA DESER TRUSKAWKA 180 G,3,7295,DAIRY_CHESSE
0.445454545454546,NAP NAPI POMARANCZ 0_2L,22,10548,DRINK_JUICE
2.53,HERB. MALINA 20TOR HERBAPOL,2,6092,COFFEE TEA
3.63,NAP HORTEX 1 L BANANOWY,1,16601,KETCH_CONCETRATE_MUSTARD_MAJO_HORSERADISH
1.5056521739130402,LODY BAJKA W CZEKOLADZIE,69,15069,ICE_CREAMS_FROZEN
5.25,DA DANONKI MEGA BRZOSK/JAGODA,2,7187,DAIRY_CHESSE
3.33,PLYN AJAX 1 L OPTIMAL,1,3707,CHEMISTRY
2.98,S CHLEB ZIARNISTY 0_6,27,1138,BREAD
1.74,NAP MIRINDA ORANGE 0_5L,13,9426,DRINK_JUICE
2.47,SZAMPON Z CZARNA RZEPA 240 ML EVA NATURE,1,2753,CHEMISTRY
0.37,DR O PROSZEK DO PIECZENIA  30G,26,18467,SPICES
1.2129411764705902,TIK TAK MIETA,17,19612,SWEETS
