original_title,title_length,production_companies
Mr. Nobody,10, Virtual Films
Oblivion,8, Relativity Media
Out of Time,11, Monarch Pictures
I Am Legend,11, Weed Road Pictures
Wild Target,11, CinemaNX
Shanghai Knights,16, Touchstone Pictures
Man of Steel,12, DC Entertainment
Down with Love,14, Mediastream Dritte Film
Les MisÃ©rables,15, Relativity Media
Live Free or Die Hard,21, Wintergreen Productions
Land of the Lost,16, Relativity Media
Paranormal Activity 3,21, Solana Films
Dumb and Dumber To,18, Red Granite Pictures
Scooby-Doo,10,Atlas Entertainment
Transformers: Dark of the Moon,30, Indochina Productions
Before the Devil Knows You're Dead,34, Funky Buddha Productions
The Hitchhiker's Guide to the Galaxy,36, Hammer & Tongs
Spy,3,Twentieth Century Fox Film Corporation
Sex and the City,16, Home Box Office (HBO)
Four Brothers,13,Paramount Pictures
The Five-Year Engagement,24,Universal Pictures
Virgin Territory,16, Zephyr Films
Defiance,8, The
Daddy's Home,12, Red Granite Pictures
The Grand Seduction,19,Max Films Productions
Revolutionary Road,18, Neal Street Productions
The Grand Seduction,19, Morag Loves Company
Disturbia,9, The
Transformers: Revenge of the Fallen,35, Amblin Entertainment
Starsky & Hutch,15, Red Hour Films
The Good Shepherd,17, Morgan Creek Productions
The Wolverine,13, Donners' Company
Don't Say a Word,16, Village Roadshow Pictures
State of Play,13, Andell Entertainment
"Yours, Mine & Ours",18, O.N.C. Entertainment
Paddington,10, TF1 Films Production
Men of Honor,12,Fox 2000 Pictures
Aloha,5, Vinyl Films
Vicky Cristina Barcelona,24, Antena 3 TelevisiÃ³n
Water for Elephants,19,Ingenious Media
Bullet to the Head,18,Dark Castle Entertainment
Shutter Island,14, Sikelia Productions
Focus,5, Zaftig Films
Spirit: Stallion of the Cimarron,32,DreamWorks Animation
Crash,5, ApolloProScreen Filmproduktion
DÃ©jÃ  Vu,9,Jerry Bruckheimer Films
Deception,9, Dune Entertainment III
Armored,7,Screen Gems
Barnyard,8, Paramount Animation
Zoolander,9,Paramount Pictures
47 Ronin,8, Stuber Productions
How to Train Your Dragon,24, Vertigo Entertainment
Hart's War,10, David Ladd Films
We Own the Night,16, Industry Entertainment
Sky Captain and the World of Tomorrow,37, Blue Flower Productions
MacGruber,9,Relativity Media
Tammy,5, Gary Sanchez Productions
Kill the Messenger,18,The Combine
Mr. Brooks,10, Element Films
The Heat,8, Big Screen Productions
The Happening,13, Dune Entertainment
Love Actually,13,DNA Films
The Wedding Ringer,18, Screen Gems
Cheaper by the Dozen,20,Twentieth Century Fox Film Corporation
Be Cool,7, Metro-Goldwyn-Mayer (MGM)
How Do You Know,15, Gracie Films
Return to Never Land,20,Walt Disney Pictures
Proof,5,Miramax Films
A.I. Artificial Intelligence,28, Warner Bros.
Carol,5, Film4
God's Not Dead,14,Pure Flix Entertainment
xXx,3, Original Film
Showtime,8, NPV Entertainment
Ted 2,5,Universal Pictures
Paul Blart: Mall Cop 2,22, Happy Madison Productions
American Sniper,15, Mad Chance Productions
The SpongeBob SquarePants Movie,31, Nickelodeon Movies
Barbershop 2:  Back in Business,31,Metro-Goldwyn-Mayer (MGM)
Bridge of Spies,15,DreamWorks SKG
Brothers,8, Sighvatsson Films
Freddy vs. Jason,16, Cecchi Gori Group Tiger Cinematografica
The Company Men,15, Battle Mountain Films
A Good Day to Die Hard,22,Ingenious Media
Percy Jackson: Sea of Monsters,30, Dune Entertainment III
RED,3, Summit Entertainment
Knight and Day,14, Pink Machine
The Bourne Supremacy,20, The Kennedy/Marshall Company
Transporter 2,13, Current Entertainment
Underworld: Evolution,21,Lakeshore Entertainment
Chicago,7,Miramax Films
Taxi,4,Twentieth Century Fox Film Corporation
When the Game Stands Tall,25,Mandalay Pictures
Harry Potter and the Chamber of Secrets,39, Heyday Films
A Nightmare on Elm Street,25, Platinum Dunes
Stardust,8,Paramount Pictures
A Lot Like Love,15, Beacon Pictures
Up,2,Walt Disney Pictures
Agent Cody Banks,16, Maverick Films
American Wedding,16, Loumolo & Co.
Angels & Demons,15, Imagine Entertainment
City By The Sea,15, Epsilon Motion Pictures
Fast & Furious,14, Dentsu Inc.
Inception,9, Syncopy
Monster-in-Law,14, BenderSpink
La migliore offerta,19, Business Location Sudtirol Alto Adige
Project X,9, Green Hat Films
Rocky Balboa,12, Revolution Studios
Planet of the Apes,18, Zanuck Company
Two Weeks Notice,16,Village Roadshow Pictures
Secret in Their Eyes,20, Gran Via Productions
Transcendence,13,Alcon Entertainment
Shaft,5, Scott Rudin Productions
Gravity,7, Esperanto Filmoj
Annabelle,9,New Line Cinema
Valiant,7,Vanguard Films
The Judge,9, Big Kid Pictures
Hachi: A Dog's Tale,19, Stage 6 Films
Ocean's Thirteen,16, Warner Bros.
We Were Soldiers,16, Motion Picture Production GmbH & Co. Erste KG
Jarhead,7, Motion Picture KAPPA Produktionsgesellschaft
Munich,6, Peninsula Films
The Wedding Planner,19, Intermedia Films
The Karate Kid,14, China Film Group
Sydney White,12, SW7D Productions
Bridesmaids,11, Apatow Productions
Saving Silverman,16,Village Roadshow Pictures
Four Christmases,16, Wild West Picture Show Productions
Blood Ties,10,Wild Bunch
Due Date,8,Legendary Pictures
Brooklyn,8, Irish Film Board
Young Adult,11, Indian Paintbrush
Get Him to the Greek,20, Relativity Media
The Jacket,10, Rising Star
Bridesmaids,11, Relativity Media
The Hitchhiker's Guide to the Galaxy,36,Spyglass Entertainment
The Judge,9,Village Roadshow Pictures
The Emperor's New Groove,24, Walt Disney Feature Animation
Ocean's Eleven,14,Village Roadshow Pictures
Armored,7, Farah Films & Management
Step Up,7, Touchstone Pictures
Apollo 18,9,Bazelevs Production
Vantage Point,13, Relativity Media
The Transporter,15, Current Entertainment
I'm Not There.,14, Killer Films
Fantastic Four,14, Marvel Enterprises
The Butterfly Effect,20, Katalyst Films
Wanted,6, Bazelevs Production
Tristan & Isolde,16, Franchise Pictures
Ex Machina,10,DNA Films
The Matrix Reloaded,19, Warner Bros.
Dallas Buyers Club,18,Universal Studios
The Grey,8, 1984 Private Defense Contractors
The Jungle Book 2,17, DisneyToon Studios
The Night Before,16, Point Grey Pictures
Honey,5, NuAmerica Entertainment
Goal!: The Dream Begins,23, Hargitay & Hargitay Pictures in Motion
G.I. Joe: The Rise of Cobra,27, Hasbro
Leap Year,9, Spyglass Entertainment
"Alexander and the Terrible, Horrible, No Good, Very Bad Day",59,Walt Disney Pictures
August: Osage County,20, Smokehouse Pictures
Paparazzi,9,20th Century Fox
The Return,10, Rosey Film Productions LLC
Escape Plan,11, Mark Canton Productions
Thank You for Smoking,21, Room 9 Entertainment
3:10 to Yuma,12,Tree Line Films
When the Game Stands Tall,25, Affirm Films
Before the Devil Knows You're Dead,34, Michael Cerenzie Productions
The Tourist,11, GK Films
Million Dollar Baby,19, Epsilon Motion Pictures
Aliens in the Attic,19, Upstairs Canada Productions
Seven Pounds,12, Relativity Media
In Bruges,9, Film4
Hot Pursuit,11,New Line Cinema
Frailty,7, American Entertainment Partners L.P.
Vacancy,7, Hal Lieberman Company
Angels & Demons,15, Skylark Productions
The Butler,10, Lee Daniels Entertainment
The Pursuit of Happyness,24, Escape Artists
The Constant Gardener,21, UK Film Council
"I, Robot",8, Davis Entertainment
Unknown,7, StudioCanal
Hannibal,8, Scott Free Productions
The Exorcism of Emily Rose,26,Lakeshore Entertainment
The Patriot,11, Global Entertainment Productions GmbH & Company Medien KG
Alpha and Omega,15, Crest Animation Productions
Hitman: Agent 47,16,Twentieth Century Fox Film Corporation
John Wick,9, 87Eleven
Akeelah and the Bee,19, 2929 Productions
Annie,5,Columbia Pictures
War,3, Province of British Columbia Production Services Tax Credit
The Hitchhiker's Guide to the Galaxy,36, Touchstone Pictures
Fifty Shades of Grey,20, Michael De Luca Productions
The Danish Girl,15, ArtÃ©mis Productions
Priest,6, Buckaroo Entertainment
Post Grad,9, The Montecito Picture Company
End of Watch,12, Hedge Fund Film Partners
The Hurt Locker,15, Film Capital Europe Funds (FCEF )
Watchmen,8, Legendary Pictures
28 Weeks Later,14, Figment Films
Children of Men,15, Hit & Run Productions
Street Kings,12, Dune Entertainment III
Belle,5, Metrol Technology
This Must Be the Place,22,ARP SÃ©lection
The Animal,10, Happy Madison Productions
Percy Jackson: Sea of Monsters,30,1492 Pictures
Escape from Planet Earth,24, Mainframe Entertainment
White Noise,11,Universal Pictures
Into the Wild,13, River Road Entertainment
A Mighty Wind,13,Castle Rock Entertainment
Saw 3D,6, Twisted Pictures
Seven Pounds,12, Overbrook Entertainment
The Illusionist,15,Michael London Productions
Happy Feet,10, Animal Logic
I Could Never Be Your Woman,27, Bauer Martinez Studios
Chef,4, Fetisov Teterin Films
Night at the Museum: Battle of the Smithsonian,46, Dune Entertainment
Hanna,5, Focus Features
Austin Powers in Goldmember,27, Moving Pictures
Don't Be Afraid of the Dark,27, FilmDistrict
The Way Back,12,Polish Film Institute
Stealth,7, Columbia Pictures Corporation
The Ring,8,DreamWorks SKG
Milk,4,Focus Features
Planet of the Apes,18, Tim Burton Productions
The Big Year,12,Ingenious Media
Percy Jackson & the Olympians: The Lightning Thief,50, 1492 Pictures
Night at the Museum: Battle of the Smithsonian,46, 21 Laps Entertainment
Daredevil,9, Marvel Enterprises
Punisher: War Zone,18,Lionsgate
Not Another Teen Movie,22, Neal H. Moritz Productions
22 Jump Street,14, Cannell Studios
Lord of War,11, Rising Star
We Are Your Friends,19,Working Title Films
Elektra,7, Epsilon Motion Pictures
Collateral Damage,17, Bel Air Entertainment
Catwoman,8,Village Roadshow Pictures
Sin City: A Dame to Kill For,28, Demarest Films
Gran Torino,11,Village Roadshow Pictures
Rock the Kasbah,15, QED International
City By The Sea,15,Warner Bros. Pictures
My Best Friend's Girl,21, Management 360
The Bourne Supremacy,20, Ludlum Entertainment
Creed,5, Metro-Goldwyn-Mayer (MGM)
The Informant!,14,Section Eight
Seabiscuit,10,Universal Pictures
Seven Psychopaths,17, British Film Institute (BFI)
Memoirs of a Geisha,19,DreamWorks SKG
The Assassination of Jesse James by the Coward Robert Ford,58, Virtual Studios
Promised Land,13, Media Farm
Hotel Transylvania,18, Sony Pictures Animation
Vantage Point,13,Columbia Pictures
Trespass,8, Winkler Films
Paul Blart: Mall Cop 2,22, Sony Pictures Entertainment (SPE)
50 First Dates,14, Anonymous Content
Austin Powers in Goldmember,27, Team Todd
Case 39,7, Misher Films
Invictus,8, Revelations Entertainment
Point Break,11, Ehman Productions
Prometheus,10, Brandywine Productions
Jumping the Broom,17,TriStar Pictures
Spectre,7, B24
Walking With Dinosaurs,22,20th Century Fox
In Time,7, New Regency Pictures
Chronicle,9,Twentieth Century Fox Film Corporation
TMNT,4, Imagi Production
The Adventures of Tintin,24, Columbia Pictures
Kingsman: The Secret Service,28,Twentieth Century Fox Film Corporation
Ninja Assassin,14,Studio Babelsberg
The Karate Kid,14, Jerry Weintraub Productions
Frozen,6, Walt Disney Animation Studios
Blackhat,8, Legendary Pictures
The Phantom of the Opera,24, Warner Bros.
State of Play,13, Working Title Films
Journey 2: The Mysterious Island,32,New Line Cinema
I Know Who Killed Me,20,TriStar Pictures
What's Your Number?,19,Regency Enterprises
Skyline,7, Hydraulx
Transformers: Age of Extinction,31, Platinum Dunes
Riddick,7,One Race Productions
Transformers,12,Paramount Pictures
Along Came Polly,16, Loofah Productions
Swordfish,9,Village Roadshow Pictures
Suspect Zero,12,Paramount Pictures
Inception,9, Warner Bros.
Seventh Son,11, Moving Picture Company (MPC)
Rules of Engagement,19, Seven Arts Pictures
Twilight,8, Temple Hill Entertainment
Man of Steel,12, Syncopy
Black Mass,10,Infinitum Nihil
No Reservations,15, Warner Bros.
Avatar,6, Dune Entertainment
The Contract,12, 3L Filmverleih
Cloud Atlas,11, X-Filme Creative Pool
Aloha,5, RatPac Entertainment
Rumor Has It...,15, Spring Creek Productions
Straight Outta Compton,22, Cube Vision
City of Ember,13, Walden Media
Open Range,10, Beacon Pictures
The Muppets,11,Walt Disney Pictures
Son of God,10, LightWorkers Media
Man of Tai Chi,14, Village Roadshow Pictures
Devil,5, Night Chronicles
Jurassic World,14, Legendary Pictures
Heaven is for Real,18,TriStar Pictures
Public Enemies,14, Forward Pass
Snitch,6, Exclusive Media Group
Brokeback Mountain,18, Focus Features
Ouija,5, Media Rights Capital
The Devil Wears Prada,21, Fox 2000 Pictures
Wanderlust,10, Apatow Productions
Mindhunters,11,Avenue Pictures Productions
Sydney White,12, Clifford Werber Productions
Belle,5, British Film Institute (BFI)
Ghost Ship,10, Ghost Ship Films Pty. Ltd.
Disconnect,10, Liddell Entertainment
Training Day,12,Village Roadshow Pictures
A Lot Like Love,15, Kevin Messick Productions
Final Destination 3,19, Matinee Pictures
Project Almanac,15, Platinum Dunes
Annapolis,9,Touchstone Pictures
Contraband,10, Relativity Media
Due Date,8, Warner Bros.
In the Heart of the Sea,23, Warner Bros.
Oldboy,6, Good Universe
Never Back Down,15, Mandalay Pictures
Role Models,11, WideAwake
Seabiscuit,10, Spyglass Entertainment
Captivity,9,Foresight Unlimited
Crazy Heart,11, Butcher's Run Films
The Change-Up,13, Big Kid Pictures
Crimson Peak,12,Legendary Pictures
The Village,11, Blinding Edge Pictures
The Amazing Spider-Man 2,24, Matt Tolmach Productions
The Da Vinci Code,17, Imagine Entertainment
The Railway Man,15, Pictures in Paradise
Kiss of the Dragon,18,Twentieth Century Fox Film Corporation
Goal!: The Dream Begins,23,Touchstone Pictures
The Water Diviner,17, RatPac Entertainment
9,1, Tim Burton Productions
White House Down,16, Centropolis Entertainment
Showtime,8, Warner Bros.
Tears of the Sun,16, Revolution Studios
The Wolverine,13, Big Screen Productions
Legend,6, Anton Capital Entertainment (ACE)
Cloudy with a Chance of Meatballs 2,35, Sony
The Cat's Meow,14, Dan Films
Journey 2: The Mysterious Island,32, Contrafilm
Elizabethtown,13,Paramount Pictures
Jeepers Creepers 2,18, Myriad Pictures
Forgetting Sarah Marshall,25, Apatow Productions
The Pianist,11, Heritage Films
Derailed,8, Patalex V Productions Limited
Carnage,7, Zanagar Films
Dumb and Dumber To,18,New Line Cinema
The Twilight Saga: Eclipse,26, Sunswept Entertainment
Crazy Heart,11, Informant Media
Lucky Number Slevin,19, VIP Medienfonds 4
Red Planet,10, NPV Entertainment
Rush,4, Working Title Films
21 & Over,9,Relativity Media
Ocean's Thirteen,16,Village Roadshow Pictures
Spy Kids 2: Island of Lost Dreams,33,Dimension Films
Flightplan,10, Touchstone Pictures
Hostage,7, Yari Film Group
The Mummy Returns,17, Imhotep Productions
Devil,5,Universal Pictures
The Twilight Saga: New Moon,27, Sunswept Entertainment
Far from Heaven,15,Clear Blue Sky Productions
I Am Number Four,16, Touchstone Pictures
The Mortal Instruments: City of Bones,37, Mr. Smith Productions
Earth,5,BBC
Underworld: Awakening,21, Sketch Films
Red Tails,9,Twentieth Century Fox Film Corporation
Man of Steel,12, Warner Bros.
Nanny McPhee,12, Metro-Goldwyn-Mayer (MGM)
Moon,4, Limelight Fund
The Hobbit: The Desolation of Smaug,35, New Line Cinema
Coraline,8,Focus Features
The Family,10,Canal Plus
The Invisible,13, Birnbaum / Barber Productions
Diana,5, Filmgate Films
Lord of War,11, Ascendant Pictures
Shall We Dance?,15,Miramax Films
Van Helsing,11, Sommers Company
Dark Shadows,12, GK Films
Jarhead,7, Red Wagon Entertainment
The Big Short,13, Plan B Entertainment
Sky High,8,Walt Disney Pictures
What to Expect When You're Expecting,36, Phoenix Pictures
The Hunger Games: Mockingjay - Part 2,37, Lionsgate
Mission: Impossible - Rogue Nation,34, China Movie Channel
