original_title,title_length,production_companies
(500) Days of Summer,20," Dune Entertainment III, Fox Searchlight Pictures,  Watermark"
"10,000 BC",9," Warner Bros.,  The Department of Trade and Industry of South Africa,  Legendary Pictures"
12 Rounds,9, Midnight Sun Pictures
12 Years a Slave,16," Film4, Plan B Entertainment,  Regency Enterprises,  New Regency Pictures,  River Road Entertainment"
127 Hours,9,"Fox Searchlight Pictures,  Dune Entertainment,  Cloud Eight Films"
13 Going On 30,14,Columbia Pictures
15 Minutes,10," Tribeca Productions,  New Redemption Pictures,  Industry Entertainment"
16 Blocks,9,"Donners' Company,  Alcon Entertainment,  Millennium Films,  Nu Image Entertainment GmbH"
17 Again,8,New Line Cinema
2 Fast 2 Furious,16," Universal Pictures, Mikona Productions GmbH & Co. KG,  Ardustry Entertainment"
2012,4,"Columbia Pictures,  Centropolis Entertainment,  The Mark Gordon Company,  Farewell Productions"
21,2, Relativity Media
21 & Over,9,"Relativity Media,  Mandeville Films,  Virgin Produced"
21 Grams,8," Mediana Productions Filmgesellschaft, This Is That Productions,  Y Productions"
22 Jump Street,14," Cannell Studios,  Metro-Goldwyn-Mayer (MGM),  Media Rights Capital,  Original Film"
27 Dresses,10, Fox 2000 Pictures
28 Days Later...,16,"DNA Films,  British Film Council"
28 Weeks Later,14," Figment Films,  UK Film Council,  Sociedad General de Cine S.A."
3 Idiots,8,Vidhu Vinod Chopra Productions
30 Days of Night,16,"Columbia Pictures,  HorrorFlix,  Dark Horse Entertainment"
30 Minutes or Less,18,Columbia Pictures
300,3,"Virtual Studios,  Hollywood Gang Productions,  Atmosphere Entertainment MM"
3000 Miles to Graceland,23, Warner Bros.
300: Rise of an Empire,22," Hollywood Gang Productions, Legendary Pictures,  Nimar Studios,  Warner Bros.,  Atmosphere Entertainment MM"
3:10 to Yuma,12,"Tree Line Films,  Relativity Media"
42,2,Warner Bros.
47 Ronin,8," Stuber Productions,  Moving Picture Company (MPC),  Universal, Mid Atlantic Films"
4: Rise of the Silver Surfer,28," 1492 Pictures,  Dune Entertainment, Ingenious Film Partners,  Twentieth Century Fox Film Corporation,  Constantin Film Produktion"
50 First Dates,14," Anonymous Content, Columbia Pictures Corporation"
50/50,5, Mandate Pictures
88 Minutes,10," Nu Image Entertainment,  Brightlight Pictures, TriStar Pictures"
9,1," Tim Burton Productions, Focus Films,  Arc Productions,  Starz Animation"
A Beautiful Mind,16,"Imagine Entertainment,  Universal Pictures"
A Christmas Carol,17," ImageMovers, Walt Disney"
A Cinderella Story,18," Dylan Sellers Productions,  Warner Bros.,  Clifford Werber Productions"
A Dangerous Method,18," The Movie Network, Recorded Pictures Company,  Lago Film"
A Good Day to Die Hard,22,"Ingenious Media,  Twentieth Century Fox Film Corporation,  Big Screen Productions"
A Guy Thing,11, David Ladd Films
A History of Violence,21," DC Comics,  BenderSpink"
A Knight's Tale,15," Black and Blu Entertainment,  Escape Artists,  Finestkind, Columbia Pictures Corporation"
A Lot Like Love,15," Beacon Pictures,  Kevin Messick Productions, Mile High Productions"
A Man Apart,11," ""DIA"" Productions GmbH & Co. KG, New Line Cinema,  Joseph Nittolo Entertainment"
A Mighty Heart,14,"Plan B Entertainment,  Paramount Vantage,  Revolution Films"
A Mighty Wind,13,Castle Rock Entertainment
A Most Violent Year,19,"Participant Media,  Washington Square Films,  FilmNation Entertainment,  Before the Door Pictures"
A Nightmare on Elm Street,25, Platinum Dunes
A Perfect Getaway,17, QED International
A Scanner Darkly,16," Detour Filmproduction, Thousand Words,  Section Eight Productions"
A Serious Man,13," Working Title Films,  Focus Features, Mike Zoss Productions"
A Sound of Thunder,18," Franchise Pictures,  Baldwin Entertainment Group,  Crusader Entertainment, Epsilon Motion Pictures"
A Thousand Words,16," DreamWorks SKG,  Saturn Films,  Varsity Pictures"
A Very Harold & Kumar Christmas,31,New Line Cinema
A Walk Among the Tombstones,27," Cross Creek Pictures,  1984 Private Defense Contractors"
A.I. Artificial Intelligence,28," Warner Bros., DreamWorks SKG,  Stanley Kubrick Productions,  Amblin Entertainment"
AVP: Alien vs. Predator,23," Twentieth Century Fox Film Corporation,  Davis Entertainment,  Studio Babelsberg,  Stillking Films"
Abandon,7, Touchstone Pictures
Abduction,9," Vertigo Entertainment,  Tailor Made"
About Last Night,16," Inc., Screen Gems,  Rainforest Films"
About Schmidt,13,"New Line Cinema,  Avery Pix"
About a Boy,11,Universal Pictures
Abraham Lincoln: Vampire Hunter,31," Abraham Productions, Bazelevs Production,  Location Gourmet"
Accepted,8, Shady Acres Entertainment
Act of Valor,12,Relativity Media
Action Replayy,14,"PVR Cinemas,  Blockbuster Movie Entertainers"
Adaptation.,11," Beverly Detroit,  Intermedia,  Propaganda Films"
Admission,9,Focus Features
Adventureland,13," Sidney Kimmel Entertainment,  This Is That Productions"
After Earth,11," Blinding Edge Pictures,  Overbrook Entertainment"
Agent Cody Banks,16," Maverick Films,  Madacy Entertainment"
Agent Cody Banks 2: Destination London,38," Metro-Goldwyn-Mayer (MGM),  Maverick Films,  Madacy Entertainment"
Agora,5," Mod Producciones,  Telecinco Cinema, HimenÃ³ptero"
Akeelah and the Bee,19," 2929 Productions,  Out of the Blue... Entertainment,  Starbucks Entertainment,  Cinema Gypsy Productions"
Albert Nobbs,12,Chrysalis Films
Alex & Emma,11," Escape Artists, Epsilon Motion Pictures"
Alexander,9," Warner Bros.,  Egmond Film & Television, France 3 CinÃ©ma,  PathÃ© Renn Productions,  Intermedia Films"
"Alexander and the Terrible, Horrible, No Good, Very Bad Day",59,Walt Disney Pictures
Alfie,5," Patalex Productions, Paramount Pictures"
Ali,3,Columbia Pictures Corporation
Alice in Wonderland,19," Tim Burton Productions, Walt Disney Pictures,  Roth Films,  The,  Team Todd"
Aliens in the Attic,19," Upstairs Canada Productions, Twentieth Century Fox Film Corporation"
All About Steve,15,"Dune Entertainment,  Fox 2000 Pictures,  Radar Pictures,  Fortis Films"
All About the Benjamins,23,New Line Cinema
All Is Lost,11," Washington Square Films,  Treehouse Pictures,  Before the Door Pictures, Sudden Storm Productions"
All the King's Men,18," Relativity Media,  Phoenix Pictures,  VIP 4 Medienfonds"
Almost Famous,13,"Columbia Pictures,  Vinyl Films,  DreamWorks Pictures"
Aloha,5," Vinyl Films,  RatPac Entertainment,  Regency Enterprises,  Sony Pictures Entertainment (SPE)"
Alone in the Dark,17," Herold Productions,  Lionsgate, Boll Kino Beteiligungs GmbH & Co. KG"
Along Came Polly,16," Loofah Productions,  Jersey Films, Universal Pictures"
Along Came a Spider,19," AZL Productions KG,  MFP Munich Film Partners"
Alpha and Omega,15," Crest Animation Productions,  Relativity Media, Lions Gate Family Entertainment"
Alvin and the Chipmunks,23,"Dune Entertainment,  Bagdasarian Productions,  Fox 2000 Pictures"
Alvin and the Chipmunks: Chipwrecked,36,Fox 2000 Pictures
Alvin and the Chipmunks: The Squeakquel,39, Fox 2000 Pictures
American Dreamz,15,"Universal Pictures,  Depth of Field"
American Gangster,17," Film Rites, Imagine Entertainment,  Universal Pictures,  Relativity Media"
American Hustle,15,Columbia Pictures
American Outlaws,16,"Warner Bros. Pictures,  Morgan Creek Productions"
American Pie 2,14, Zide-Perry Productions
American Psycho,15,Lions Gate Films
American Reunion,16,Universal Pictures
American Sniper,15," Mad Chance Productions, Village Roadshow Pictures,  Malpaso Productions,  RatPac-Dune Entertainment"
American Wedding,16," Loumolo & Co.,  LivePlanet,  Zide-Perry Productions"
An Unfinished Life,18," Initial Entertainment Group (IEG), Miramax Films,  Persistent Entertainment"
Anchorman 2: The Legend Continues,33,Paramount Pictures
Anchorman: The Legend of Ron Burgundy,37,Apatow Productions
Angel Eyes,10," Morgan Creek Productions, Warner Bros. Pictures,  Franchise Pictures"
Angels & Demons,15," Imagine Entertainment,  Skylark Productions, Columbia Pictures,  Panorama Films"
Anger Management,16, Revolution Studios
Annabelle,9,"New Line Cinema,  Evergreen Media Group,  RatPac-Dune Entertainment"
Annapolis,9,Touchstone Pictures
Annie,5,"Columbia Pictures,  Sony Pictures Entertainment (SPE)"
AntiTrust,9," Hyde Park Films, Industry Entertainment,  Metro-Goldwyn-Mayer (MGM)"
Apocalypto,10, Touchstone Pictures
Apollo 18,9,"Bazelevs Production,  Dimension Films,  Bekmambetov Projects Ltd."
Aquamarine,10, Storefront Pictures
Arbitrage,9," Treehouse Pictures,  Artina Films,  Lucky Monkey Pictures"
Are We There Yet?,17," Revolution Studios,  Cube Vision"
Argo,4,"GK Films,  Warner Bros.,  Smokehouse Pictures"
Armored,7,"Screen Gems,  Farah Films & Management,  Stars Road Entertainment,  Buckaroo Entertainment"
Around the World in 80 Days,27," Mostow/Lieberman Productions,  80 Days Productions, Studio Babelsberg,  Babelsberg Film"
Arthur,6,Warner Bros.
"As Above, So Below",18,Legendary Pictures
Assault on Precinct 13,22," Why Not Productions,  Liaison Films,  Biscayne Pictures, Rogue Pictures"
Astro Boy,9," Summit Entertainment, The Weinstein Company,  Tezuka Production Company Ltd.,  Imagi Animation Studios"
Atlantis: The Lost Empire,25,"Walt Disney Pictures,  Walt Disney Feature Animation"
Atonement,9," Studio Canal, Universal Pictures"
Attack the Block,16,UK Film Council
August Rush,11,Warner Bros.
August: Osage County,20, Smokehouse Pictures
Austin Powers in Goldmember,27," Moving Pictures,  Team Todd, New Line Cinema,  Gratitude International"
Australia,9," Ingenious Film Partners,  Twentieth Century Fox Film Corporation"
