city,ranking,rating,reviews_number,cuisine_style
Amsterdam,1.0,5.0,136.0, European
Amsterdam,5.0,4.5,316.0, European
Amsterdam,7.0,4.5,1455.0," Vegan Options,  Mediterranean,  International"
Amsterdam,8.0,4.5,675.0," Vegan Options,  Indonesian, Asian,  Vegetarian Friendly"
Amsterdam,9.0,4.5,923.0," Gluten Free Options, Japanese,  Vegetarian Friendly,  Asian"
Amsterdam,10.0,4.5,450.0," Fast Food,  Seafood"
Amsterdam,11.0,4.5,295.0," Vegetarian Friendly,  European, American,  Gluten Free Options"
Amsterdam,13.0,4.5,368.0," Vegan Options,  Gluten Free Options"
Amsterdam,15.0,4.5,1246.0," Dutch,  Gluten Free Options,  International,  European"
Amsterdam,16.0,4.5,1391.0," Vegetarian Friendly,  Gluten Free Options,  Cafe"
Amsterdam,17.0,4.5,1633.0," International,  Healthy,  Gluten Free Options"
Amsterdam,18.0,4.5,958.0," Bar,  European"
Amsterdam,19.0,4.5,426.0, Nepali
Amsterdam,21.0,4.5,1380.0,"International,  European"
Amsterdam,22.0,4.5,239.0," Gluten Free Options,  Dutch"
Amsterdam,29.0,4.5,344.0," Vegetarian Friendly,  International, Dutch"
Amsterdam,32.0,4.5,821.0," Gluten Free Options, Steakhouse,  South American"
Amsterdam,37.0,4.5,264.0," Vegetarian Friendly,  European, Dutch,  Gluten Free Options"
Amsterdam,38.0,4.5,308.0," Cafe,  Gluten Free Options,  Vegetarian Friendly"
Amsterdam,39.0,4.5,697.0," European,  International"
Amsterdam,42.0,4.5,718.0," Gluten Free Options, Indian"
Amsterdam,44.0,4.5,408.0,Dutch
Amsterdam,51.0,4.5,681.0,Dutch
Amsterdam,52.0,4.5,1995.0," European,  Vegetarian Friendly,  Gluten Free Options, Dutch,  Vegan Options"
Amsterdam,59.0,4.5,555.0," Vegetarian Friendly, International"
Amsterdam,61.0,4.5,1091.0," Vegan Options, New Zealand,  Gluten Free Options,  Contemporary,  Cafe,  Vegetarian Friendly"
Amsterdam,65.0,4.5,2428.0, Gluten Free Options
Amsterdam,67.0,4.5,838.0," International,  Gluten Free Options,  Vegan Options,  Vegetarian Friendly"
Amsterdam,71.0,4.5,416.0," Vegan Options,  Indonesian,  Vegetarian Friendly, Asian"
Amsterdam,73.0,4.5,748.0, Bar
Amsterdam,76.0,4.5,425.0," International, Dutch,  Vegan Options"
Amsterdam,79.0,4.5,1313.0,"Belgian,  Vegetarian Friendly"
Amsterdam,81.0,4.5,681.0,"Italian,  Vegan Options,  Pizza,  Vegetarian Friendly"
Amsterdam,87.0,4.5,377.0," Vegetarian Friendly,  Seafood, Steakhouse"
Amsterdam,91.0,4.5,888.0," Steakhouse,  Grill,  Bar"
Amsterdam,94.0,4.5,1480.0," Vietnamese,  Indian,  Street Food,  Seafood,  Turkish,  Gluten Free Options,  Grill,  Bar,  Fast Food,  Dutch,  Italian,  Sushi"
Amsterdam,96.0,4.5,496.0," Dutch,  Grill,  Steakhouse"
Amsterdam,100.0,4.5,563.0," Gluten Free Options, Dutch,  European,  French"
Amsterdam,101.0,4.5,696.0,"Irish,  British,  Pub,  Vegetarian Friendly,  International,  Bar"
Amsterdam,102.0,4.5,475.0,"Dutch,  Vegan Options,  Bar,  Vegetarian Friendly,  Gluten Free Options"
Amsterdam,104.0,4.5,1056.0,"Asian,  Vegan Options,  Vegetarian Friendly"
Amsterdam,107.0,4.5,409.0, European
Amsterdam,108.0,4.5,761.0," European,  Mediterranean,  Pizza"
Amsterdam,111.0,4.5,302.0," Gluten Free Options,  Bar,  European, Pub"
Amsterdam,115.0,4.5,388.0," Dutch,  European,  Gluten Free Options"
Amsterdam,117.0,4.5,1307.0, European
Amsterdam,119.0,4.5,1160.0, Grill
Amsterdam,125.0,4.5,1998.0," Vegan Options,  Vegetarian Friendly,  Gluten Free Options, Fast Food"
Amsterdam,130.0,4.5,272.0,Pub
Amsterdam,134.0,4.5,508.0,"Dutch,  Cafe,  Bar"
Amsterdam,135.0,4.5,366.0," Gluten Free Options,  Vegan Options,  Vegetarian Friendly, Dutch,  European"
Amsterdam,139.0,4.5,448.0," Mediterranean,  European,  Gluten Free Options"
Amsterdam,141.0,4.5,385.0," Vegetarian Friendly,  Vegan Options, Italian"
Amsterdam,142.0,5.0,136.0," Central European,  Swiss, French,  Gluten Free Options,  European"
Amsterdam,146.0,4.5,230.0,"Italian,  Vegan Options"
Amsterdam,147.0,5.0,81.0, European
