Subtitle,"Product Code
nieuw",VPE,Omschrijving 2,EAN code,Omschrijving 1,Bruto systeemprijs
Cable stripper,30110,,Top Coax Plus,4014915055921.0,Jokari Kabelstripper Top Coax Plus,
Cable knives Secura,10280,,No. 28H,4011391102804.0,Jokari Kabelmes Secura Nr. 28H,15.25
Accessoires,29030,,EM-Set FKZ,,Jokari FKZ Set reservemesjes,30.4
Cable knives,79055,,Spare hook blade 4-70,,,11.7
Wire stripper,20450,,High Strip,4011391204506.0,Jokari High Strip,74.85000000000002
Cable stripper,30900,,Allrounder,4011391309005.0,Jokari Kabelstripper Allrounder,26.8
Accessoires,60125,1000.0,End sleeves 2.50,4011391601253.0,"Jokari Adereindhuls blauw - 2,5mm 100 st",20.35
Various models,60100,,QUADRO Cartridge,4011391601000.0,Jokari Stripper Quadro Cartridge,17.0
Cable stripper,30810,,LC-PUR,4011391308107.0,Jokari Kabelstripper LC-PUR,56.45
Accessoires,60110,1000.0,End sleeves 1.00,,Jokari Adereindhuls  rood - 1.00mm (500st),17.8
Cable stripper,30180,,"SE-Strip 1,5",4011391301801.0,"Jokari Kabelstripper SE/Strip 1,5",38.55
Cable stripper,30300,,AS-Interface Strip,4011391303003.0,Jokari Kabelstripper AS-Interface strip,45.7
Accessoires,29100,,EM-Set Secura 2K,,Jokari Secura 2K Set reservemesjes,17.650000000000006
Wire stripper,20060,,Special,4011391200609.0,Jokari Draadstripper Special,68.60000000000001
Micro Wire Stripper,40085,,SWS-Plus 050,4011391400856.0,Jokari Micro Draadstripper SWS-Plus 050,27.1
Cable stripper,30140,,No. 14 Flatcable,4011391301405.0,Jokari Kabelstripper Flatkabel No. 14,26.85
Wire stripper,20220,,Outlet Special 20,4011391202207.0,Jokari Outlet Special 20,88.9
Wire stripper,20100,,Secura 2K,4011391201002.0,Jokari Draadstripper Secura Soft Grip,49.95
Micro Wire Stripper,40045,,SWS-Plus 020,4011391400450.0,Jokari Micro Draadstripper SWS-Plus 020,27.1
Accessoires,29450,,EM-Set High-Strip,,Jokari Set reservemesjes,27.4
Accessoires,60150,1000.0,End sleeves 0.50,,"Jokari Adereindhuls  wit- 0,50mm (500st)",17.8
Cable knives Standard,10272,,No. 27 ,4011391102729.0,Jokari Kabelmes Standaard Nr. 27,12.25
Accessoires,29050,,EM-Set Super 4plus,,Jokari Super 4plus Set reservemesjes,10.75
Wire stripper,20090,,6-16,4011391200906.0,Jokari Draadstripper 6-16,80.7
Micro Wire Stripper,40095,,SWS-Plus 060,4011391400955.0,Jokari Micro Draadstripper SWS-Plus 060,27.1
Various models,50000,,BK Stripper,4011391500006.0,Jokari BK Stripper,149.5
Cable knives,79028,,Cable bracket No. 28,4011391790285.0,"Jokari Wisselbeugel 8 - 28mm O, systeem 4-70",14.65
Cable knives Standard,10500,,No. 50 ,4011391105003.0,Jokari Kabelmes Nr. 50,31.5
Accessoires,29070,,EM-Set AS-Interface,,Jokari AS-Interface Set reservemesjes,35.75
Micro Wire Stripper,40065,,SWS-Plus 030,4011391400658.0,Jokari Micro Draadstripper SWS-Plus 030,27.1
Accessoires,29300,,EM-Set Sensor Special ,,Jokari Sensor Special Set reservemesjes,60.35
Cable knives Standard,10350,,No. 35 ,4011391103504.0,Jokari Kabelmes Nr. 35,25.55
Wire stripper,20300,,Sensor Special,4011391203006.0,Jokari Draadstripper Sensor Special,122.9
Cable knives Standard,19001,,Spare Blade ,,Attention new Article No. (old 19000) ,3.15
Various models,61000,,QUADRO bulk,4011391610002.0,Jokari Stripper Quadro Bulk,260.55
Accessoires,29310,,EM-Set Sensor Mini ,,Jokari Sensor Mini Set reservemesjes,60.35
Micro Wire Stripper,40027,,ESD-Plus 001,4011391400276.0,Jokari Micro Draadstripper ESD-Plus 001,45.5
Cable stripper,30120,,No. 12 Universal,4011391301207.0,Jokari Kabelstripper Universeel No. 12,22.05
Cable stripper,30200,,SE-Strip 10/16,4011391302006.0,Jokari Kabelstripper SE/Strip 10 16,38.55
Cable stripper,30500,,No.1-Cat,0.0,"Jokari Kabelstripper No-1, in toolbag",34.5
Cable knives Secura,10270,,No. 27,4011391102705.0,Jokari Kabelmes Secura Nr. 27,14.3
Accessoires,29060,,EM-Set Special,,Jokari Special Set reservemesjes,25.0
Wire stripper,20255,,Outlet Special 55,4011391202559.0,Jokari Outlet Special 55,88.9
Cable knives,79070,,Cable bracket No. 70,4011391790704.0,"Jokari Wisselbeugel 50-70mm O, systeem 4-70",19.7
Micro Wire Stripper,40075,,SWS-Plus 040,4011391400757.0,Jokari Micro Draadstripper SWS-Plus 040,27.1
Cable stripper,30190,,"SE-Strip 2,5-6",4011391301900.0,"Jokari Kabelstripper SE-Strip 2,5-6",38.55
Various models,59099,,Spare-Set BK,,Jokari Onderdeel-Set BK,40.90000000000001
Cable stripper,30013,,CAN-Strip,4011391300132.0,Jokari Kabelstripper Can Strip,164.10000000000005
Cable stripper,30910,,Locator Box,4011391309104.0,Jokari Kabelstripper Locator,27.15
Micro Wire Stripper,40105,,SWS-Plus 080,4011391401051.0,Jokari Micro Draadstripper SWS-Plus 080,27.1
Cable knives Standard,10285,,No. 28G ,4011391102859.0,Jokari Kabelmes Standaard Nr. 28G,12.8
Micro Wire Stripper,40025,,PWS-Plus 002,4011391400252.0,Jokari Micro-precisie Draadstripper PWS-Plus 002,35.45000000000001
Cable knives Secura,10160,,0,4011391101609.0,Jokari Kabelmes Secura Nr. 16,14.3
Cable knives Standard,10282,,No. 28H ,4011391102828.0,Jokari Kabelmes Standaard Nr. 28H,12.8
Accessoires,60115,1000.0,End sleeves 1.50,4011391601154.0,"Jokari Adereindhuls zwart - 1,5mm (500st)",17.8
Cable stripper,30160,,PC-Strip,4011391301603.0,Jokari Kabelstripper PC-strip,44.85
