"Product Code
nieuw",VPE,Omschrijving 2,EAN code,Omschrijving 1,Bruto systeemprijs
Cable stripper,,,,,
Cable knives Secura,,,,,
Accessoires,,,,,
Cable knives,,,,,
Wire stripper,,,,,
Cable stripper,,,,,
Accessoires,,,,,
Various models,,,,,
Cable stripper,,,,,
Accessoires,,,,,
Cable stripper,,,,,
30180,,"SE-Strip 1,5",4011391301801.0,"Jokari Kabelstripper SE/Strip 1,5",38.55
Accessoires,,,,,
Wire stripper,,,,,
Micro Wire Stripper,,,,,
Cable stripper,,,,,
Wire stripper,,,,,
20220,,Outlet Special 20,4011391202207.0,Jokari Outlet Special 20,88.9
Micro Wire Stripper,,,,,
Accessoires,,,,,
29450,,EM-Set High-Strip,,Jokari Set reservemesjes,27.4
Cable knives Standard,,,,,
Accessoires,,,,,
Wire stripper,,,,,
Micro Wire Stripper,,,,,
Various models,,,,,
Cable knives,,,,,
Cable knives Standard,,,,,
Accessoires,,,,,
Micro Wire Stripper,,,,,
Accessoires,,,,,
Cable knives Standard,,,,,
Wire stripper,,,,,
Cable knives Standard,,,,,
Various models,,,,,
Accessoires,,,,,
Micro Wire Stripper,,,,,
Cable stripper,,,,,
30120,,No. 12 Universal,4011391301207.0,Jokari Kabelstripper Universeel No. 12,22.05
30200,,SE-Strip 10/16,4011391302006.0,Jokari Kabelstripper SE/Strip 10 16,38.55
Cable knives Secura,,,,,
Accessoires,,,,,
Wire stripper,,,,,
Cable knives,,,,,
Micro Wire Stripper,,,,,
Cable stripper,,,,,
Various models,,,,,
Cable stripper,,,,,
30013,,CAN-Strip,4011391300132.0,Jokari Kabelstripper Can Strip,164.10000000000005
Micro Wire Stripper,,,,,
Cable knives Standard,,,,,
Micro Wire Stripper,,,,,
Cable knives Secura,,,,,
Cable knives Standard,,,,,
Accessoires,,,,,
Cable stripper,,,,,
