0,0,0,0,0,0,0
0,0,0,1,0,0,0
Bedroom / Living room / Bathroom,Bedroom Relax corner / Bathroom,Bedroom and Bathroom,Bedroom / Living Room / Dinning Room/,Bedroom/ Living Room / Bathroom,Bedroom and Bathroom,Bedroom and Bathroom
0,0,0,0,0,0,0
2,2,2,2,2,2,2
1,1,1,1,1,1,1
Carpet,Carpet,Carpet,Carpet,Carpet,Carpet,Carpet
0,0,0,0,0,0,0
1,1,1,1,1,1,1
0,0,0,0,0,0,0
0,0,0,0,0,0,0
11,17,5,1,5,68,102
0,0,0,1,0,0,0
1,1,1,1,1,1,1
1,0,1,1,1,1,0
0,0,0,0,0,0,0
1,1,1,1,1,1,1
King (twin connected),King (twin connected),Double bed (bedroom),Round bedroom,King,Twin beds or King (twin connected),Twin beds or King (twin connected)
2,2,1,2,2,1,1
0,0,0,1,0,0,0
0,0,0,0,0,0,0
3+1,2+2,1,2,2,2+1,2+1
3,3,3,3,3,3,3
1,1,1,1,1,1,1
"Yes, Free","Yes, Free","Yes, Free","Yes, Free","Yes, Free","Yes, Free","Yes, Free"
0,0,0,0,0,0,0
3,3,3,3,3,3,3
Both,Both,Both,Both,Both,Both,Both
0,0,0,1,0,0,0
1,1,1,1,1,1,1
 64 m2,45 m2,25 m2,80 m2,64 m2,37 m2,34 m2
2,1,1,2,2,1,1
1,1,1,1,1,1,1
2,1,1,2,1,1,1
0,0,0,1,0,0,0
Mountain,Mountain,Mountain,Mountain,Mountain,Mountain,Mountain
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,0,1,1,1,1
1,1,1,1,1,1,1
2,2,2,2,2,2,2
1,1,1,1,1,1,1
Suite,Studio,Single Room,Presidential Suite,Deluxe Suite,Double Balcony,Double No Balcony
