Desc,ID,Size,Price,Colors
Dar,P5336,2,94.3,Black
Hic,S4162,0,32.66, Green
Fes,J2948,2,55.84, Red
Viv,N5044,2,32.05,Black
Kid,M4124,3,35.4,Blue
Fik,K4149,2,79.77,Red
Huc,S3840,2,25.32,Yellow
Vof,D5368,0,89.03, Red
Teb,D6219,0,92.6,Black
Sav,J7355,0,98.53,0
Vof,D5368,0,89.03, Yellow
Nef,G4058,2,16.85, Yellow
Len,N3316,1,84.06,2
Pav,H1756,2,30.42,Red
Det,F4478,0,86.32, Red
Keg,K1919,1,65.67, Green
Teb,D6219,0,92.6, Blue
Deh,F7804,2,39.13, Yellow
Sep,H5408,0,46.42,2
Kid,M4124,3,35.4, Red
Bov,H4912,0,13.88, Green
Nif,M2228,2,22.27, Blue
Kid,M4124,3,35.4, Green
Nup,D3028,2,13.62,1
Keg,K1919,1,65.67,Blue
Deh,F7804,2,39.13, Green
Vof,D5368,0,89.03,Blue
Juc,N9050,2,82.26,Blue
Moc,D6429,3,38.34, Black
Luh,N5050,0,18.57,Blue
Bov,H4912,0,13.88,Red
Juc,N9050,2,82.26, Red
Leg,F3006,1,10.15, Green
Pav,H1756,2,30.42, Black
Nef,G4058,2,16.85,Green
Dut,F2709,1,53.46,Yellow
Goh,N6858,3,24.81,Blue
Hic,S4162,0,32.66, Blue
Huc,S3840,2,25.32, Green
Dar,P5336,2,94.3, Yellow
Pav,H1756,2,30.42, Yellow
Fik,K4149,2,79.77, Black
Det,F4478,0,86.32, Black
Dut,F2709,1,53.46, Black
Rif,P8966,2,29.97,0
Hag,T4758,2,33.37, Green
Luh,N5050,0,18.57, Yellow
Nif,M2228,2,22.27,Yellow
Fes,J2948,2,55.84,Yellow
Leg,F3006,1,10.15, Blue
Huc,S3840,2,25.32, Black
Luh,N5050,0,18.57, Red
Juc,N9050,2,82.26, Black
Keg,K1919,1,65.67, Red
Leg,F3006,1,10.15,Red
Dar,P5336,2,94.3, Green
Moc,D6429,3,38.34,Green
Wum,N9551,1,56.75,0
Keg,K1919,1,65.67, Black
Leg,F3006,1,10.15, Black
Deh,F7804,2,39.13,Black
Pec,B2448,1,47.69,1
Fes,J2948,2,55.84, Blue
