Region,Democrats,Total,States Included
New England,20,21,CT
New England,20,21, MA
New England,20,21, ME
New England,20,21, NH
New England,20,21, RI
New England,20,21, VT
Mid-Atlantic,38,66,DE
Mid-Atlantic,38,66, MD
Mid-Atlantic,38,66, NJ
Mid-Atlantic,38,66, NY
Mid-Atlantic,38,66, PA
Great Lakes,25,65,MI
Great Lakes,25,65, IL
Great Lakes,25,65, IN
Great Lakes,25,65, OH
Great Lakes,25,65, WI
Midwest,8,29,IA
Midwest,8,29, KS
Midwest,8,29, MN
Midwest,8,29, MO
Midwest,8,29, ND
Midwest,8,29, NE
Midwest,8,29, SD
South Atlantic,23,75,FL
South Atlantic,23,75, GA
South Atlantic,23,75, NC
South Atlantic,23,75, SC
South Atlantic,23,75, VA
South Atlantic,23,75, WV
South Central,17,77,AL
South Central,17,77, AR
South Central,17,77, KY
South Central,17,77, LA
South Central,17,77, MS
South Central,17,77, OK
South Central,17,77, TN
South Central,17,77, TX
Mountain,12,31,AZ
Mountain,12,31, CO
Mountain,12,31, ID
Mountain,12,31, MT
Mountain,12,31, NM
Mountain,12,31, NV
Mountain,12,31, UT
Mountain,12,31, WY
Pacific,51,71,AK
Pacific,51,71, CA
Pacific,51,71, HI
Pacific,51,71, OR
Pacific,51,71, WA
