0.0,7.0,2.4,0.0,6.3,5.0,1.7,10.0
69.6,48.6,51.2,0.0,39.6,48.1,53.3,50.0
"50 -
< 100",Hill Farms,"20 -
< 30",>= 100,"10 -
< 20",All Sizes,"30 -
< 50","2 -
< 10"
56.5,75.8,63.4,0.0,52.1,58.9,65.0,50.0
0.04,0.25,0.12,0.0,0.25,0.19,0.05,0.3
0.96,0.65,0.71,0.0,0.48,0.67,0.85,0.8
56.5,44.8,48.8,0.0,50.0,51.8,65.0,50.0
91.3,81.5,75.6,0.0,72.9,78.2,86.7,80.0
26.1,64.6,53.7,0.0,47.9,50.1,46.7,50.0
47.8,24.4,29.3,0.0,14.6,23.4,38.3,10.0
1.48,1.44,1.17,0.0,1.33,1.34,1.6,1.2
21.7,26.5,24.4,0.0,33.3,29.1,21.7,40.0
0.09,0.15,0.22,0.0,0.33,0.25,0.07,0.4
1.0,2.3,5.3,0.1,7.8,22.7,3.3,3.0
4.3,14.7,17.1,0.0,27.1,19.6,5.0,30.0
4.3,25.5,12.2,0.0,20.8,17.4,5.0,30.0
3.83,3.56,3.32,0.0,3.31,3.45,3.9,3.3
52.7,49.1,51.6,0.0,56.1,52.8,49.5,52.8
23,25,41,2,48,209,60,10
78.3,59.6,73.2,0.0,58.3,64.5,76.7,50.0
