name,pop
DUMBO,34495
Woodside,43846
Washington Heights North,67136
Bedford Park,55329
 Douglaston,24356
Washington Heights South,93671
Spuyten Duyvil,30161
 Douglaston,24739
Stapleton,24048
 Morris Heights,54188
 City Island,26583
Bath Beach,29931
Soundview,50753
Jamaica,53751
Clinton Hill,34791
Hunters Point,61947
Stuyvesant Heights,61827
Ocean Parkway South,20556
Pelham Bay,27140
park,436
park,1906
Stapleton,26453
Upper East Side,63664
North Riverdale,28013
New Dorp,20242
Gravesend,29436
South Jamaica,38894
University Heights,54188
Borough Park,101055
Corona,57658
 Civic Center,36757
Claremont,31078
Cambria Heights,18677
Rego Park,29404
Crown Heights South,39670
Port Richmond,18042
Belmont,27378
Bushwick South,64617
Oakwood,22266
 Roosevelt Island,80771
Van Nest,29250
Midwood,55440
park,7
Hammels,31645
 Huguenot,27770
 Staten Island,7
Schuylerville,44167
 St. George,33551
 Brooklyn,93
 Bloomfield,39309
 Brooklyn,418
 Fieldston,28013
 New Hyde Park,22571
 etc,1849
Great Kills,41680
Woodside,45099
Douglas Manor,24356
 Port Morris,52413
Fordham South,28262
 Morris Park,27135
 New Brighton,32154
Georgetown,42940
 Woodrow,20763
Borough Park,106357
Fresh Meadows,17373
Crotona Park East,20277
Morrisania,29797
Clinton,40595
Battery Park City,39699
 City Line,48961
Mott Haven,52413
Murray Hill,53009
 Throgs Neck,44167
Flushing,69362
Soundview,53686
Laurelton,24453
 Edgewater Park,44167
park,1662
 West Maspeth,61947
Sunset Park East,66150
 Castle Hill,53686
 Huguenot,26376
 Ft. Wadsworth,16079
 Floral Park,22571
 Bruckner,35634
 etc,7
Charleston,18332
Jamaica Estates,26061
 Long Island City,20030
 Columbia Street,38353
 Arverne,31645
 Tottenville,23313
Jackson Heights,113327
 Oakwood Beach,22266
Auburndale,20201
Soundview,35137
 Kingsbridge,29872
 Silver Lake,16784
Erasmus,31392
 Jamaica Hills,38675
Mott Haven,49030
East New York,91958
Mariner's Harbor,31474
West Brighton,17370
 Mill Basin,45231
Lenox Hill,76631
Rego Park,28260
Brownsville,58300
East Concourse,62284
Soundview,35634
West Village,68483
Bensonhurst East,58566
Carroll Gardens,38327
 TriBeCa,42742
East Village,41746
Whitestone,31356
Fordham South,26880
 Bronx River,34542
 Farragut,50355
Todt Hill,30762
West Brighton,17750
Corona,52082
Highbridge,37727
 Inwood,46746
 Clearview,22731
East Williamsburg,34158
Upper West Side,136954
 Midland Beach,21896
 Edgemere,36885
 Downtown Brklyn,30847
Rikers Island,11091
 Arrochar,15238
Auburndale,19996
Bellerose,24464
East New York (Pennsylvania Ave),27624
 Flushing Heights,34034
 South Beach,24835
Grasmere,15238
Bedford,70713
 Brookville,18950
East Harlem North,57148
Hunters Point,63271
 Polo Grounds,75282
 Woodrow,18894
Fort Greene,28335
 Farragut,56033
 Chelsea,70150
Kew Gardens,23888
Seagate,34267
Washington Heights South,84438
Fort Greene,26079
East Harlem South,57902
Woodhaven,56674
East Flatbush,56033
South Jamaica,35181
 Holliswood,26061
 Kips Bay,48419
Schuylerville,43712
North Corona,52037
Georgetown,45231
Brighton Beach,35244
 Oakwood Beach,22049
Lincoln Square,61489
Pelham Parkway,30073
Midtown,28630
Old Town,24835
 Throgs Neck,43712
 Tottenville,18332
Flatbush,105804
 Belle Harbor,28018
 cemetery,540
 Little Neck,24356
 Queens,436
 Little Neck,24739
 Rockwy Prk,28018
Westchester,25768
Bayside,43808
Elmhurst,24338
 Dongan Hills,24835
 Mott Haven North,33195
Annadale,26376
South Ozone Park,75878
 etc,1785
 Little Italy,42742
Grasmere,16079
 Melrose,29797
 Ocean Parkway,36891
Kew Gardens Hills,37479
East New York (Pennsylvania Ave),29343
 Prince's Bay,27770
Windsor Terrace,20988
 Downtown Brklyn,34495
 Hillcrest,34034
Kensington,36891
Eastchester,34517
 Clearview,21751
 East Midtown,51231
Madison,38917
Clinton,45884
 South Beach,23017
Brownsville,59099
Jamaica,51849
 Howard Beach,26148
 Little Italy,36757
Central Harlem South,39075
 Riverdale,28013
 Lower Manhattan,20088
Canarsie,83693
Turtle Bay,49737
Glendale,31071
Midwood,52835
Sunset Park East,72340
 Gowanus,67263
Upper West Side,132378
 Polo Grounds,70016
 Travis,39309
Flatlands,64762
Ozone Park,21052
 Gowanus,67649
Queensbridge,21104
 Red Hook,38353
 Chelsea,55839
Bensonhurst East,62978
New Brighton,16784
 Edgemere,31645
Pelham Bay,26583
Williamsburg,32926
East Flatbush,50355
Clinton Hill,33292
Port Richmond,20191
 etc,540
 Westchester Square,29250
 Concourse Village,62284
Steinway,47534
Dyker Heights,42419
 Arverne,36885
Queensboro Hill,20800
Hudson Yards,70150
Pomonok,34034
 Bay Terrace,22731
 Pelham Gardens,28903
Bedford,59227
Ridgewood,69455
Queens Village,52504
Cambria Heights,20944
Woodlawn,43583
Lower East Side,72957
Ocean Hill,30067
park,1785
Park Slope,67263
 Queens,1785
East Harlem South,56899
Ocean Parkway South,20299
Flushing,72008
 Westchester Square,27135
 Boerum Hill,34495
Queensbridge,20030
Flatlands,66726
park,93
 Union Square,55839
Cypress Hills,49223
 Jamaica Hills,39138
 Midtown South,25807
Bushwick North,56093
Middle Village,37629
 Midland Beach,20242
Highbridge,33844
 New Brighton,33551
 Wakefield,43583
 Manhattn Bch,64518
Parkchester,29821
North Side,45774
 Broad Chnl,26711
 Wakefield,42483
 Cobble Hill,22887
Mariner's Harbor,27957
East Tremont,43423
 Emersn Hill,30714
Hunts Point,27204
Pelham Parkway,30006
 Union Square,70150
Manhattanville,22950
West Farms,34542
 Wingate,67459
 Harding Park,53686
St. Albans,48593
 Maspeth,25521
Grymes Hill,22460
Crotona Park East,18072
 Travis,39597
Lindenwood,28121
 Port Ivory,27957
Rosedale,25502
Bath Beach,28572
Marble Hill,49087
 East Midtown,49737
University Heights,54335
 Arrochar,16079
Carroll Gardens,38353
Stuyvesant Town,19101
Marble Hill,46746
Airport,0
 Carnegie Hill,61207
 Marine Park,45231
St. Albans,50046
Crown Heights North,103462
Bushwick North,57138
 Graniteville,27957
 Heartland Villg,30714
 Long Island City,21104
 Remsen Village,55326
 Vinegar Hill,30847
 Edenwald,34517
Queens Village,57704
East New York,83275
Parkchester,29353
Laurelton,26375
Westchester,27248
 Eltingville,27770
East Elmhurst,23150
Van Cortlandt Village,50100
 Belle Harbor,26711
Williamsbridge,57420
Westerleigh,23790
 Rosebank,24048
 Carnegie Hill,63664
Lenox Hill,80771
DUMBO,30847
 Prince's Bay,26376
Morningside Heights,54208
Flatbush,110875
park,1849
 Floral Park,22426
park,540
Gramercy,27988
 Richmond Valley,23313
 Red Hook,38327
Springfield Gardens North,25441
Airport,0
Mount Hope,51807
Bay Ridge,80539
 Flat Iron,55839
 Bergen Beach,42940
 Gerritsen Beach,64596
Murray Hill,51739
 Ravenswood,20030
Lincoln Square,55239
 Fieldston,27860
 Fordham North,54415
Homecrest,44316
 Bronx River,35011
 Ravenswood,21104
Richmond Hill,62982
SoHo,42742
Old Town,23017
Prospect Heights,19655
 St. George,32154
Stuyvesant Town,21049
Midtown,25807
East Elmhurst,21183
Hunts Point,25142
Arden Heights,24996
Bayside,44371
Hammels,36885
 etc,418
Westerleigh,24102
Prospect Lefferts Gardens,70300
 Bloomfield,39597
 TriBeCa,36757
 Rockwy Prk,26711
Jackson Heights,108152
 Lower Manhattan,39699
 Ocean Parkway,36937
 Fox Hills,22460
 Unionport,25768
Bedford Park,54415
Elmhurst,88427
Hollis,20269
 Edenwald,35422
 Cobble Hill,22548
 Silver Lake,17525
Battery Park City,20088
 Bay Terrace,21751
 cemetery,1662
Melrose South,39214
Annadale,27770
 Country Club,27140
 Port Ivory,31474
Rugby,55326
Seagate,31965
SoHo,36757
 Civic Center,42742
 Gerritsen Beach,64518
 Bayswater,48344
Elmhurst,25521
 Bayside Hills,43808
 Dongan Hills,23017
 Bergen Beach,45231
Brooklyn Heights,22887
Briarwood,39138
Breezy Point,28018
 New Hyde Park,22426
East Flushing,26982
Jamaica Estates,25480
Bushwick South,72101
Brooklyn Heights,22548
 Manhattan,1849
Todt Hill,30714
 Op City,43752
Melrose South,33195
Lindenwood,26148
Sheepshead Bay,64518
 cemetery,1906
Manhattanville,24772
 Brookville,20132
Chinatown,52375
Forest Hills,85046
 Rosebank,26453
Park Slope,67649
West New Brighton,32154
Prospect Heights,19849
 Unionport,27248
Washington Heights North,73457
 cemetery,436
East Village,44136
College Point,24275
East Williamsburg,31878
 Fordham North,55329
 Coney Island,31965
Co,40676
Norwood,40817
 Cooper Village,21049
Gramercy,26184
Homecrest,45679
 etc,0
Central Harlem North,75282
 Cooper Village,19101
East Harlem North,58019
 cemetery,1849
 Sunnyside,63271
 Lighthse Hill,30714
 Castle Hill,50753
Oakland Gardens,27873
 Hillcrest,31734
Yorkville,77942
Bronxdale,34309
Erasmus,29938
Oakwood,22049
Pomonok,31734
West Concourse,39557
Astoria,89122
Steinway,53604
Maspeth,30516
Middle Village,37929
Glen Oaks,22571
Douglas Manor,24739
Crown Heights North,103169
Bensonhurst West,84640
Whitestone,30773
Woodhaven,54149
 Bathgate,28149
Baisley Park,34603
 Graniteville,31474
 Boerum Hill,30847
 etc,1662
park,0
Springfield Gardens North,25409
 Sunnyside,61947
Yorkville,76768
Bensonhurst West,88727
North Corona,47156
Upper East Side,61207
 cemetery,418
 Melrose,37865
 Clason Point,50753
 Harding Park,50753
West New Brighton,33551
 Eltingville,26376
Central Harlem North,70016
 Op City,40676
Ft. Totten,21751
Briarwood,38675
 Country Club,26583
Springfield Gardens South,18950
 West Maspeth,63271
 Pelham Gardens,28510
 Clason Point,53686
