pop,name
0,"Airport, Airport,  etc, park,  Staten Island,  cemetery"
7,"park,  Staten Island,  etc,  cemetery"
93," Brooklyn, park,  cemetery,  etc"
418," Brooklyn,  etc,  cemetery, park"
436,"park,  Queens,  cemetery,  etc"
540," cemetery,  etc, park,  Bronx"
1662,"park,  cemetery,  etc,  Manhattan"
1785," etc, park,  Queens,  cemetery"
1849," etc, park,  Manhattan,  cemetery"
1906,"park,  cemetery,  Bronx,  etc"
11091,Rikers Island
12780,Rikers Island
13354,Starrett City
14621,Starrett City
15238," Arrochar, Grasmere,  Ft. Wadsworth"
16079," Ft. Wadsworth, Grasmere,  Arrochar"
16784," Silver Lake, New Brighton"
17370,West Brighton
17373,"Fresh Meadows,  Utopia"
17525," Silver Lake, New Brighton"
17750,West Brighton
17812,"Fresh Meadows,  Utopia"
18042,Port Richmond
18072,Crotona Park East
18332,"Charleston,  Tottenville,  Richmond Valley"
18677,Cambria Heights
18894," Woodrow, Rossville"
18950," Brookville, Springfield Gardens South"
19101,"Stuyvesant Town,  Cooper Village"
19309,Queensboro Hill
19655,Prospect Heights
19834," Fox Hills, Grymes Hill,  Clifton"
19849,Prospect Heights
19996,Auburndale
20030," Long Island City, Queensbridge,  Ravenswood"
20088," Lower Manhattan, Battery Park City"
20132," Brookville, Springfield Gardens South"
20191,Port Richmond
20201,Auburndale
20242,"New Dorp,  Midland Beach"
20269,Hollis
20277,Crotona Park East
20299,Ocean Parkway South
20556,Ocean Parkway South
20747,Hollis
20763," Woodrow, Rossville"
20779,Windsor Terrace
20800,Queensboro Hill
20944,Cambria Heights
20988,Windsor Terrace
21049,"Stuyvesant Town,  Cooper Village"
21052,Ozone Park
21104,"Queensbridge,  Long Island City,  Ravenswood"
21183,East Elmhurst
21376,Ozone Park
21407,College Point
21751," Clearview,  Bay Terrace, Ft. Totten"
21896," Midland Beach, New Dorp"
22049," Oakwood Beach, Oakwood"
22266,"Oakwood,  Oakwood Beach"
22426," Floral Park,  New Hyde Park, Glen Oaks"
22460,"Grymes Hill,  Fox Hills,  Clifton"
22548," Cobble Hill, Brooklyn Heights"
22571," New Hyde Park,  Floral Park, Glen Oaks"
22731," Clearview,  Bay Terrace, Ft. Totten"
22887," Cobble Hill, Brooklyn Heights"
22950,Manhattanville
23017," South Beach, Old Town,  Dongan Hills"
23082,Longwood
23150,East Elmhurst
23278,Kew Gardens
23313," Tottenville,  Richmond Valley, Charleston"
23790,Westerleigh
23888,Kew Gardens
24048,"Stapleton,  Rosebank"
24102,Westerleigh
24275,College Point
24338,"Elmhurst,  Maspeth"
24356," Douglaston, Douglas Manor,  Little Neck"
24453,Laurelton
24464,Bellerose
24739," Douglaston,  Little Neck, Douglas Manor"
24772,Manhattanville
24835," South Beach, Old Town,  Dongan Hills"
24996,Arden Heights
25063,Rosedale
25142,Hunts Point
25238,Arden Heights
25287,Bellerose
25409,Springfield Gardens North
25441,Springfield Gardens North
25480,"Jamaica Estates,  Holliswood"
25502,Rosedale
25521," Maspeth, Elmhurst"
25768,"Westchester,  Unionport"
25807," Midtown South, Midtown"
25967,Belmont
26061,"Jamaica Estates,  Holliswood"
26079,Fort Greene
26148," Howard Beach, Lindenwood"
26184,Gramercy
26196,Longwood
26375,Laurelton
26376," Huguenot, Annadale,  Prince's Bay,  Eltingville"
26453,"Stapleton,  Rosebank"
26516,East Flushing
26583," City Island, Pelham Bay,  Country Club"
26711," Broad Chnl,  Belle Harbor,  Rockwy Prk, Breezy Point"
26880,Fordham South
26982,East Flushing
27135," Morris Park,  Westchester Square, Van Nest"
27140,"Pelham Bay,  Country Club,  City Island"
27204,Hunts Point
27248,"Westchester,  Unionport"
27378,Belmont
27624,East New York (Pennsylvania Ave)
27770," Huguenot,  Prince's Bay,  Eltingville, Annadale"
27814,Old Astoria
27860," Fieldston,  Riverdale, North Riverdale"
27873,Oakland Gardens
27957,"Mariner's Harbor,  Port Ivory,  Graniteville,  Arlington"
27988,Gramercy
28013,"North Riverdale,  Fieldston,  Riverdale"
28018," Belle Harbor,  Rockwy Prk, Breezy Point,  Broad Chnl"
28121,"Lindenwood,  Howard Beach"
28149," Bathgate, Claremont"
28237,Oakland Gardens
28260,Rego Park
28262,Fordham South
28335,Fort Greene
28510," Pelham Gardens, Allerton"
28572,Bath Beach
28630,"Midtown,  Midtown South"
28847,Old Astoria
28903," Pelham Gardens, Allerton"
28916,Maspeth
29250,"Van Nest,  Westchester Square,  Morris Park"
29257,Gravesend
29343,East New York (Pennsylvania Ave)
29353,Parkchester
29404,Rego Park
29436,Gravesend
29797,"Morrisania,  Melrose"
29821,Parkchester
29872," Kingsbridge, Spuyten Duyvil"
29931,Bath Beach
29938,Erasmus
30006,Pelham Parkway
30067,Ocean Hill
30073,Pelham Parkway
30161,"Spuyten Duyvil,  Kingsbridge"
30516,Maspeth
30714," Emersn Hill,  Heartland Villg, Todt Hill,  Lighthse Hill"
30762,"Todt Hill,  Emersn Hill,  Lighthse Hill,  Heartland Villg"
30773,Whitestone
30847," Downtown Brklyn,  Vinegar Hill, DUMBO,  Boerum Hill"
31071,Glendale
31078,"Claremont,  Bathgate"
31356,Whitestone
31392,Erasmus
31474,"Mariner's Harbor,  Port Ivory,  Graniteville,  Arlington"
31645,"Hammels,  Arverne,  Edgemere"
31734," Hillcrest, Pomonok,  Flushing Heights"
31878,East Williamsburg
31935,Ocean Hill
31965,"Seagate,  Coney Island"
32154," New Brighton,  St. George, West New Brighton"
32269,Williamsburg
32496,"Kingsbridge Heights, Glendale"
32926,Williamsburg
33195," Mott Haven North, Melrose South"
33286,Kingsbridge Heights
33292,Clinton Hill
33551," St. George,  New Brighton, West New Brighton"
33844,Highbridge
34034," Flushing Heights,  Hillcrest, Pomonok"
34158,East Williamsburg
34267,"Seagate,  Coney Island"
34309,Bronxdale
34495,"DUMBO,  Downtown Brklyn,  Boerum Hill,  Vinegar Hill"
34517,"Eastchester,  Edenwald,  Baychester"
34542," Bronx River, West Farms"
34603,Baisley Park
34719,Greenpoint
34791,Clinton Hill
35011," Bronx River, West Farms"
35137,"Soundview,  Bruckner"
35181,South Jamaica
35244,Brighton Beach
35422," Edenwald,  Baychester, Eastchester"
35547,Brighton Beach
35634," Bruckner, Soundview"
35729,Baisley Park
36052,Kew Gardens Hills
36757," Civic Center,  Little Italy,  TriBeCa, SoHo"
36885," Edgemere,  Arverne, Hammels"
36891," Ocean Parkway, Kensington"
36937," Ocean Parkway, Kensington"
37479,Kew Gardens Hills
37629,Middle Village
37727,Highbridge
37821,Greenpoint
37865," Melrose, Morrisania"
37929,Middle Village
38327,"Carroll Gardens,  Red Hook,  Columbia Street"
38353," Columbia Street,  Red Hook, Carroll Gardens"
38675," Jamaica Hills, Briarwood"
38894,South Jamaica
38917,Madison
39075,Central Harlem South
39076,Madison
39138," Jamaica Hills, Briarwood"
39214,"Melrose South,  Mott Haven North"
39280,East Tremont
39282,West Concourse
39309," Bloomfield,  Travis, New Springville"
39332,Dyker Heights
39557,West Concourse
39597," Travis,  Bloomfield, New Springville"
39670,Crown Heights South
39699,"Battery Park City,  Lower Manhattan"
40130,"North Side,  South Side"
40494,Norwood
40595,Clinton
40676,"Co,  Op City"
40720,Great Kills
40817,Norwood
41680,Great Kills
41746,East Village
42370,Crown Heights South
42419,Dyker Heights
42483," Wakefield, Woodlawn"
42742," TriBeCa,  Little Italy, SoHo,  Civic Center"
42940,"Georgetown,  Bergen Beach,  Mill Basin,  Marine Park"
43383,Central Harlem South
43423,East Tremont
43583,"Woodlawn,  Wakefield"
43712,"Schuylerville,  Throgs Neck,  Edgewater Park"
43752," Op City, Co"
43808,"Bayside,  Bayside Hills"
43846,Woodside
44136,East Village
44167,"Schuylerville,  Throgs Neck,  Edgewater Park"
44316,Homecrest
44371,"Bayside,  Bayside Hills"
45099,Woodside
45231," Mill Basin, Georgetown,  Marine Park,  Bergen Beach"
45679,Homecrest
45774,"North Side,  South Side"
45884,Clinton
46746," Inwood, Marble Hill"
47156,North Corona
47534,Steinway
47844,Chinatown
48344," Bayswater, Far Rockaway"
48419," Kips Bay, Murray Hill"
48520,Hamilton Heights
48593,St. Albans
48961," City Line, Cypress Hills"
49030,"Mott Haven,  Port Morris"
49087,"Marble Hill,  Inwood"
49223,"Cypress Hills,  City Line"
49737,"Turtle Bay,  East Midtown"
50046,St. Albans
50058,"Far Rockaway,  Bayswater"
50100,Van Cortlandt Village
50355," Farragut, East Flatbush"
50555,Hamilton Heights
50607,Van Cortlandt Village
50742," Kips Bay, Murray Hill"
50753,"Soundview,  Castle Hill,  Clason Point,  Harding Park"
51231," East Midtown, Turtle Bay"
51739,Murray Hill
51807,Mount Hope
51849,Jamaica
52037,North Corona
52082,Corona
52312,Sunset Park West
52375,Chinatown
52413," Port Morris, Mott Haven"
52504,Queens Village
52649,Mount Hope
52835,Midwood
53009,Murray Hill
53604,Steinway
53686,"Soundview,  Castle Hill,  Harding Park,  Clason Point"
53751,Jamaica
54041,Sunset Park West
54149,Woodhaven
54188," Morris Heights, University Heights"
54208,Morningside Heights
54335,"University Heights,  Morris Heights"
54415," Fordham North, Bedford Park"
55239,Lincoln Square
55326," Remsen Village, Rugby"
55329,"Bedford Park,  Fordham North"
55440,Midwood
55839," Chelsea,  Union Square,  Flat Iron, Hudson Yards"
55929,Morningside Heights
56033," Farragut, East Flatbush"
56093,Bushwick North
56674,Woodhaven
56899,East Harlem South
57138,Bushwick North
57148,East Harlem North
57420,"Williamsbridge,  Olinville"
57658,Corona
57704,Queens Village
57902,East Harlem South
57934,"Rugby,  Remsen Village"
58019,East Harlem North
58300,Brownsville
58566,Bensonhurst East
58961," Concourse Village, East Concourse"
59099,Brownsville
59227,Bedford
61207," Carnegie Hill, Upper East Side"
61321,"Williamsbridge,  Olinville"
61489,Lincoln Square
61827,Stuyvesant Heights
61947,"Hunters Point,  West Maspeth,  Sunnyside"
62284,"East Concourse,  Concourse Village"
62978,Bensonhurst East
62982,Richmond Hill
62985,Richmond Hill
63271,"Hunters Point,  Sunnyside,  West Maspeth"
63504,Stuyvesant Heights
63664,"Upper East Side,  Carnegie Hill"
64518," Manhattn Bch,  Gerritsen Beach, Sheepshead Bay"
64596," Gerritsen Beach,  Manhattn Bch, Sheepshead Bay"
64617,Bushwick South
64762,Flatlands
66150,Sunset Park East
66726,Flatlands
66880,West Village
67136,Washington Heights North
67263," Gowanus, Park Slope"
67459," Wingate, Prospect Lefferts Gardens"
67649," Gowanus, Park Slope"
68483,West Village
69317,Ridgewood
69362,Flushing
