Lamp Type,ENERGY,CLER,PLC,TFI,SAPN
LED-P,,,,,
LED23,3.0621988578067763,19.89437144499762,61.43725511650778,103.72814157818355,154.06109367175424
,,,,,
LED-V,,,,,
LED-P,,,,,
LED18,3.0621988578067763,16.195191723067385,57.95305080085343,75.04940495420573,92.99701926623872
PT LED34,3.0621988578067763,21.31929266615861,62.779367974340495,114.77516915819777,177.58631652521674
LED-V,,,,,
LED298,3.0621988578067763,21.466698309726976,62.91820723549561,119.35117600779392,185.5186435872461
LED-P,,,,,
LED46,3.0621988578067763,16.195191723067385,57.95305080085343,75.04940495420573,92.99701926623872
LED-V,,,,,
LED81,3.0621988578067763,21.26313813527541,62.72647682723378,117.77302921064907,182.1517885193689
LED-P,,,,,
LED26,3.0621988578067763,16.195191723067385,57.95305080085343,75.04940495420573,92.99701926623872
LED-V,,,,,
LED175,3.0621988578067763,18.490508172917835,60.1149764388401,96.27758145643415,136.38211220212827
LED-P,,,,,
LED34,3.0621988578067763,16.195191723067385,57.95305080085343,75.04940495420573,92.99701926623872
LED-V,,,,,
LED60,3.0621988578067763,17.33232097345201,59.024096529764265,87.29847036923049,117.25609660021992
LED-P,,,,,
LED-V,,,,,
LED158,3.0621988578067763,19.54340562697768,61.106685447090854,104.4404097175284,153.7625959685961
LED79,3.0621988578067763,19.54340562697768,61.106685447090854,104.4404097175284,153.7625959685961
LED150_R,3.0621988578067763,17.500784566101586,59.18276997108438,90.93420171128471,123.76501936077094
LED-P,,,,,
LED-V,,,,,
LED200,3.0621988578067763,18.139542354897888,59.78440676942319,93.55663870273607,130.58861761330564
LED117,3.0621988578067763,19.54340562697768,61.106685447090854,104.4404097175284,153.7625959685961
LED-P,,,,,
LED-V,,,,,
LED150,3.0621988578067763,17.507803882461985,59.18938136447272,88.65894174607953,120.15818922234101
LED155,3.0621988578067763,21.26313813527541,62.72647682723378,117.77302921064907,182.1517885193689
LED-P,,,,,
LED28,3.0621988578067763,19.54340562697768,61.106685447090854,101.00719882448546,148.2675990829317
LED-V,,,,,
LED178,3.0621988578067763,18.139542354897888,59.78440676942319,93.55663870273607,130.58861761330564
