Index,imdb_id,genres
1818,tt0187078,Action
392,tt0963966, Comedy
330,tt1095217, Crime
1033,tt1656186, Crime
1568,tt0368891, Thriller
392,tt0963966,Fantasy
1224,tt0481499, Comedy
1722,tt0435705, Thriller
727,tt1502404,Fantasy
1280,tt2005374,Thriller
276,tt0448011, Adventure
1390,tt0384680, Drama
914,tt0268126, Crime
1722,tt0435705,Action
1280,tt2005374, Crime
1509,tt0469641, History
1473,tt0429589, Comedy
825,tt1674784,Crime
1473,tt0429589, Animation
276,tt0448011, Drama
1568,tt0368891, Action
1568,tt0368891,Adventure
833,tt1214962,Action
1818,tt0187078, Thriller
276,tt0448011,Action
921,tt0245562, History
1675,tt0465234, Mystery
1224,tt0481499, Fantasy
784,tt0479997, Action
1346,tt0399295, Drama
914,tt0268126, Drama
276,tt0448011, Science Fiction
687,tt0814022, Crime
1683,tt0259324, Horror
330,tt1095217,Drama
168,tt2467046, Action
1675,tt0465234, Thriller
1224,tt0481499, Animation
1838,tt0218967, Romance
1033,tt1656186, Drama
764,tt1071875, Thriller
168,tt2467046, Science Fiction
727,tt1502404, Thriller
1838,tt0218967, Fantasy
1346,tt0399295, Thriller
833,tt1214962, Thriller
336,tt0375568,Animation
727,tt1502404, Crime
921,tt0245562,Drama
914,tt0268126,Comedy
727,tt1502404, Action
1722,tt0435705, Science Fiction
1683,tt0259324,Thriller
764,tt1071875, Fantasy
764,tt1071875,Action
1675,tt0465234, Adventure
1509,tt0469641,Drama
921,tt0245562, Action
1033,tt1656186,Action
1675,tt0465234,Action
825,tt1674784, Thriller
921,tt0245562, War
1224,tt0481499,Adventure
1509,tt0469641, Thriller
1473,tt0429589,Fantasy
1838,tt0218967,Comedy
1683,tt0259324, Action
1473,tt0429589, Family
386,tt1250777, Crime
1683,tt0259324, Fantasy
1568,tt0368891, Mystery
784,tt0479997,Adventure
392,tt0963966, Drama
1346,tt0399295,Crime
687,tt0814022,Action
825,tt1674784, Drama
168,tt2467046,Thriller
1818,tt0187078, Crime
833,tt1214962, Drama
392,tt0963966, Action
1838,tt0218967, Drama
392,tt0963966, Adventure
336,tt0375568, Family
1390,tt0384680,Comedy
336,tt0375568, Action
784,tt0479997, Fantasy
687,tt0814022, Thriller
1473,tt0429589, Adventure
