Subtitle,Item #,On Hand,Reg.,Special,Disc. %
Restricted Firearms,J9A9F11,1.0,980.0,833.0,15.0
Restricted Firearms,JS92F510,1.0,1190.0,995.0,16.38999939
Restricted Firearms,51802490,1.0,725.0,525.0,27.59000015
Restricted Firearms,51808490,1.0,690.0,515.0,25.36000061
Restricted Firearms,51498490,1.0,475.0,395.0,16.84000015
Restricted Firearms,51507490,1.0,695.0,520.0,25.18000031
Restricted Firearms,BM90831,1.0,1500.0,1095.0,27.0
Restricted Firearms,G17GEN4FS,1.0,1035.0,875.0,15.46000004
Restricted Firearms,G21GEN4FS,1.0,1175.0,950.0,19.14999962
Restricted Firearms,G22GEN4FS,1.0,1065.0,875.0,17.84000015
Restricted Firearms,RUG5027,2.0,1495.0,1075.0,28.09000015
Restricted Firearms,1911-22-OD-TB,3.0,699.0,399.0,42.91999817
Restricted Firearms,1911-22-C1,1.0,699.0,399.0,42.91999817
Restricted Firearms,W227R-45-BSS,1.0,1325.0,1150.0,13.21000004
Centrefire Rifles,35800246,1.0,675.0,573.75,15.00000095
Centrefire Rifles,34006118,1.0,1195.0,1015.75,15.00000095
Centrefire Rifles,34018116,1.0,1225.0,1041.25,15.00000095
Centrefire Rifles,35299226,1.0,1175.0,998.75,15.00000095
Centrefire Rifles,35330226,1.0,1265.0,1075.25,15.00000095
Centrefire Rifles,35336209,1.0,1325.0,1126.25,15.00000095
Centrefire Rifles,35202248,1.0,1375.0,1168.75,15.00000095
Centrefire Rifles,35202229,1.0,1375.0,1168.75,15.00000095
Centrefire Rifles,35202246,2.0,1375.0,1168.75,15.00000095
Centrefire Rifles,35202231,2.0,1375.0,1168.75,15.00000095
Centrefire Rifles,35202216,1.0,1325.0,1126.25,15.00000095
Centrefire Rifles,35335209,1.0,999.0,849.15,15.00000095
Centrefire Rifles,35201246,2.0,1050.0,892.5,15.00000095
Centrefire Rifles,EDGE300,1.0,3350.0,2500.0,25.37000084
Centrefire Rifles,K3000814,1.0,2099.0,1700.0,19.01000023
Centrefire Rifles,K3000764,1.0,2975.0,2400.0,19.32999992
Centrefire Rifles,NOS32948,1.0,2295.0,1900.0,17.20999908
Centrefire Rifles,NOS39648,1.0,2295.0,1900.0,17.20999908
Centrefire Rifles,NOS39248,2.0,2295.0,1900.0,17.20999908
Centrefire Rifles,R84078,1.0,1150.0,695.0,39.56999969
Centrefire Rifles,R27107,1.0,1150.0,695.0,39.56999969
Centrefire Rifles,R27273,1.0,960.0,785.0,18.22999954
Centrefire Rifles,R27269,2.0,960.0,785.0,18.22999954
Centrefire Rifles,JRS2Q41,1.0,2300.0,1950.0,15.22000027
Centrefire Rifles,JRS1Q20,1.0,2300.0,1950.0,15.22000027
Centrefire Rifles,JRS1B34,1.0,2300.0,1950.0,15.22000027
Centrefire Rifles,SAVAXIS06,2.0,500.0,375.0,25.0
Centrefire Rifles,SAV19579,1.0,500.0,375.0,25.0
Centrefire Rifles,SAV22420,1.0,500.0,425.0,15.0
Centrefire Rifles,SAV19234,2.0,500.0,425.0,15.0
Centrefire Rifles,SAV22228,1.0,600.0,500.0,16.67000008
Centrefire Rifles,SAV22224,1.0,600.0,500.0,16.67000008
Centrefire Rifles,JRTV141,2.0,1125.0,895.0,20.44000053
Centrefire Rifles,JRTV120,1.0,1080.0,845.0,21.76000023
Centrefire Rifles,TH31041SS,2.0,1185.0,845.0,28.69000053
Centrefire Rifles,TTT71RL103,1.0,1050.0,845.0,19.52000046
