Column1,Aliases,Heat,Drought,Shade,Flood,"Low
Fert","Growth
Habit",Median,+/-
Cowpeas,crowder peas,2,3,2,1,4,2,6.0,0.5
Wheat,NaN,2,2,2,0,2,0,6.75,0.75
Barley,NaN,0,3,2,1,3,0,7.25,1.25
Hairy vetch,winter vetch,1,2,2,1,1,2,6.5,1.0
Crimson clover,NaN,1,1,3,1,2,0,6.75,1.25
Berseem clover,Bigbee,3,2,3,2,2,1,6.6,0.4
Mustards, yellow,1,3,2,1,1,0,6.5,1.0
Field peas, black peas,3,2,1,1,1,2,6.5,0.5
Radish,oilseed,2,1,2,1,2,0,6.75,0.75
Oats,spring oats,1,1,1,2,2,0,6.0,1.5
Cereal rye,winter or grain rye,1,3,3,2,4,0,6.0,1.0
Subterranean clover,subclover,1,3,3,2,4,3,6.25,0.75
Annual ryegrass,Italian ryegrass,1,1,3,3,1,0,6.5,0.5
Berseem clover, multicut,3,2,3,2,2,1,6.6,0.4
Radish, forage,2,1,2,1,2,0,6.75,0.75
Mustards, white,1,3,2,1,1,0,6.5,1.0
Woollypod vetch,Lana,3,3,2,2,3,Semi-prostrate,7.0,1.0
White clover,white dutch ladino,1,2,3,3,2,3,6.5,0.5
Sorghum–sudangrass,Sudax,2,4,2,2,2,0,6.5,0.5
Red clover,NaN,1,1,3,2,1,0,6.6,0.4
Medics,NaN,2,3,3,1,2,3,6.5,0.5
Buckwheat,NaN,1,0,1,1,1,1,6.0,1.0
Rapeseed,rape,3,2,2,1,1,0,6.75,1.25
Sweetclovers,NaN,0,4,1,1,4,0,7.0,0.25
Mustards, oriental,1,3,2,1,1,0,6.5,1.0
Radish, Daikon,2,1,2,1,2,0,6.75,0.75
Rapeseed, canola,3,2,2,1,1,0,6.75,1.25
Field peas,winter peas,3,2,1,1,1,2,6.5,0.5
Cowpeas, southern peas,2,3,2,1,4,2,6.0,0.5
Mustards,brown,1,3,2,1,1,0,6.5,1.0
