Existing Industry Rank,NAICS Title,Occupation Rank,SOC Code,Minimum Education Level,Work Experience,On-the-Job Training,2014 Employment ,2014 Average Hourly  Wage,Projected Annual Growth Rate (2012-2022)
1.0,NAICS 621 Ambulatory health care services,3,29-1123,Doctoral or professional degree,0,0,90,41.03,0.036735000000000004
3.0,"NAICS 424 Merchant wholesalers, nondurable goods",2,53-3032,Postsecondary non-degree award,0,Short-term on-the-job training,520,17.84,0.027999999999999997
,,1,Nov-22,2,2,0,80,62.84,0.024390000000000002
1.0,NAICS 621 Ambulatory health care services,4,43-6013,1,0,1,680,16.27,0.040372000000000005
2.0,NAICS 611 Educational services,2,0,2,2,0,740,41.48,0.023908000000000002
1.0,NAICS 621 Ambulatory health care services,5,29-1141,Associate's degree,0,0,1100,34.84,0.030680000000000002
4.0,NAICS 441 Motor vehicle and parts dealers,4,41-1011,1,2,0,810,18.89,0.012805
3.0,"NAICS 424 Merchant wholesalers, nondurable goods",3,41-1012,1,2,0,70,25.53,0.026087
4.0,NAICS 441 Motor vehicle and parts dealers,4,41-2022,Less than high school,0,1,100,14.0,0.013696000000000002
2.0,NAICS 611 Educational services,5,13-1151,2,2,0,70,24.69,0.026462
1.0,NAICS 621 Ambulatory health care services,2,29-1171,0,0,0,50,51.34,0.038174
4.0,NAICS 441 Motor vehicle and parts dealers,1,0,2,2,0,740,41.48,0.012811000000000001
