"Class 
Number","Gen
Ed",Class,Description,"Credit
Hours",Days,"Begin 
Time","End 
Time",Room,Instructor,"Instruction 
Mode","Start 
Date","End 
Date"
ENGLISH,,,,,,,,,,,,
FIRST YEAR EXPERIENCE,,,,,,,,,,,,
ECONOMICS,,,,,,,,,,,,
STATISTICS,,,,,,,,,,,,
ENGLISH,,,,,,,,,,,,
BIOLOGICAL SCIENCES,,,,,,,,,,,,
WELDING,,,,,,,,,,,,
COMMUNICATIONS,,,,,,,,,,,,
CIS,,,,,,,,,,,,
SPANISH LANGUAGE AND LITERATURE,,,,,,,,,,,,
INTERDISCIPLINARY EARLY CHILDHOOD EDUCATION,,,,,,,,,,,,
MATHEMATICS,,,,,,,,,,,,
NURSING,,,,,,,,,,,,
RADIOGRAPHY,,,,,,,,,,,,
MATHEMATICS,,,,,,,,,,,,
55574.0,,MAT 116S-A0H1,Co-req Remed for Tech Math,1,1,1,1,1,81,0.0,43696.0,43814.0
HEALTHCARE FACILITIES LEADERSHIP,,,,,,,,,,,,
BIOLOGICAL SCIENCES,,,,,,,,,,,,
AGRICULTURAL TECHNOLOGY AND STUDIES,,,,,,,,,,,,
FIRST YEAR EXPERIENCE,,,,,,,,,,,,
PHYSICS,,,,,,,,,,,,
FIRST YEAR EXPERIENCE,,,,,,,,,,,,
CHEMISTRY,,,,,,,,,,,,
COMMUNICATIONS,,,,,,,,,,,,
44484.0,4,COM 181-A004,39,3,0,15,17,35,44,2.0,43696.0,43814.0
MATHEMATICS,,,,,,,,,,,,
BUSINESS ADMINISTRATION SYSTEMS,,,,,,,,,,,,
BIOLOGICAL SCIENCES,,,,,,,,,,,,
CIS,,,,,,,,,,,,
HISTORY,,,,,,,,,,,,
CIS,,,,,,,,,,,,
AGRICULTURAL TECHNOLOGY AND STUDIES,,,,,,,,,,,,
VETERINARY TECHNOLOGY,,,,,,,,,,,,
ENGLISH,,,,,,,,,,,,
MATHEMATICS,,,,,,,,,,,,
AGRICULTURAL TECHNOLOGY AND STUDIES,,,,,,,,,,,,
AUTOMOTIVE TECHNOLOGY,,,,,,,,,,,,
COMMUNICATIONS,,,,,,,,,,,,
CIS,,,,,,,,,,,,
ENGLISH,,,,,,,,,,,,
INTERDISCIPLINARY EARLY CHILDHOOD EDUCATION,,,,,,,,,,,,
MATHEMATICS,,,,,,,,,,,,
CHEMISTRY,,,,,,,,,,,,
HEALTHCARE FACILITIES LEADERSHIP,,,,,,,,,,,,
THEATRE,,,,,,,,,,,,
BUSINESS ADMINISTRATION SYSTEMS,,,,,,,,,,,,
BIOLOGICAL SCIENCES,,,,,,,,,,,,
COMMUNICATIONS,,,,,,,,,,,,
COMPUTER MANUFACTURING AND MACHINES,,,,,,,,,,,,
AUTOMOTIVE TECHNOLOGY,,,,,,,,,,,,
AGRICULTURAL TECHNOLOGY AND STUDIES,,,,,,,,,,,,
 ACCOUNTING ,,,,,,,,,,,,
AUTOMOTIVE TECHNOLOGY,,,,,,,,,,,,
NURSING,,,,,,,,,,,,
BIOLOGICAL SCIENCES,,,,,,,,,,,,
BUSINESS ADMINISTRATION SYSTEMS,,,,,,,,,,,,
MATHEMATICS,,,,,,,,,,,,
BIOLOGICAL SCIENCES,,,,,,,,,,,,
45367.0,,BIO 137-A0L5,26,,6,22,29,21,25,2.0,43696.0,43814.0
SOCIOLOGY,,,,,,,,,,,,
CIS,,,,,,,,,,,,
ENGINEERING TECHNOLOGY,,,,,,,,,,,,
SOCIOLOGY,,,,,,,,,,,,
FIRST YEAR EXPERIENCE,,,,,,,,,,,,
FIRE/RESCUE SCIENCE  Contact Jimmy VanCleve at 888-306-8015 or Kay Whittington at 270-686-4490 for further information.,,,,,,,,,,,,
COMMUNICATIONS,,,,,,,,,,,,
SOCIOLOGY,,,,,,,,,,,,
MATHEMATICS,,,,,,,,,,,,
COMMUNICATIONS,,,,,,,,,,,,
FIRST YEAR EXPERIENCE,,,,,,,,,,,,
BIOLOGICAL SCIENCES,,,,,,,,,,,,
44561.0,2,BIO 137-A0Z1,26,4,1,1,1,1,28,1.0,43696.0,43814.0
BUSINESS ADMINISTRATION SYSTEMS,,,,,,,,,,,,
INTERDISCIPLINARY EARLY CHILDHOOD EDUCATION,,,,,,,,,,,,
SURGICAL TECHNOLOGY,,,,,,,,,,,,
WELDING,,,,,,,,,,,,
BIOLOGICAL SCIENCES,,,,,,,,,,,,
PSYCHOLOGY,,,,,,,,,,,,
COMPUTER MANUFACTURING AND MACHINES,,,,,,,,,,,,
NURSING,,,,,,,,,,,,
EDUCATION,,,,,,,,,,,,
RELIGIOUS STUDIES,,,,,,,,,,,,
CRIMINAL JUSTICE,,,,,,,,,,,,
MEDICAL ASSISTING,,,,,,,,,,,,
COMPUTER MANUFACTURING AND MACHINES,,,,,,,,,,,,
ENGLISH,,,,,,,,,,,,
RADIOGRAPHY,,,,,,,,,,,,
ELECTRICAL TECHNOLOGY,,,,,,,,,,,,
ENGINEERING TECHNOLOGY,,,,,,,,,,,,
ART ,,,,,,,,,,,,
AIR CONDITIONING AND REFRIGERATION,,,,,,,,,,,,
HISTORY,,,,,,,,,,,,
ENGINEERING TECHNOLOGY,,,,,,,,,,,,
SURGICAL TECHNOLOGY,,,,,,,,,,,,
PHILOSOPHY,,,,,,,,,,,,
INDUSTRIAL MANTIENENCE TECHNOLGOY,,,,,,,,,,,,
MUSIC,,,,,,,,,,,,
RADIOGRAPHY,,,,,,,,,,,,
MATHEMATICS,,,,,,,,,,,,
BIOLOGICAL SCIENCES,,,,,,,,,,,,
44644.0,2,BIO 227-A001,30,5,0,26,32,24,22,2.0,43696.0,43814.0
WELDING,,,,,,,,,,,,
AGRICULTURAL TECHNOLOGY AND STUDIES,,,,,,,,,,,,
ALLIED HEALTH,,,,,,,,,,,,
 ACCOUNTING ,,,,,,,,,,,,
BIOLOGICAL SCIENCES,,,,,,,,,,,,
MATHEMATICS,,,,,,,,,,,,
ENGINEERING TECHNOLOGY,,,,,,,,,,,,
DIESEL TECHNOLOGY,,,,,,,,,,,,
ENGLISH,,,,,,,,,,,,
AGRICULTURAL TECHNOLOGY AND STUDIES,,,,,,,,,,,,
ELECTRICAL TECHNOLOGY,,,,,,,,,,,,
 ACCOUNTING ,,,,,,,,,,,,
STATISTICS,,,,,,,,,,,,
RADIOGRAPHY,,,,,,,,,,,,
POLITICAL SCIENCE,,,,,,,,,,,,
COMMUNICATIONS,,,,,,,,,,,,
WELDING,,,,,,,,,,,,
MATHEMATICS,,,,,,,,,,,,
PSYCHOLOGY,,,,,,,,,,,,
MUSIC,,,,,,,,,,,,
HEALTHCARE FACILITIES LEADERSHIP,,,,,,,,,,,,
ENGINEERING TECHNOLOGY,,,,,,,,,,,,
CIS,,,,,,,,,,,,
DIESEL TECHNOLOGY,,,,,,,,,,,,
EMS PARAMEDIC/ALLIED HEALTH Contact Jimmy VanCleve at 888-306-8015 or Kay Whittington at 270-686-4490 for further information.,,,,,,,,,,,,
HEALTHCARE FACILITIES LEADERSHIP,,,,,,,,,,,,
INDUSTRIAL MANTIENENCE TECHNOLGOY,,,,,,,,,,,,
NURSING,,,,,,,,,,,,
BIOLOGICAL SCIENCES,,,,,,,,,,,,
