Subtitle,Lamp Type,ENERGY,CLER,PLC,TFI,SAPN
LED-P,LED22,3.0621988578067763,16.68654386829531,58.41584833803712,78.85872480938305,101.10363542842256
LED-P,LED28,3.0621988578067763,19.54340562697768,61.106685447090854,101.00719882448546,148.2675990829317
LED-V,LED60,3.0621988578067763,17.33232097345201,59.024096529764265,87.29847036923049,117.25609660021992
LED-V,LED79,3.0621988578067763,19.54340562697768,61.106685447090854,104.4404097175284,153.7625959685961
LED-P,LED20,3.0621988578067763,19.54340562697768,61.106685447090854,101.00719882448546,148.2675990829317
LED-V,LED200,3.0621988578067763,18.139542354897888,59.78440676942319,93.55663870273607,130.58861761330564
LED-V,LED298,3.0621988578067763,21.466698309726976,62.91820723549561,119.35117600779392,185.5186435872461
LED-V,LED72,3.0621988578067763,18.139542354897888,59.78440676942319,93.55663870273607,130.58861761330564
LED-V,LED178,3.0621988578067763,18.139542354897888,59.78440676942319,93.55663870273607,130.58861761330564
LED-P,LED18,3.0621988578067763,16.195191723067385,57.95305080085343,75.04940495420573,92.99701926623872
LED-V,LED80_R,3.0621988578067763,18.51858543835944,60.14142201239346,98.82493569700917,140.56722273389846
LED-V,LED88,3.0621988578067763,18.139542354897888,59.78440676942319,93.55663870273607,130.58861761330564
LED-V,LED175,3.0621988578067763,18.490508172917835,60.1149764388401,96.27758145643415,136.38211220212827
LED-P,LED17_R,3.0621988578067763,16.195191723067385,57.95305080085343,77.37908377448487,96.71736735225277
LED-P,LED39,3.0621988578067763,16.195191723067385,57.95305080085343,75.04940495420573,92.99701926623872
LED-V,LED81,3.0621988578067763,21.26313813527541,62.72647682723378,117.77302921064907,182.1517885193689
LED-V,LED90,3.0621988578067763,18.139542354897888,59.78440676942319,93.55663870273607,130.58861761330564
LED-P,LED35,3.0621988578067763,19.54340562697768,61.106685447090854,101.00719882448546,148.2675990829317
LED-V,LED101,3.0621988578067763,21.26313813527541,62.72647682723378,117.77302921064907,182.1517885193689
LED-P,LED17,3.0621988578067763,16.167114457625786,57.92660522730008,74.83172953390991,92.53225682048256
LED-P,LED26,3.0621988578067763,16.195191723067385,57.95305080085343,75.04940495420573,92.99701926623872
