itemID,brand,categories
0,389,NaN
1,1006,"4124.0, 274.0, 2459.0"
2,464,NaN
3,389,"3403.0, 807.0"
4,1291,"281.0, 1114.0, 3800.0"
5,389,NaN
6,1496,"2897.0, 2969.0, 327.0, 3920.0, 4027.0, 4028.0, 3413.0"
7,105,NaN
8,1048,"3949.0, 813.0"
9,1065,"1060.0, 30.0, 3268.0, 3937.0, 2104.0"
10,1065,"3228.0, 1390.0"
11,615,"545.0, 4196.0, 2373.0"
12,150,"1772.0, 3968.0"
13,1295,NaN
14,19,"702.0, 1889.0, 2713.0, 3970.0"
15,780,"2049.0, 592.0, 3981.0"
16,258,"3948.0, 1772.0"
17,1277,NaN
18,174,NaN
19,771,"146.0, 1138.0"
20,1207,3810.0
21,120,"2064.0, 146.0, 578.0, 1138.0"
22,718,NaN
23,1113,"4002.0, 327.0"
24,340,"2790.0, 3900.0, 3903.0, 3901.0, 3902.0"
25,745,"3503.0, 3900.0, 3901.0, 2995.0, 3424.0"
26,1383,"1088.0, 146.0, 1229.0, 1138.0"
27,441,"2354.0, 2091.0"
28,274,1307.0
29,61,"1554.0, 3906.0"
30,617,"3460.0, 3812.0, 3042.0, 1213.0, 1390.0, 1454.0, 2256.0, 3914.0, 3915.0, 1705.0, 385.0"
31,950,"1807.0, 2894.0, 2808.0"
32,642,"2570.0, 1646.0, 3254.0"
33,441,"1845.0, 2091.0"
34,617,"3812.0, 1760.0, 1705.0, 1213.0, 3042.0, 2256.0, 3915.0, 3914.0, 3924.0, 1454.0, 3912.0, 2209.0, 388.0, 3460.0, 385.0"
35,1502,NaN
36,400,57.0
37,1161,"3604.0, 3479.0, 3424.0"
38,1006,"1705.0, 2464.0, 1616.0"
39,124,"846.0, 3902.0, 3903.0, 3900.0, 3901.0"
40,367,"4101.0, 156.0, 3775.0"
41,1321,2951.0
42,431,NaN
43,249,"288.0, 518.0, 1085.0, 578.0, 870.0"
44,827,"3901.0, 1366.0, 3903.0, 3900.0, 2256.0, 1518.0, 3902.0, 3905.0, 3910.0"
45,1023,"1138.0, 2408.0, 1578.0, 146.0, 1085.0"
46,504,NaN
47,73,"2690.0, 2580.0, 1760.0, 2116.0, 3156.0"
48,1277,NaN
49,150,"3473.0, 216.0, 3254.0"
