Index,revenue,original_title,cast
970,1519557910,The Avengers," Mark Ruffalo,  Scarlett Johansson,  Chris Evans, Robert Downey Jr.,  Chris Hemsworth"
971,132400000,Underworld: Awakening," Theo James, Kate Beckinsale,  Stephen Rea,  Michael Ealy,  India Eisley"
972,1081041287,The Dark Knight Rises," Anne Hathaway, Christian Bale,  Tom Hardy,  Michael Caine,  Gary Oldman"
973,425368238,Django Unchained," Leonardo DiCaprio,  Kerry Washington,  Samuel L. Jackson,  Christoph Waltz, Jamie Foxx"
974,1108561013,Skyfall," Ralph Fiennes,  Javier Bardem, Daniel Craig,  Judi Dench,  Naomie Harris"
975,276572938,The Bourne Legacy," Edward Norton,  Scott Glenn, Jeremy Renner,  Rachel Weisz,  Stacy Keach"
976,1017003568,The Hobbit: An Unexpected Journey," Cate Blanchett, Ian McKellen,  Richard Armitage,  Martin Freeman,  Andy Serkis"
977,403170142,Prometheus," Idris Elba,  Michael Fassbender,  Charlize Theron, Noomi Rapace,  Guy Pearce"
978,205738714,Silver Linings Playbook," Chris Tucker, Bradley Cooper,  Jacki Weaver,  Robert De Niro,  Jennifer Lawrence"
979,752215857,The Amazing Spider-Man," Martin Sheen,  Emma Stone,  Rhys Ifans,  Denis Leary, Andrew Garfield"
980,538983207,Brave," Kevin McKidd,  Julie Walters,  Billy Connolly,  Emma Thompson, Kelly Macdonald"
981,396600000,Snow White and the Huntsman," Ian McShane, Kristen Stewart,  Chris Hemsworth,  Sam Claflin,  Charlize Theron"
982,201585328,21 Jump Street,"Channing Tatum,  Brie Larson,  Jonah Hill,  Dave Franco,  Ellie Kemper"
983,609016565,Life of Pi," Adil Hussain,  Gautam Belur,  Ayush Tandon,  Irrfan Khan, Suraj Sharma"
984,877244782,Ice Age: Continental Drift," Ray Romano,  Seann William Scott,  Denis Leary,  Chris Wedge, John Leguizamo"
985,549368315,Ted," Joel McHale,  Mila Kunis,  Giovanni Ribisi, Mark Wahlberg,  Seth MacFarlane"
986,218340595,Jack Reacher,"Tom Cruise,  Rosamund Pike,  Werner Herzog,  Richard Jenkins,  David Oyelowo"
987,180274123,Lo imposible," Samuel Joslin, Naomi Watts,  Tom Holland,  Ewan McGregor,  Oaklee Pendergast"
988,471222889,Wreck-It Ralph,"John C. Reilly,  Sarah Silverman,  Jack McBrayer,  Jamie Elman,  Jane Lynch"
989,115350426,Pitch Perfect," Brittany Snow,  Skylar Astin,  Anna Camp,  Rebel Wilson, Anna Kendrick"
990,624026776,Men in Black 3," Emma Thompson,  Michael Stuhlbarg,  Josh Brolin, Will Smith,  Tommy Lee Jones"
991,691210692,The Hunger Games," Liam Hemsworth,  Elizabeth Banks, Jennifer Lawrence,  Josh Hutcherson,  Woody Harrelson"
992,198802074,Total Recall," Bryan Cranston,  Jessica Biel,  Kate Beckinsale,  Bill Nighy, Colin Farrell"
993,130482868,Cloud Atlas," Jim Broadbent,  Hugo Weaving, Tom Hanks,  Jim Sturgess,  Halle Berry"
994,312573423,The Expendables 2," Bruce Willis, Sylvester Stallone,  Arnold Schwarzenegger,  Jason Statham,  Dolph Lundgren"
995,376141306,Taken 2," Maggie Grace,  Rade Serbedzija,  Luke Grimes,  Famke Janssen, Liam Neeson"
996,245527149,Dark Shadows," Jackie Earle Haley,  Michelle Pfeiffer,  Helena Bonham Carter,  Jonny Lee Miller, Johnny Depp"
997,33400000,The Perks of Being a Wallflower," Ezra Miller, Logan Lerman,  Emma Watson,  Nina Dobrev,  Paul Rudd"
998,232324128,Argo," Alan Arkin,  Bryan Cranston,  John Goodman, Ben Affleck,  Victor Garber"
999,234989584,American Reunion," Alyson Hannigan,  Chris Klein,  Thomas Ian Nicholas,  Seann William Scott, Jason Biggs"
1000,167221571,Magic Mike," Cody Horn,  Matthew McConaughey, Channing Tatum,  Olivia Munn,  Alex Pettyfer"
1001,66486080,The Cabin in the Woods," Fran Kranz,  Jesse Williams,  Chris Hemsworth,  Anna Hutchison, Kristen Connolly"
1002,306941670,Rise of the Guardians," Jude Law,  Isla Fisher,  Alec Baldwin, Chris Pine,  Hugh Jackman"
1003,196114570,The Vow," Jessica Lange, Rachel McAdams,  Scott Speedman,  Channing Tatum,  Sam Neill"
1004,355692760,Journey 2: The Mysterious Island," Josh Hutcherson,  Luis GuzmÃ¡n,  Kristin Davis, Dwayne Johnson,  Vanessa Hudgens"
1005,40346186,Safe," Chris Sarandon,  Robert John Burke, Jason Statham,  James Hong,  Catherine Chan"
1006,112265139,Abraham Lincoln: Vampire Hunter," Mary Elizabeth Winstead,  Dominic Cooper,  Rufus Sewell, Benjamin Walker,  Anthony Mackie"
1007,8106475,Upside Down," Timothy Spall, Kirsten Dunst,  Heidi Hawkins,  Jim Sturgess,  James Kidnie"
