Country/Region,1/22/20,1/23/20,1/24/20,1/25/20,1/26/20,1/27/20,1/28/20,1/29/20,1/30/20,1/31/20,2/1/20,2/10/20,2/11/20,2/12/20,2/13/20,2/14/20,2/15/20,2/16/20,2/17/20,2/18/20,2/19/20,2/2/20,2/20/20,2/21/20,2/22/20,2/23/20,2/24/20,2/25/20,2/26/20,2/27/20,2/28/20,2/29/20,2/3/20,2/4/20,2/5/20,2/6/20,2/7/20,2/8/20,2/9/20,3/1/20,3/10/20,3/11/20,3/12/20,3/13/20,3/14/20,3/15/20,3/16/20,3/17/20,3/18/20,3/19/20,3/2/20,3/20/20,3/21/20,3/22/20,3/23/20,3/24/20,3/25/20,3/26/20,3/27/20,3/28/20,3/29/20,3/3/20,3/30/20,3/31/20,3/4/20,3/5/20,3/6/20,3/7/20,3/8/20,3/9/20,4/1/20,4/10/20,4/11/20,4/12/20,4/13/20,4/14/20,4/15/20,4/16/20,4/17/20,4/18/20,4/19/20,4/2/20,4/20/20,4/21/20,4/22/20,4/23/20,4/24/20,4/25/20,4/26/20,4/27/20,4/28/20,4/29/20,4/3/20,4/30/20,4/4/20,4/5/20,4/6/20,4/7/20,4/8/20,4/9/20,5/1/20,5/10/20,5/11/20,5/12/20,5/13/20,5/14/20,5/15/20,5/16/20,5/17/20,5/18/20,5/19/20,5/2/20,5/20/20,5/21/20,5/22/20,5/23/20,5/24/20,5/25/20,5/26/20,5/27/20,5/28/20,5/29/20,5/3/20,5/30/20,5/31/20,5/4/20,5/5/20,5/6/20,5/7/20,5/8/20,5/9/20,6/1/20,6/10/20,6/11/20,6/12/20,6/13/20,6/14/20,6/15/20,6/16/20,6/17/20,6/18/20,6/19/20,6/2/20,6/20/20,6/21/20,6/22/20,6/23/20,6/24/20,6/25/20,6/26/20,6/27/20,6/28/20,6/29/20,6/3/20,6/30/20,6/4/20,6/5/20,6/6/20,6/7/20,6/8/20,6/9/20,7/1/20,7/10/20,7/11/20,7/2/20,7/3/20,7/4/20,7/5/20,7/6/20,7/7/20,7/8/20,7/9/20
Afghanistan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,1,5,7,7,7,11,16,21,22,22,22,1,24,24,40,40,74,84,94,110,110,120,1,170,174,1,1,1,1,4,4,237,521,555,607,665,714,784,840,906,933,996,273,1026,1092,1176,1279,1351,1463,1531,1703,1828,1939,281,2171,299,349,367,423,444,484,2335,4402,4687,4963,5226,5639,6053,6402,6664,7072,7653,2469,8145,8676,9216,9998,10582,11173,11831,12456,13036,13659,2704,14525,15205,2894,3224,3392,3563,3778,4033,15750,22142,22890,23546,24102,24766,25527,26310,26874,27532,27878,16509,28424,28833,29157,29481,29640,30175,30451,30616,30967,31238,17267,31517,18054,18969,19551,20342,20917,21459,31836,34194,34366,32022,32324,32672,32951,33190,33384,33594,33908
Albania,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,12,23,33,38,42,51,55,59,64,0,70,76,89,104,123,146,174,186,197,212,0,223,243,0,0,0,0,0,2,259,416,433,446,467,475,494,518,539,548,562,277,584,609,634,663,678,712,726,736,750,766,304,773,333,361,377,383,400,409,782,868,872,876,880,898,916,933,946,948,949,789,964,969,981,989,998,1004,1029,1050,1076,1099,795,1122,1137,803,820,832,842,850,856,1143,1341,1385,1416,1464,1521,1590,1672,1722,1788,1838,1164,1891,1962,1995,2047,2114,2192,2269,2330,2402,2466,1184,2535,1197,1212,1232,1246,1263,1299,2580,3278,3371,2662,2752,2819,2893,2964,3038,3106,3188
Algeria,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,1,20,20,24,26,37,48,54,60,74,87,3,90,139,201,230,264,302,367,409,454,511,5,584,716,12,12,17,17,19,20,847,1761,1825,1914,1983,2070,2160,2268,2418,2534,2629,986,2718,2811,2910,3007,3127,3256,3382,3517,3649,3848,1171,4006,1251,1320,1423,1468,1572,1666,4154,5723,5891,6067,6253,6442,6629,6821,7019,7201,7377,4295,7542,7728,7918,8113,8306,8503,8697,8857,8997,9134,4474,9267,9394,4648,4838,4997,5182,5369,5558,9513,10484,10589,10698,10810,10919,11031,11147,11268,11385,11504,9626,11631,11771,11920,12076,12248,12445,12685,12968,13273,13571,9733,13907,9831,9935,10050,10154,10265,10382,14272,18242,18712,14657,15070,15500,15941,16404,16879,17348,17808
Andorra,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,2,39,39,53,1,75,88,113,133,164,188,224,267,308,334,1,370,376,1,1,1,1,1,1,390,601,601,638,646,659,673,673,696,704,713,428,717,717,723,723,731,738,738,743,743,743,439,745,466,501,525,545,564,583,745,755,755,758,760,761,761,761,761,761,761,747,762,762,762,762,762,763,763,763,763,764,748,764,764,750,751,751,752,752,754,765,852,852,853,853,853,853,854,854,855,855,844,855,855,855,855,855,855,855,855,855,855,851,855,852,852,852,852,852,852,855,855,855,855,855,855,855,855,855,855,855
Angola,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,3,3,3,4,4,5,7,0,7,7,0,0,0,0,0,0,8,19,19,19,19,19,19,19,19,24,24,8,24,24,25,25,25,25,26,27,27,27,8,27,10,14,16,17,19,19,30,45,45,45,45,48,48,48,48,50,52,35,52,58,60,61,69,70,70,71,74,81,35,84,86,35,36,36,36,43,43,86,113,118,130,138,140,142,148,155,166,172,86,176,183,186,189,197,212,212,259,267,276,86,284,86,86,88,91,92,96,291,458,462,315,328,346,346,346,386,386,396
Antigua and Barbuda,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,1,1,1,3,3,3,7,7,7,7,0,7,7,0,0,0,0,0,0,7,19,21,21,23,23,23,23,23,23,23,9,23,23,24,24,24,24,24,24,24,24,15,24,15,15,15,19,19,19,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,26,25,25,25,25,25,25,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,65,65,65,69,69,26,69,26,26,26,26,26,26,69,74,74,69,68,68,68,70,70,70,73
Argentina,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,19,19,31,34,45,56,68,79,97,0,128,158,266,301,387,387,502,589,690,745,1,820,1054,1,1,2,8,12,12,1054,1975,1975,2142,2208,2277,2443,2571,2669,2758,2839,1133,2941,3031,3144,3435,3607,3780,3892,4003,4127,4285,1265,4428,1451,1451,1554,1628,1715,1795,4532,6034,6278,6563,6879,7134,7479,7805,8068,8371,8809,4681,9283,9931,10649,11353,12076,12628,13228,13933,14702,15419,4783,16214,16851,4887,5020,5208,5371,5611,5776,17415,25987,27373,28764,30295,31577,32785,34159,35552,37510,39570,18319,41204,42785,44931,47203,49851,52457,55343,57744,59933,62268,19268,64530,20197,21037,22020,22794,23620,24761,67197,94060,97509,69941,72786,75376,77815,80447,83426,87030,90693
Armenia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,4,8,18,26,52,78,84,115,1,136,160,194,235,249,265,290,329,407,424,1,482,532,1,1,1,1,1,1,571,937,967,1013,1039,1067,1111,1159,1201,1248,1291,663,1339,1401,1473,1523,1596,1677,1746,1808,1867,1932,736,2066,770,822,833,853,881,921,2148,3313,3392,3538,3718,3860,4044,4283,4472,4823,5041,2273,5271,5606,5928,6302,6661,7113,7402,7774,8216,8676,2386,8927,9282,2507,2619,2782,2884,3029,3175,9492,14103,14669,15281,16004,16667,17064,17489,18033,18698,19157,10009,19708,20268,20588,21006,21717,22488,23247,23909,24645,25127,10524,25542,11221,11817,12364,13130,13325,13675,26065,30903,31392,26658,27320,27900,28606,28936,29285,29820,30346
Australia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,2,3,4,0,6,9,19,32,39,39,53,62,71,77,0,78,80,0,0,0,0,0,0,84,103,103,103,102,103,103,103,103,103,103,87,104,104,104,104,105,106,106,106,106,106,91,106,93,96,96,96,99,100,106,107,107,107,107,107,107,107,107,107,107,106,107,107,107,107,107,107,107,107,107,107,106,107,107,107,107,107,107,107,107,107,108,108,108,108,108,108,108,108,108,108,107,108,108,108,108,108,108,108,108,108,108,107,108,107,107,108,108,108,108,108,113,113,108,108,108,108,108,111,112,113
Austria,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,3,3,9,0,0,0,0,0,0,0,14,182,246,302,504,655,860,1018,1332,1646,2013,18,2388,2814,3582,4474,5283,5588,6909,7657,8271,8788,21,9618,10180,29,41,55,79,104,131,10711,13555,13806,13945,14041,14226,14336,14476,14595,14671,14749,11129,14795,14873,14925,15002,15071,15148,15225,15274,15357,15402,11524,15452,11781,12051,12297,12639,12942,13244,15531,15871,15882,15961,15997,16058,16109,16201,16242,16269,16321,15558,16353,16404,16436,16486,16503,16539,16557,16591,16628,16655,15597,16685,16731,15621,15650,15684,15752,15774,15833,16733,17005,17034,17064,17078,17109,17135,17189,17203,17223,17271,16759,17323,17341,17380,17408,17449,17477,17522,17580,17654,17723,16771,17766,16805,16843,16898,16902,16968,16979,17873,18709,18783,17941,18050,18165,18280,18365,18421,18513,18615
