Item #,Description,On Hand,Reg.,Special,Disc. %
Shotguns,,,,,
11403204,"BROWNING SILVER MOSGB DT,12-3.5,28 +",1.0,1595.0,1355.75,15.00000095
FRA0426200,"FRANCHI INTENSITY 12 GA 3.5"" 28""",1.0,1495.0,1270.75,15.00000095
Centrefire Rifles,,,,,
TS3202900,TIKKA T3 SYN 30-06,1.0,840.0,675.0,19.63999939
EDGE300,FIERCE EDGE 300 WIN MAG,1.0,3350.0,2500.0,25.37000084
Rimfire Rifles,,,,,
SAV13795,SAVAGE RASCAL RED 22 LR,2.0,250.0,220.0,12.0
Centrefire Rifles,,,,,
Restricted Firearms,,,,,
Rimfire Rifles,,,,,
Centrefire Rifles,,,,,
Restricted Firearms,,,,,
Centrefire Rifles,,,,,
Rimfire Rifles,,,,,
Shotguns,,,,,
Rimfire Rifles,,,,,
RUG1121,RUGER 10/22-T 22LR,1.0,775.0,600.0,22.57999992
Shotguns,,,,,
12271204,"BROWNING BPS 12GA 3.5"" MAG MOSG",1.0,1095.0,930.75,15.00000095
R25012,REM 870 MARINE MAG 12GA,1.0,995.0,796.0,20.0
Rimfire Rifles,,,,,
Restricted Firearms,,,,,
Shotguns,,,,,
Restricted Firearms,,,,,
Centrefire Rifles,,,,,
Rimfire Rifles,,,,,
Centrefire Rifles,,,,,
Shotguns,,,,,
Rimfire Rifles,,,,,
Centrefire Rifles,,,,,
Rimfire Rifles,,,,,
Centrefire Rifles,,,,,
Rimfire Rifles,,,,,
SAV13780,SAVAGE RASCAL PINK 22 LR,2.0,250.0,220.0,12.0
Shotguns,,,,,
Centrefire Rifles,,,,,
Rimfire Rifles,,,,,
Shotguns,,,,,
Restricted Firearms,,,,,
Shotguns,,,,,
Restricted Firearms,,,,,
Rimfire Rifles,,,,,
Shotguns,,,,,
Restricted Firearms,,,,,
Centrefire Rifles,,,,,
35202229,BROWNING X-BLT SS 300 WIN MAG,1.0,1375.0,1168.75,15.00000095
Rimfire Rifles,,,,,
Restricted Firearms,,,,,
Centrefire Rifles,,,,,
Shotguns,,,,,
ST20000,"BENELLI NOVA 3.5"" 12 GA 28""",1.0,660.0,528.0,20.0
Centrefire Rifles,,,,,
35202231,BROWNING X-BLT SS 338 WIN MAG,2.0,1375.0,1168.75,15.00000095
Shotguns,,,,,
Restricted Firearms,,,,,
Centrefire Rifles,,,,,
Rimfire Rifles,,,,,
