Subtitle,Item #,Description,On Hand,Reg.,Special,Disc. %
Shotguns,11403204,"BROWNING SILVER MOSGB DT,12-3.5,28 +",1.0,1595.0,1355.75,15.00000095
Shotguns,FRA0426200,"FRANCHI INTENSITY 12 GA 3.5"" 28""",1.0,1495.0,1270.75,15.00000095
Shotguns,512299395,"WINCHESTER SXP ULT MAR DEF,12-3,18 INV+1",2.0,630.0,504.0,20.0
Centrefire Rifles,TS3202900,TIKKA T3 SYN 30-06,1.0,840.0,675.0,19.63999939
Centrefire Rifles,EDGE300,FIERCE EDGE 300 WIN MAG,1.0,3350.0,2500.0,25.37000084
Centrefire Rifles,JRS2Q41,SAKO 85 FINNLIGHT 300 WSM,1.0,2300.0,1950.0,15.22000027
Rimfire Rifles,SAV13795,SAVAGE RASCAL RED 22 LR,2.0,250.0,220.0,12.0
Rimfire Rifles,UB2200,"UBERTI SILVERBOY 22 LR 19""",1.0,815.0,675.0,17.18000031
Centrefire Rifles,35800246,BROWNING A-BLT 3 STLKR 300 WSM,1.0,675.0,573.75,15.00000095
Restricted Firearms,51802490,BROWNING 1911-22 A1 22LR,1.0,725.0,525.0,27.59000015
Rimfire Rifles,SAV96712,SAVAGE 93R17 FSSNS 17 HMR,1.0,445.0,356.0,20.0
Centrefire Rifles,R27273,REM 700 SPS SS 300 WIN,1.0,960.0,785.0,18.22999954
Restricted Firearms,W227R-45-BSS,SIG SAUER P227R 45 ACP,1.0,1325.0,1150.0,13.21000004
Centrefire Rifles,SAV19579,SAVAGE AXIS WEB 7mm-08 REM,1.0,500.0,375.0,25.0
Rimfire Rifles,21001102,BROWNING AUTO 22 GRADE 1 22LR,1.0,830.0,725.0,12.64999962
Shotguns,R81045,"REM VERSAMAX SPRTSMN 12GA 28""",1.0,1385.0,1108.0,20.0
Rimfire Rifles,RUG1121,RUGER 10/22-T 22LR,1.0,775.0,600.0,22.57999992
Rimfire Rifles,SAV47001,SAVAGE A17 SEMI 17 HMR,2.0,635.0,508.0,20.0
Shotguns,12271204,"BROWNING BPS 12GA 3.5"" MAG MOSG",1.0,1095.0,930.75,15.00000095
Shotguns,R25012,REM 870 MARINE MAG 12GA,1.0,995.0,796.0,20.0
