Institution,Specific Graduate Program,Restrictions,City,State
"Richmond, The American International University in London",,,,
"University of Colorado, Boulder",,,,
"Texas A&M University, Commerce",,,,
"Devry University, Sandy Campus",,,,
"New York Institute of Technology, Manhattan",,,,
Lutheran School of Theology at Chicago,,,,
"University of Phoenix, St. George Learning Center, St. George",,,,
Northwestern Polytechnic University,,,,
Clarkson University,,,,
"University of Phoenix, Sarpy Student Resource Center, Omaha",,,,
Saint Louis University,,,,
"Indiana University-Purdue University, Fort Wayne",,,,
Fordham University,,,,
"Devry University, Daly City Center",,,,
George Washington University,,,,
Northeastern Illinois University,,,,
Capella University (online),,,,
"University of Phoenix, Nogales Learning Center, Nogales",,,,
Goshen College,,,,
DePaul University,,,,
"University of Phoenix, River Road Learning Center, Tucson",,,,
Fuller Theological Seminary,,,,
Williams College,,,,
"Auburn University, Auburn",,,,
"California Baptist University, San Bernardino",,,,
"University of Phoenix, Chula Vista Learning Center, Chula Vista",,,,
"University of Phoenix, West Michigan Campus, Walker",,,,
Massachusetts Institute of Technology,,,,
"Devry University, San Antonio Campus",,,,
University of Houston,,,,
"University of Phoenix, Bay Area - San Francisco Campus, San Jose",,,,
Rollins College,,,,
"University of Phoenix, Memphis Campus, Cordova",,,,
"University of Phoenix, Louisville Learning Center, Louisville",,,,
University of Houston,,,,
"University of Phoenix, Westshore Learning Center, Tampa",,,,
University of Pittsburgh,,,,
University of New Haven,,,,
"California State University, Fullerton",,,,
Virginia Polytechnic Institute and State University,,,,
Winthrop University,,,,
Fordham University,,,,
"University of Phoenix, Fort Collins Learning Center, Fort Collins",,,,
Rider University,,,,
"University of Phoenix, San Marcos Learning Center, San Marcos",,,,
University of Pennsylvania,,,,
University of Dallas,,,,
Northeastern University,,,,
Massachusetts Institute of Technology,,,,
,Department of Architecture,"7.5 for Ph.D. History, Theory/Criticism of Architecture and Art (IELTS preferred)",85,7
University of Portland,,,,
Carnegie Mellon University,,,,
"University of Phoenix, Austin Campus, Austin",,,,
"University of Phoenix, North Alpharetta Learning Center, Alpharetta",,,,
"Auburn University, Auburn",,,,
Temple University,,,,
University of South Carolina,,,,
University of Houston,,,,
University of Puget Sound,,,,
Texas Christian University,,,,
Loma Linda University,,,,
"Devry University, Kansas City Campus",,,,
"University of Phoenix, Warrenville Learning Center, Warrenville",,,,
"University of Phoenix, Wyoming Campus, Cheyenne",,,,
Maryland Institute College of Art,,,,
University of Pennsylvania,,,,
"University of Phoenix, Southwest Learning Center, Las Vegas",,,,
"University of Phoenix, Clarkesville Learning Center, Clarkeville",,,,
"Texas A&M University, Commerce",,,,
University of New Haven,,,,
"University of Phoenix, Northwest Indiana Campus, Merrilville",,,,
Doane College,,,,
Dominican University,,,,
New York Medical College,,,,
University of Puget Sound,,,,
"University of Texas, Brownsville",,,,
"University of Colorado, Boulder",,,,
"University of Phoenix, Milwaukee Campus, Brookville",,,,
University of Rhode Island,,,,
"University of Phoenix, San Bernadino Learning Center, San Bernadino",,,,
Trine University,,,,
Ohio Dominican University,,,,
"Devry University, Ft. Lauderdale Center",,,,
"Devry University, Louisville Campus",,,,
"Devry University, St. Louis Park Center",,,,
Goshen College,,,,
Massachusetts Institute of Technology,,,,
Illinois Institute of Technology,,,,
"Devry University, Glendale Center",,,,
"University of Maryland, Baltimore County",,,,
"University of Phoenix, Livonia Learning Center, Livonia",,,,
Vanderbilt University,,,,
"Texas A&M University, College Station",,,,
"University of Phoenix, Pinnacle Hills Learning Center, Rogers",,,,
"University of Phoenix, Yuma Learning Center, Yuma",,,,
University of Pennsylvania,,,,
"University of Alabama, Birmingham",,,,
"University of Phoenix, Fox Valley Learning Center, Grand Chute",,,,
Columbia University,,,,
"California State University, Fullerton",,,,
"Devry University, Elgin Center",,,,
"Baruch College, City University of New York (CUNY)",,,,
"University of Colorado, Denver",,,,
"University of Phoenix, Deleware Campus, Wilmington",,,,
Vanderbilt University,,,,
"University of Phoenix, Southglen Learning Center, Centennial",,,,
Massachusetts Institute of Technology,,,,
"Wheaton College, Illinois",,,,
University of Oregon,,,,
Georgia State University,,,,
Northeastern University,,,,
University of San Francisco,,,,
New School (The),,,,
"University of Minnesota, Twin Cities",,,,
Bellarmine University,,,,
"University of Phoenix, Murrietta Learning Center, Murrietta",,,,
"Devry University, Phoenix Campus",,,,
Virginia Polytechnic Institute and State University,,,,
"Devry University, Rego Park (Queens) Center",,,,
Massachusetts Institute of Technology,,,,
University of Rhode Island,,,,
Pace University,,,,
"University of Phoenix, Cedar Rapids Student Learning Center, Cedar Rapids",,,,
Doane College,,,,
Pepperdine University,,,,
Bryn Mawr College,,,,
"Devry University, Colton (Inland-Empire) Center",,,,
Palo Alto University,,,,
Seton Hall University,,,,
New York University,,,,
"University of Michigan, Dearborn",,,,
Washington University in St. Louis,,,,
"University of Phoenix, Northern Nevada Campus, Reno",,,,
University of Oregon,,,,
"Wheaton College, Illinois",,,,
"University of Phoenix, Macon Learning Center, Macon",,,,
Northwestern University,,,,
Georgetown University,,,,
Monterey Institute of International Studies,,,,
"Devry University, Manhattan Center",,,,
"University of Phoenix, Las Colinas Learning Center, Irving",,,,
Boston University,,,,
"University of Michigan, Ann Arbor",,,,
"University of Phoenix, Cypress Creek Learning Center, Ft. Lauderdale",,,,
Dartmouth College,,,,
"University of Phoenix, Little Rock Campus, Little Rock",,,,
"Devry University, Chicago Loop Center",,,,
Seattle University,,,,
George Washington University,,,,
University of New Haven,,,,
"University of Phoenix, Shreveport-Bossier Campus, Bossier City",,,,
University of Scranton,,,,
"University of Phoenix, Kirtland AFB Learning Center, Albuquerque",,,,
"University of Phoenix, Omaha Campus, Omaha",,,,
"Devry University, Tinley Park Campus",,,,
"University of Phoenix, Salem Learning Center, Salem",,,,
Brandeis University,,,,
"Devry University, Orlando Campus",,,,
"University of Phoenix, East Orlando Learning Center, Orlando",,,,
Pace University,,,,
Marywood University,,,,
Illinois Institute of Technology,,,,
Massachusetts Institute of Technology,,,,
"City University of Seattle, Victoria",,,,
"University of Phoenix, Philadelphia Campus, Wayne",,,,
University of Central Oklahoma,,,,
University of Miami,,,,
"Devry University, Houston Galleria",,,,
"University of Phoenix, Sugar Land Learning Center, Sugar Land",,,,
Clark University,,,,
