Index,cast,revenue,original_title
1044, Taylor Kitsch,47000000,Savages
1067, Cuba Gooding Jr.,50365377,Red Tails
991, Liam Hemsworth,691210692,The Hunger Games
987, Ewan McGregor,180274123,Lo imposible
1031, Luke Evans,29657751,The Raven
1053,Brad Pitt,37930465,Killing Them Softly
970, Scarlett Johansson,1519557910,The Avengers
1035,Joaquin Phoenix,28258060,The Master
1010, Olivia Thirlby,41037742,Dredd
1003,Rachel McAdams,196114570,The Vow
976,Ian McKellen,1017003568,The Hobbit: An Unexpected Journey
988, Sarah Silverman,471222889,Wreck-It Ralph
997, Paul Rudd,33400000,The Perks of Being a Wallflower
1004, Josh Hutcherson,355692760,Journey 2: The Mysterious Island
1074, Meagan Good,96070507,Think Like a Man
977, Charlize Theron,403170142,Prometheus
1034, Brian Blessed,118338361,The Pirates! In an Adventure with Scientists!
1017, Jason Clarke,132820716,Zero Dark Thirty
1032, Diego Boneta,59418613,Rock of Ages
995, Maggie Grace,376141306,Taken 2
1012, Amanda Seyfried,441809770,Les MisÃ©rables
1076, Luke Pasqualino,9627492,The Apparition
990,Will Smith,624026776,Men in Black 3
1061, Patrick Fischler,36893721,One for the Money
1038,Guy Pearce,32204030,Lockout
1058, Jean Smart,114281051,Hope Springs
1004, Vanessa Hudgens,355692760,Journey 2: The Mysterious Island
979,Andrew Garfield,752215857,The Amazing Spider-Man
1000, Olivia Munn,167221571,Magic Mike
1070, Dennis Quaid,13231461,The Words
1018, Michael Fassbender,33372606,Haywire
972,Christian Bale,1081041287,The Dark Knight Rises
1015, Bruce Willis,47042000,Looper
1003, Channing Tatum,196114570,The Vow
1059, Allison Janney,22044277,A Thousand Words
1000, Matthew McConaughey,167221571,Magic Mike
1049, Olivia Wilde,12434778,People Like Us
1045, Elizabeth Banks,46221189,Man on a Ledge
1066, Peter O'Toole,9622846,For Greater Glory - The True Story of Cristiada
1015,Joseph Gordon-Levitt,47042000,Looper
977, Michael Fassbender,403170142,Prometheus
983, Gautam Belur,609016565,Life of Pi
1009,Bruce Willis,68263166,Moonrise Kingdom
999, Seann William Scott,234989584,American Reunion
1044, Salma Hayek,47000000,Savages
1031,John Cusack,29657751,The Raven
997, Emma Watson,33400000,The Perks of Being a Wallflower
977, Guy Pearce,403170142,Prometheus
1014,Taylor Kitsch,284139100,John Carter
976, Martin Freeman,1017003568,The Hobbit: An Unexpected Journey
977, Idris Elba,403170142,Prometheus
1067, Terrence Howard,50365377,Red Tails
1075, Vincent D'Onofrio,4636169,Fire with Fire
972, Gary Oldman,1081041287,The Dark Knight Rises
1051, Rob LaBelle,85446075,The Possession
1032, Bryan Cranston,59418613,Rock of Ages
1047,Drew Barrymore,24719215,Big Miracle
994, Dolph Lundgren,312573423,The Expendables 2
983,Suraj Sharma,609016565,Life of Pi
1027,Oliver Cooper,100000000,Project X
1045, Jamie Bell,46221189,Man on a Ledge
1011,Taylor Kitsch,303025485,Battleship
982, Dave Franco,201585328,21 Jump Street
1009, Kara Hayward,68263166,Moonrise Kingdom
981, Ian McShane,396600000,Snow White and the Huntsman
1029, Chris Rock,746921274,Madagascar 3: Europe's Most Wanted
1073,Billy Crystal,119772232,Parental Guidance
1025, Elizabeth Banks,79700000,What to Expect When You're Expecting
1008, Rob Riggle,348840316,The Lorax
1044, Aaron Taylor-Johnson,47000000,Savages
1064, John Krasinski,8138788,Promised Land
989, Rebel Wilson,115350426,Pitch Perfect
1037, Leslie Mann,88058786,This Is 40
1046, Christopher Walken,19422261,Seven Psychopaths
1061,Katherine Heigl,36893721,One for the Money
1016, Robert Pattinson,829000000,The Twilight Saga: Breaking Dawn - Part 2
1032, Julianne Hough,59418613,Rock of Ages
981, Sam Claflin,396600000,Snow White and the Huntsman
1055, Monica Raymund,35485056,Arbitrage
1023, Kevin James,358375603,Hotel Transylvania
1077,Robert Pattinson,6063556,Cosmopolis
1060, Matthew Fox,30353232,Alex Cross
1009, Jared Gilman,68263166,Moonrise Kingdom
1007,Kirsten Dunst,8106475,Upside Down
1048, Hope Davis,3428048,Disconnect
1013, Lily Collins,183018522,Mirror Mirror
1000,Channing Tatum,167221571,Magic Mike
1032,Tom Cruise,59418613,Rock of Ages
1080, Mia Moretti,32726956,Katy Perry: Part of Me
980, Julie Walters,538983207,Brave
980, Kevin McKidd,538983207,Brave
1004, Luis GuzmÃ¡n,355692760,Journey 2: The Mysterious Island
1051,Jeffrey Dean Morgan,85446075,The Possession
1021, Alex Russell,145000000,Chronicle
971, India Eisley,132400000,Underworld: Awakening
1037,Paul Rudd,88058786,This Is 40
1047, John Krasinski,24719215,Big Miracle
1012,Hugh Jackman,441809770,Les MisÃ©rables
1070,Bradley Cooper,13231461,The Words
1038, Peter Stormare,32204030,Lockout
986,Tom Cruise,218340595,Jack Reacher
1061, Debbie Reynolds,36893721,One for the Money
1036, Rhys Ifans,53909751,The Five-Year Engagement
988, Jane Lynch,471222889,Wreck-It Ralph
1072, Kirsten Dunst,8784318,On the Road
988,John C. Reilly,471222889,Wreck-It Ralph
1073, Bailee Madison,119772232,Parental Guidance
1019,Sam Worthington,301000000,Wrath of the Titans
1054,Henry Cavill,16863583,The Cold Light of Day
1048,Jason Bateman,3428048,Disconnect
1077, Paul Giamatti,6063556,Cosmopolis
1064, Frances McDormand,8138788,Promised Land
1024,Jake Gyllenhaal,48126384,End of Watch
1043, Ryan Reynolds,208076205,Safe House
1005,Jason Statham,40346186,Safe
992, Kate Beckinsale,198802074,Total Recall
1002, Alec Baldwin,306941670,Rise of the Guardians
