Index,revenue,original_title,cast
970,1519557910,The Avengers," Scarlett Johansson,  Chris Hemsworth,  Mark Ruffalo,  Chris Evans, Robert Downey Jr."
971,132400000,Underworld: Awakening," India Eisley,  Michael Ealy, Kate Beckinsale,  Theo James,  Stephen Rea"
972,1081041287,The Dark Knight Rises,"Christian Bale,  Gary Oldman,  Anne Hathaway,  Michael Caine,  Tom Hardy"
973,425368238,Django Unchained," Leonardo DiCaprio, Jamie Foxx,  Kerry Washington,  Christoph Waltz"
974,1108561013,Skyfall," Ralph Fiennes, Daniel Craig,  Javier Bardem,  Judi Dench"
975,276572938,The Bourne Legacy," Stacy Keach, Jeremy Renner,  Scott Glenn,  Rachel Weisz,  Edward Norton"
976,1017003568,The Hobbit: An Unexpected Journey,"Ian McKellen,  Martin Freeman,  Cate Blanchett,  Andy Serkis,  Richard Armitage"
977,403170142,Prometheus," Charlize Theron,  Michael Fassbender,  Guy Pearce,  Idris Elba, Noomi Rapace"
978,205738714,Silver Linings Playbook," Jennifer Lawrence,  Jacki Weaver,  Chris Tucker,  Robert De Niro"
979,752215857,The Amazing Spider-Man,"Andrew Garfield,  Martin Sheen,  Emma Stone,  Denis Leary,  Rhys Ifans"
980,538983207,Brave," Julie Walters,  Kevin McKidd,  Emma Thompson, Kelly Macdonald,  Billy Connolly"
981,396600000,Snow White and the Huntsman," Ian McShane,  Sam Claflin,  Charlize Theron,  Chris Hemsworth, Kristen Stewart"
982,201585328,21 Jump Street," Dave Franco,  Jonah Hill,  Ellie Kemper, Channing Tatum,  Brie Larson"
983,609016565,Life of Pi," Gautam Belur, Suraj Sharma,  Irrfan Khan,  Adil Hussain,  Ayush Tandon"
984,877244782,Ice Age: Continental Drift," Ray Romano,  Denis Leary,  Seann William Scott,  Chris Wedge, John Leguizamo"
985,549368315,Ted," Mila Kunis,  Giovanni Ribisi, Mark Wahlberg,  Joel McHale,  Seth MacFarlane"
986,218340595,Jack Reacher,"Tom Cruise,  Werner Herzog,  Richard Jenkins,  Rosamund Pike,  David Oyelowo"
987,180274123,Lo imposible," Ewan McGregor,  Oaklee Pendergast, Naomi Watts,  Samuel Joslin,  Tom Holland"
988,471222889,Wreck-It Ralph," Sarah Silverman,  Jane Lynch, John C. Reilly,  Jack McBrayer,  Jamie Elman"
989,115350426,Pitch Perfect," Rebel Wilson,  Skylar Astin, Anna Kendrick,  Anna Camp"
990,624026776,Men in Black 3,"Will Smith,  Josh Brolin,  Michael Stuhlbarg,  Tommy Lee Jones,  Emma Thompson"
991,691210692,The Hunger Games," Liam Hemsworth,  Josh Hutcherson,  Woody Harrelson,  Elizabeth Banks, Jennifer Lawrence"
992,198802074,Total Recall," Kate Beckinsale,  Jessica Biel, Colin Farrell,  Bryan Cranston,  Bill Nighy"
993,130482868,Cloud Atlas," Jim Sturgess,  Jim Broadbent,  Hugo Weaving, Tom Hanks"
994,312573423,The Expendables 2," Dolph Lundgren,  Jason Statham,  Arnold Schwarzenegger,  Bruce Willis, Sylvester Stallone"
995,376141306,Taken 2," Maggie Grace,  Famke Janssen, Liam Neeson,  Rade Serbedzija,  Luke Grimes"
996,245527149,Dark Shadows," Jackie Earle Haley,  Michelle Pfeiffer,  Jonny Lee Miller,  Helena Bonham Carter, Johnny Depp"
997,33400000,The Perks of Being a Wallflower," Paul Rudd,  Emma Watson,  Ezra Miller, Logan Lerman,  Nina Dobrev"
998,232324128,Argo," Bryan Cranston,  Alan Arkin,  John Goodman,  Victor Garber, Ben Affleck"
999,234989584,American Reunion," Seann William Scott,  Thomas Ian Nicholas,  Alyson Hannigan, Jason Biggs"
1000,167221571,Magic Mike," Olivia Munn,  Matthew McConaughey, Channing Tatum,  Alex Pettyfer,  Cody Horn"
1001,66486080,The Cabin in the Woods,"Kristen Connolly,  Fran Kranz,  Jesse Williams,  Chris Hemsworth,  Anna Hutchison"
1002,306941670,Rise of the Guardians," Alec Baldwin, Chris Pine,  Jude Law,  Hugh Jackman,  Isla Fisher"
1003,196114570,The Vow,"Rachel McAdams,  Channing Tatum,  Jessica Lange,  Sam Neill,  Scott Speedman"
1004,355692760,Journey 2: The Mysterious Island," Josh Hutcherson,  Vanessa Hudgens,  Luis GuzmÃ¡n, Dwayne Johnson,  Kristin Davis"
1005,40346186,Safe,"Jason Statham,  Catherine Chan,  Chris Sarandon,  Robert John Burke,  James Hong"
