A,B
Date1,Territory1
Date10,"Territory54, Territory51, Territory52"
Date11,"Territory57, Territory60, Territory64, Territory58, Territory61, Territory63"
Date12,"Territory65, Territory66, Territory67, Territory70"
Date13,Territory71
Date14,"Territory77, Territory79, Territory75, Territory78"
Date15,"Territory81, Territory84, Territory85"
Date16,"Territory94, Territory92"
Date17,"Territory98, Territory96, Territory95"
Date18,"Territory101, Territory99, Territory106, Territory102"
Date19,"Territory107, Territory108, Territory109"
Date2,"Territory7, Territory10, Territory6"
Date3,"Territory12, Territory13"
Date5,Territory19
Date6,"Territory25, Territory24, Territory26, Territory20, Territory27, Territory21"
Date7,"Territory34, Territory29, Territory30, Territory36, Territory32"
Date8,"Territory37, Territory40"
Date9,"Territory45, Territory47, Territory43, Territory50, Territory46, Territory44"
