A,B
Date7,Territory34
Date7,Territory29
Date17,Territory98
Date10,Territory54
Date10,Territory51
Date16,Territory94
Date14,Territory77
Date19,Territory107
Date11,Territory57
Date2,Territory7
Date6,Territory25
Date17,Territory96
Date9,Territory45
Date18,Territory101
Date9,Territory47
Date5,Territory19
Date17,Territory95
Date18,Territory99
Date12,Territory65
Date6,Territory24
Date6,Territory26
Date7,Territory30
Date14,Territory79
Date2,Territory10
Date6,Territory20
Date14,Territory75
Date6,Territory27
Date19,Territory108
Date12,Territory66
Date8,Territory37
Date13,Territory71
Date18,Territory106
Date19,Territory109
Date1,Territory1
Date11,Territory60
Date15,Territory81
Date9,Territory43
Date14,Territory78
Date11,Territory64
Date10,Territory52
Date6,Territory21
Date15,Territory84
Date2,Territory6
Date12,Territory67
Date8,Territory40
Date3,Territory12
Date11,Territory58
Date9,Territory50
Date7,Territory36
Date9,Territory46
Date9,Territory44
Date11,Territory61
Date16,Territory92
Date15,Territory85
Date12,Territory70
Date7,Territory32
Date11,Territory63
Date3,Territory13
Date18,Territory102
